index,owtt_0_bounce,owtt_1_bounce,owtt_2_bounce,owtt_3_bounce,owtt_4_bounce
0,1.4903073,1.4953104,nan,nan,nan
1,1.4903009,1.4953041,nan,nan,nan
2,1.4901454,1.4951484,nan,nan,nan
3,1.4908615,1.4958653,nan,nan,nan
4,1.4910986,1.4961028,nan,nan,nan
5,1.4910669,1.4960707,nan,nan,nan
6,1.4910086,1.4960127,nan,nan,nan
7,1.490718,1.4957216,nan,nan,nan
8,1.4905107,1.4955139,nan,nan,nan
9,1.4905853,1.4955887,nan,nan,nan
10,1.4906365,1.49564,nan,nan,nan
11,1.4907111,1.4957148,nan,nan,nan
12,1.4908738,1.4958774,nan,nan,nan
13,1.490952,1.4959556,nan,nan,nan
14,1.4907035,1.495707,nan,nan,nan
15,1.4907155,1.4957191,nan,nan,nan
16,1.4911238,1.4961277,nan,nan,nan
17,1.4906193,1.4956225,nan,nan,nan
18,1.4913688,1.4963739,nan,nan,nan
19,1.4915432,1.4965491,nan,nan,nan
20,1.4913803,1.4963858,nan,nan,nan
21,1.4914349,1.496441,nan,nan,nan
22,1.4911382,1.4961432,nan,nan,nan
23,1.491182,1.4961865,nan,nan,nan
24,1.491631,1.496637,nan,nan,nan
25,1.4911798,1.4961845,nan,nan,nan
26,1.4899392,1.4949418,nan,nan,nan
27,1.4900699,1.4950728,nan,nan,nan
28,1.4901618,1.4951646,nan,nan,nan
29,1.4902499,1.495253,nan,nan,nan
30,1.4901625,1.4951656,nan,nan,nan
31,1.4903965,1.4953996,nan,nan,nan
32,1.4903356,1.4953388,nan,nan,nan
33,1.491091,1.496095,nan,nan,nan
34,1.4916898,1.4966959,nan,nan,nan
35,1.4917526,1.4967589,nan,nan,nan
36,1.4911293,1.4961332,nan,nan,nan
37,1.4910269,1.4960308,nan,nan,nan
38,1.4913037,1.4963083,nan,nan,nan
39,1.4916477,1.4966536,nan,nan,nan
40,1.4914454,1.4964516,nan,nan,nan
41,1.4909846,1.4959882,nan,nan,nan
42,1.4907446,1.4957482,nan,nan,nan
43,1.4897643,1.498539,nan,nan,nan
44,1.4897362,1.4985105,nan,nan,nan
45,1.4897715,1.4985456,nan,nan,nan
46,1.4898089,1.4985832,nan,nan,nan
47,1.4903185,1.4990922,nan,nan,nan
48,1.4903355,1.4991088,nan,nan,nan
49,1.4902633,1.4990368,nan,nan,nan
50,1.4907305,1.4995033,nan,nan,nan
51,1.4901749,1.4989485,nan,nan,nan
52,1.4902765,1.49905,nan,nan,nan
53,1.4904925,1.4992658,nan,nan,nan
54,1.4894617,1.4982367,nan,nan,nan
55,1.4893342,1.4981093,nan,nan,nan
56,1.4896116,1.4983861,nan,nan,nan
57,1.4895809,1.4983554,nan,nan,nan
58,1.4895893,1.4983639,nan,nan,nan
59,1.4900279,1.4988017,nan,nan,nan
60,1.4896516,1.4984261,nan,nan,nan
61,1.4901083,1.4988818,nan,nan,nan
62,1.4896019,1.4983761,nan,nan,nan
63,1.4896396,1.4984144,nan,nan,nan
64,1.4900624,1.4988362,nan,nan,nan
65,1.4900874,1.4988611,nan,nan,nan
66,1.4900681,1.498842,nan,nan,nan
67,1.4898266,1.4986013,nan,nan,nan
68,1.4900964,1.4988703,nan,nan,nan
69,1.4899861,1.4987601,nan,nan,nan
70,1.4900811,1.498855,nan,nan,nan
71,1.4902047,1.4989781,nan,nan,nan
72,1.4901148,1.498889,nan,nan,nan
73,1.4900497,1.4988238,nan,nan,nan
74,1.4891742,1.4979495,nan,nan,nan
75,2.1915598,2.200297,4.2338996,nan,nan
76,1.420121,1.4250818,nan,nan,nan
77,1.4200484,1.4250089,nan,nan,nan
78,1.4201556,1.4251165,nan,nan,nan
79,1.4202706,1.4252315,nan,nan,nan
80,1.4200737,1.4250348,nan,nan,nan
81,1.4204885,1.4254504,nan,nan,nan
82,1.4203391,1.4253002,nan,nan,nan
83,1.4202518,1.4252126,nan,nan,nan
84,1.4195806,1.4245409,nan,nan,nan
85,1.4208242,1.4257863,nan,nan,nan
86,1.4204829,1.4254448,nan,nan,nan
87,1.4199258,1.4248863,nan,nan,nan
88,1.419798,1.4247584,nan,nan,nan
89,1.420333,1.4252942,nan,nan,nan
90,1.4201888,1.4251497,nan,nan,nan
91,1.4198518,1.4248124,nan,nan,nan
92,1.4203722,1.425334,nan,nan,nan
93,1.419609,1.424569,nan,nan,nan
94,1.4197199,1.4246804,nan,nan,nan
95,1.419732,1.4246925,nan,nan,nan
96,1.4196846,1.424645,nan,nan,nan
97,1.4194996,1.4244599,nan,nan,nan
98,1.4194576,1.4244176,nan,nan,nan
99,1.4199778,1.4249383,nan,nan,nan
100,1.4199439,1.4249047,nan,nan,nan
101,1.4200588,1.4250194,nan,nan,nan
