index,owtt_0_bounce,owtt_1_bounce,owtt_2_bounce,owtt_3_bounce,owtt_4_bounce
0,1.4904832,1.495219,nan,nan,nan
1,1.490477,1.4952108,nan,nan,nan
2,1.4903213,1.4950621,nan,nan,nan
3,1.4910376,1.4957306,nan,nan,nan
4,1.4912748,1.495956,nan,nan,nan
5,1.4912429,1.4959378,nan,nan,nan
6,1.4911848,1.4958813,nan,nan,nan
7,1.4908942,1.4956021,nan,nan,nan
8,1.4906868,1.4953958,nan,nan,nan
9,1.4907616,1.4954691,nan,nan,nan
10,1.4908125,1.495521,nan,nan,nan
11,1.4908874,1.4955972,nan,nan,nan
12,1.49105,1.4957445,nan,nan,nan
13,1.491128,1.4958172,nan,nan,nan
14,1.4908798,1.4955881,nan,nan,nan
15,1.4908917,1.4956065,nan,nan,nan
16,1.4912995,1.4959656,nan,nan,nan
17,1.4907954,1.4955028,nan,nan,nan
18,1.4915454,1.4962096,nan,nan,nan
19,1.4917197,1.4963794,nan,nan,nan
20,1.4915572,1.4962215,nan,nan,nan
21,1.4916118,1.4962804,nan,nan,nan
22,1.4913149,1.4959806,nan,nan,nan
23,1.4913589,1.4960223,nan,nan,nan
24,1.4918075,1.496467,nan,nan,nan
25,1.4913566,1.496022,nan,nan,nan
26,1.4901155,1.4948747,nan,nan,nan
27,1.4902459,1.4950005,nan,nan,nan
28,1.490338,1.4950716,nan,nan,nan
29,1.4904257,1.4951583,nan,nan,nan
30,1.4903386,1.495071,nan,nan,nan
31,1.4905726,1.4953061,nan,nan,nan
32,1.4905117,1.4952502,nan,nan,nan
33,1.4912671,1.4959602,nan,nan,nan
34,1.4918664,1.4965237,nan,nan,nan
35,1.4919292,1.4965852,nan,nan,nan
36,1.4913052,1.4959784,nan,nan,nan
37,1.4912028,1.4958979,nan,nan,nan
38,1.4914804,1.496144,nan,nan,nan
39,1.4918243,1.4964802,nan,nan,nan
40,1.4916221,1.4962865,nan,nan,nan
41,1.4911605,1.4958508,nan,nan,nan
42,1.4909208,1.4956293,nan,nan,nan
43,1.4898547,1.4985353,nan,nan,nan
44,1.4898304,1.4985069,nan,nan,nan
45,1.4898658,1.4985422,nan,nan,nan
46,1.4899032,1.4985795,nan,nan,nan
47,1.490419,1.4990888,nan,nan,nan
48,1.4904388,1.4991052,nan,nan,nan
49,1.4903636,1.4990333,nan,nan,nan
50,1.4908398,1.4994994,nan,nan,nan
51,1.490278,1.4989448,nan,nan,nan
52,1.4903799,1.4990463,nan,nan,nan
53,1.4905962,1.4992622,nan,nan,nan
54,1.4895515,1.498233,nan,nan,nan
55,1.4894241,1.4981058,nan,nan,nan
56,1.4897054,1.4983824,nan,nan,nan
57,1.4896705,1.4983518,nan,nan,nan
58,1.4896833,1.4983602,nan,nan,nan
59,1.4901268,1.498798,nan,nan,nan
60,1.4897456,1.4984225,nan,nan,nan
61,1.4902115,1.4988782,nan,nan,nan
62,1.4896958,1.4983726,nan,nan,nan
63,1.4897338,1.4984106,nan,nan,nan
64,1.4901657,1.4988326,nan,nan,nan
65,1.4901906,1.4988576,nan,nan,nan
66,1.4901682,1.4988381,nan,nan,nan
67,1.4899211,1.4985975,nan,nan,nan
68,1.4901996,1.4988666,nan,nan,nan
69,1.4900894,1.4987566,nan,nan,nan
70,1.4901845,1.4988513,nan,nan,nan
71,1.4903078,1.4989743,nan,nan,nan
72,1.4902184,1.4988854,nan,nan,nan
73,1.4901533,1.4988203,nan,nan,nan
74,1.489268,1.4979459,nan,nan,nan
75,2.1916358,2.2002683,4.2303915,nan,nan
76,1.4202844,1.4250408,nan,nan,nan
77,1.4202102,1.4249663,nan,nan,nan
78,1.4203186,1.4250755,nan,nan,nan
79,1.4204277,1.4251851,nan,nan,nan
80,1.420237,1.424992,nan,nan,nan
81,1.4206549,1.4254078,nan,nan,nan
82,1.4204957,1.4252565,nan,nan,nan
83,1.4204094,1.4251665,nan,nan,nan
84,1.4197304,1.4244974,nan,nan,nan
85,1.4209886,1.4257318,nan,nan,nan
86,1.420647,1.4254023,nan,nan,nan
87,1.4200891,1.4248455,nan,nan,nan
88,1.4199611,1.4247177,nan,nan,nan
89,1.4204907,1.4252502,nan,nan,nan
90,1.4203459,1.4251088,nan,nan,nan
91,1.4200132,1.4247718,nan,nan,nan
92,1.4205371,1.4252883,nan,nan,nan
93,1.4197588,1.4245315,nan,nan,nan
94,1.4198813,1.4246365,nan,nan,nan
95,1.4198934,1.4246488,nan,nan,nan
96,1.4198468,1.4246011,nan,nan,nan
97,1.4196514,1.4244198,nan,nan,nan
98,1.4196123,1.4243776,nan,nan,nan
99,1.42014,1.4248956,nan,nan,nan
100,1.4201074,1.4248637,nan,nan,nan
