index,owtt_0_bounce,owtt_1_bounce,owtt_2_bounce,owtt_3_bounce,owtt_4_bounce
0,nan,1.4931811,nan,nan,nan
1,nan,1.4931749,nan,nan,nan
2,nan,1.4930196,nan,nan,nan
3,nan,1.4937348,nan,nan,nan
4,nan,1.4939717,nan,nan,nan
5,nan,1.4939401,nan,nan,nan
6,nan,1.493882,nan,nan,nan
7,nan,1.4935915,nan,nan,nan
8,nan,1.4933842,nan,nan,nan
9,nan,1.4934587,nan,nan,nan
10,nan,1.4935101,nan,nan,nan
11,nan,1.4935846,nan,nan,nan
12,nan,1.493747,nan,nan,nan
13,nan,1.4938251,nan,nan,nan
14,nan,1.493577,nan,nan,nan
15,nan,1.4935889,nan,nan,nan
16,nan,1.4939967,nan,nan,nan
17,nan,1.4934928,nan,nan,nan
18,nan,1.494242,nan,nan,nan
19,nan,1.4944161,nan,nan,nan
20,nan,1.4942538,nan,nan,nan
21,nan,1.4943084,nan,nan,nan
22,nan,1.4940121,nan,nan,nan
23,nan,1.4940554,nan,nan,nan
24,nan,1.4945041,nan,nan,nan
25,nan,1.4940534,nan,nan,nan
26,nan,1.4928135,nan,nan,nan
27,nan,1.492944,nan,nan,nan
28,nan,1.493036,nan,nan,nan
29,nan,1.4931238,nan,nan,nan
30,nan,1.4930366,nan,nan,nan
31,nan,1.4932704,nan,nan,nan
32,nan,1.4932094,nan,nan,nan
33,nan,1.4939638,nan,nan,nan
34,nan,1.4945627,nan,nan,nan
35,nan,1.4946254,nan,nan,nan
36,nan,1.4940022,nan,nan,nan
37,nan,1.4939,nan,nan,nan
38,nan,1.494177,nan,nan,nan
39,nan,1.4945205,nan,nan,nan
40,nan,1.4943187,nan,nan,nan
41,nan,1.4938579,nan,nan,nan
42,nan,1.493618,nan,nan,nan
43,1.4896166,1.4962938,nan,nan,nan
44,1.4895884,1.4962654,nan,nan,nan
45,1.4896237,1.4963009,nan,nan,nan
46,1.489661,1.496338,nan,nan,nan
47,1.4901698,1.4968462,nan,nan,nan
48,1.4901863,1.4968631,nan,nan,nan
49,1.4901146,1.4967912,nan,nan,nan
50,1.4905807,1.4972564,nan,nan,nan
51,1.4900262,1.4967026,nan,nan,nan
52,1.4901276,1.4968041,nan,nan,nan
53,1.4903432,1.4970196,nan,nan,nan
54,1.4893146,1.4959918,nan,nan,nan
55,1.4891874,1.4958651,nan,nan,nan
56,1.4894639,1.4961414,nan,nan,nan
57,1.4894333,1.4961108,nan,nan,nan
58,1.4894418,1.4961193,nan,nan,nan
59,1.4898794,1.4965563,nan,nan,nan
60,1.489504,1.4961814,nan,nan,nan
61,1.4899597,1.4966363,nan,nan,nan
62,1.489454,1.4961315,nan,nan,nan
63,1.489492,1.4961694,nan,nan,nan
64,1.4899141,1.4965909,nan,nan,nan
65,1.4899389,1.4966154,nan,nan,nan
66,1.4899195,1.4965966,nan,nan,nan
67,1.4896787,1.496356,nan,nan,nan
68,1.4899478,1.4966246,nan,nan,nan
69,1.489838,1.4965148,nan,nan,nan
70,1.4899327,1.4966097,nan,nan,nan
71,1.4900556,1.4967321,nan,nan,nan
72,1.4899666,1.4966432,nan,nan,nan
73,1.4899017,1.4965785,nan,nan,nan
74,1.4890274,1.4957054,nan,nan,nan
75,2.1931803,2.2010357,4.2332497,nan,nan
76,nan,1.4231465,nan,nan,nan
77,nan,1.423074,nan,nan,nan
78,nan,1.4231812,nan,nan,nan
79,nan,1.4232959,nan,nan,nan
80,nan,1.4230995,nan,nan,nan
81,nan,1.4235138,nan,nan,nan
82,nan,1.4233645,nan,nan,nan
83,nan,1.4232774,nan,nan,nan
84,nan,1.4226066,nan,nan,nan
85,nan,1.4238495,nan,nan,nan
86,nan,1.4235083,nan,nan,nan
87,nan,1.4229515,nan,nan,nan
88,nan,1.4228237,nan,nan,nan
89,nan,1.4233584,nan,nan,nan
90,nan,1.4232146,nan,nan,nan
91,nan,1.4228777,nan,nan,nan
92,nan,1.4233975,nan,nan,nan
93,nan,1.4226348,nan,nan,nan
94,nan,1.4227456,nan,nan,nan
95,nan,1.422758,nan,nan,nan
96,nan,1.4227103,nan,nan,nan
97,nan,1.4225258,nan,nan,nan
98,nan,1.4224837,nan,nan,nan
99,nan,1.4230036,nan,nan,nan
100,nan,1.4229697,nan,nan,nan
101,nan,1.4230844,nan,nan,nan
102,nan,1.4230658,nan,nan,nan
103,nan,1.4227697,nan,nan,nan
104,nan,1.4231231,nan,nan,nan
105,nan,1.4226093,nan,nan,nan
106,nan,1.4224067,nan,nan,nan
107,1.4179221,1.424702,nan,nan,nan
108,1.4183986,1.4251777,nan,nan,nan
109,1.4184983,1.4252776,nan,nan,nan
110,1.4187025,1.425481,nan,nan,nan
111,1.4187741,1.4255527,nan,nan,nan
112,1.4184781,1.4252574,nan,nan,nan
113,1.4184546,1.4252337,nan,nan,nan
114,1.4184518,1.4252312,nan,nan,nan
115,1.4181551,1.4249345,nan,nan,nan
116,1.4185253,1.4253042,nan,nan,nan
117,1.4186614,1.4254402,nan,nan,nan
118,1.4187279,1.4255067,nan,nan,nan
119,1.4184793,1.4252588,nan,nan,nan
120,1.4184476,1.4252269,nan,nan,nan
121,1.4184453,1.4252241,nan,nan,nan
122,1.4184151,1.4251945,nan,nan,nan
123,1.418463,1.4252421,nan,nan,nan
124,1.4181546,1.4249344,nan,nan,nan
125,1.4181372,1.4249166,nan,nan,nan
126,1.4186517,1.4254308,nan,nan,nan
127,1.4181367,1.424916,nan,nan,nan
128,1.4183462,1.4251255,nan,nan,nan
129,1.4189525,1.4257311,nan,nan,nan
130,1.4189264,1.4257046,nan,nan,nan
131,1.4187948,1.4255737,nan,nan,nan
132,1.418041,1.4248208,nan,nan,nan
133,1.4183743,1.4251537,nan,nan,nan
134,1.4184116,1.4251909,nan,nan,nan
135,1.418234,1.4250133,nan,nan,nan
