index,owtt_0_bounce,owtt_1_bounce,owtt_2_bounce,owtt_3_bounce,owtt_4_bounce
0,1.4863075,1.4933107,nan,nan,nan
1,1.4863012,1.4933043,nan,nan,nan
2,1.4861459,1.4931488,nan,nan,nan
3,1.4868594,1.4938549,nan,nan,nan
4,1.4870961,1.494092,nan,nan,nan
5,1.4870645,1.49406,nan,nan,nan
6,1.4870064,1.4940019,nan,nan,nan
7,1.4867173,1.4937116,nan,nan,nan
8,1.4865102,1.4935141,nan,nan,nan
9,1.4865849,1.4935789,nan,nan,nan
10,1.4866359,1.49363,nan,nan,nan
11,1.4867104,1.4937047,nan,nan,nan
12,1.486872,1.4938673,nan,nan,nan
13,1.4869499,1.4939454,nan,nan,nan
14,1.486703,1.4936972,nan,nan,nan
15,1.4867147,1.4937091,nan,nan,nan
16,1.4871211,1.4941169,nan,nan,nan
17,1.4866186,1.4936129,nan,nan,nan
18,1.4873657,1.494357,nan,nan,nan
19,1.4875387,1.4945315,nan,nan,nan
20,1.4873776,1.4943689,nan,nan,nan
21,1.487431,1.4944236,nan,nan,nan
22,1.4871362,1.4941322,nan,nan,nan
23,1.4871799,1.4941757,nan,nan,nan
24,1.4876263,1.4946191,nan,nan,nan
25,1.4871777,1.4941735,nan,nan,nan
26,1.4859402,1.4929427,nan,nan,nan
27,1.4860699,1.4930733,nan,nan,nan
28,1.4861623,1.4931654,nan,nan,nan
29,1.4862502,1.4932532,nan,nan,nan
30,1.4861629,1.4931659,nan,nan,nan
31,1.4863963,1.4933997,nan,nan,nan
32,1.4863359,1.493339,nan,nan,nan
33,1.4870886,1.4940844,nan,nan,nan
34,1.4876848,1.494678,nan,nan,nan
35,1.4877476,1.494741,nan,nan,nan
36,1.4871267,1.4941225,nan,nan,nan
37,1.4870242,1.49402,nan,nan,nan
38,1.4873011,1.4942921,nan,nan,nan
39,1.4876426,1.4946358,nan,nan,nan
40,1.4874415,1.4944339,nan,nan,nan
41,1.4869822,1.4939779,nan,nan,nan
42,1.4867427,1.4937379,nan,nan,nan
43,1.4906433,1.4963114,nan,nan,nan
44,1.4906151,1.4962832,nan,nan,nan
45,1.4906505,1.4963186,nan,nan,nan
46,1.4906877,1.496356,nan,nan,nan
47,1.4911982,1.4968622,nan,nan,nan
48,1.4912151,1.4968789,nan,nan,nan
49,1.4911429,1.4968089,nan,nan,nan
50,1.4916102,1.4972726,nan,nan,nan
51,1.4910542,1.4967207,nan,nan,nan
52,1.4911559,1.4968219,nan,nan,nan
53,1.4913726,1.4970355,nan,nan,nan
54,1.4903402,1.4960115,nan,nan,nan
55,1.4902128,1.4958842,nan,nan,nan
56,1.4904902,1.4961604,nan,nan,nan
57,1.4904597,1.4961299,nan,nan,nan
58,1.4904683,1.4961383,nan,nan,nan
59,1.4909068,1.4965743,nan,nan,nan
60,1.4905305,1.496199,nan,nan,nan
61,1.4909874,1.4966542,nan,nan,nan
62,1.4904803,1.4961506,nan,nan,nan
63,1.4905187,1.4961872,nan,nan,nan
64,1.4909416,1.4966086,nan,nan,nan
65,1.4909666,1.4966336,nan,nan,nan
66,1.4909471,1.4966142,nan,nan,nan
67,1.4907058,1.4963738,nan,nan,nan
68,1.4909756,1.4966425,nan,nan,nan
69,1.4908655,1.4965327,nan,nan,nan
70,1.4909604,1.4966273,nan,nan,nan
71,1.491084,1.4967505,nan,nan,nan
72,1.4909946,1.4966612,nan,nan,nan
73,1.4909294,1.4965963,nan,nan,nan
74,1.4900527,1.4957246,nan,nan,nan
75,2.1931725,2.199816,4.2295647,nan,nan
76,1.4164032,1.4232298,nan,nan,nan
77,1.4163307,1.4231572,nan,nan,nan
78,1.4164377,1.4232646,nan,nan,nan
79,1.4165514,1.4233583,nan,nan,nan
80,1.4163561,1.4231828,nan,nan,nan
81,1.4167689,1.4235258,nan,nan,nan
82,1.4166197,1.423427,nan,nan,nan
83,1.4165338,1.4233397,nan,nan,nan
84,1.4158648,1.4227327,nan,nan,nan
85,1.4171028,1.4238622,nan,nan,nan
86,1.4167635,1.4235204,nan,nan,nan
87,1.4162081,1.4230344,nan,nan,nan
88,1.4160817,1.4229063,nan,nan,nan
89,1.4166137,1.4234209,nan,nan,nan
90,1.416471,1.4232765,nan,nan,nan
