index,owtt_0_bounce,owtt_1_bounce,owtt_2_bounce,owtt_3_bounce,owtt_4_bounce
0,1.4903262,1.4952531,nan,nan,nan
1,1.4903201,1.4952468,nan,nan,nan
2,1.4901643,1.495091,nan,nan,nan
3,1.4908801,1.4958078,nan,nan,nan
4,1.4911222,1.4960454,nan,nan,nan
5,1.4910907,1.4960136,nan,nan,nan
6,1.4910321,1.4959552,nan,nan,nan
7,1.4907366,1.4956641,nan,nan,nan
8,1.4905297,1.4954563,nan,nan,nan
9,1.4906043,1.4955312,nan,nan,nan
10,1.490655,1.4955826,nan,nan,nan
11,1.4907297,1.4956572,nan,nan,nan
12,1.4908923,1.4958203,nan,nan,nan
13,1.4909753,1.4958985,nan,nan,nan
14,1.4907221,1.4956496,nan,nan,nan
15,1.4907339,1.4956617,nan,nan,nan
16,1.4911472,1.4960706,nan,nan,nan
17,1.4906377,1.4955652,nan,nan,nan
18,1.4913929,1.4963162,nan,nan,nan
19,1.4915673,1.4964907,nan,nan,nan
20,1.4914048,1.496328,nan,nan,nan
21,1.4914593,1.4963827,nan,nan,nan
22,1.4911625,1.4960858,nan,nan,nan
23,1.491206,1.4961293,nan,nan,nan
24,1.4916551,1.496579,nan,nan,nan
25,1.4912039,1.4961272,nan,nan,nan
26,1.4899583,1.4948845,nan,nan,nan
27,1.4900887,1.4950151,nan,nan,nan
28,1.4901809,1.4951072,nan,nan,nan
29,1.490269,1.4951954,nan,nan,nan
30,1.4901813,1.4951079,nan,nan,nan
31,1.4904156,1.4953423,nan,nan,nan
32,1.4903548,1.4952815,nan,nan,nan
33,1.4911146,1.4960376,nan,nan,nan
34,1.4917136,1.4966382,nan,nan,nan
35,1.491777,1.4967012,nan,nan,nan
36,1.4911528,1.4960757,nan,nan,nan
37,1.4910502,1.4959733,nan,nan,nan
38,1.4913279,1.4962511,nan,nan,nan
39,1.4916718,1.4965957,nan,nan,nan
40,1.4914696,1.4963928,nan,nan,nan
41,1.491008,1.4959313,nan,nan,nan
42,1.4907631,1.4956907,nan,nan,nan
43,1.4898801,1.4984273,nan,nan,nan
44,1.4898516,1.4983989,nan,nan,nan
45,1.489887,1.4984345,nan,nan,nan
46,1.4899241,1.4984716,nan,nan,nan
47,1.4904339,1.4989806,nan,nan,nan
48,1.4904507,1.4989974,nan,nan,nan
49,1.4903786,1.4989253,nan,nan,nan
50,1.4908462,1.4993918,nan,nan,nan
51,1.4902898,1.498837,nan,nan,nan
52,1.490392,1.4989386,nan,nan,nan
53,1.4906081,1.4991542,nan,nan,nan
54,1.4895769,1.4981253,nan,nan,nan
55,1.4894494,1.4979978,nan,nan,nan
56,1.489727,1.4982748,nan,nan,nan
57,1.4896961,1.498244,nan,nan,nan
58,1.4897048,1.4982524,nan,nan,nan
59,1.4901431,1.4986902,nan,nan,nan
60,1.489767,1.4983146,nan,nan,nan
61,1.4902239,1.4987702,nan,nan,nan
62,1.4897169,1.4982649,nan,nan,nan
63,1.4897549,1.4983027,nan,nan,nan
64,1.4901779,1.4987248,nan,nan,nan
65,1.4902028,1.4987497,nan,nan,nan
66,1.4901836,1.4987303,nan,nan,nan
67,1.489942,1.4984897,nan,nan,nan
68,1.490212,1.4987587,nan,nan,nan
69,1.4901016,1.4986486,nan,nan,nan
70,1.4901967,1.4987437,nan,nan,nan
71,1.4903197,1.4988664,nan,nan,nan
72,1.4902306,1.4987773,nan,nan,nan
73,1.4901652,1.4987124,nan,nan,nan
74,1.4892893,1.497838,nan,nan,nan
75,2.1917353,2.2000275,4.2310863,nan,nan
76,1.4201056,1.4250231,nan,nan,nan
77,1.4200327,1.4249505,nan,nan,nan
78,1.4201403,1.4250575,nan,nan,nan
79,1.4202552,1.4251726,nan,nan,nan
80,1.4200586,1.4249758,nan,nan,nan
81,1.420473,1.4253908,nan,nan,nan
82,1.4203235,1.4252412,nan,nan,nan
83,1.4202365,1.425154,nan,nan,nan
84,1.4195657,1.4244823,nan,nan,nan
85,1.420809,1.4257271,nan,nan,nan
86,1.4204677,1.4253854,nan,nan,nan
87,1.4199111,1.4248278,nan,nan,nan
88,1.4197832,1.4247,nan,nan,nan
89,1.4203175,1.4252353,nan,nan,nan
90,1.4201734,1.4250909,nan,nan,nan
91,1.4198371,1.4247537,nan,nan,nan
92,1.420357,1.4252748,nan,nan,nan
93,1.4195939,1.4245105,nan,nan,nan
94,1.419705,1.4246215,nan,nan,nan
95,1.4197172,1.4246337,nan,nan,nan
96,1.4196697,1.4245862,nan,nan,nan
97,1.4194846,1.4244009,nan,nan,nan
98,1.4194422,1.4243587,nan,nan,nan
99,1.4199623,1.4248799,nan,nan,nan
100,1.4199293,1.4248459,nan,nan,nan
101,1.4200435,1.4249607,nan,nan,nan
102,1.4200248,1.4249424,nan,nan,nan
103,1.419729,1.4246457,nan,nan,nan
104,1.4200821,1.425,nan,nan,nan
105,1.4195684,1.4244851,nan,nan,nan
106,1.4193655,1.424282,nan,nan,nan
107,1.4180398,1.4267303,nan,nan,nan
108,1.4185168,1.427207,nan,nan,nan
109,1.4186168,1.4273065,nan,nan,nan
110,1.4188212,1.4275103,nan,nan,nan
111,1.4188931,1.4275823,nan,nan,nan
112,1.4185967,1.4272864,nan,nan,nan
113,1.4185729,1.427263,nan,nan,nan
114,1.4185704,1.4272603,nan,nan,nan
115,1.418273,1.4269634,nan,nan,nan
116,1.418644,1.4273335,nan,nan,nan
117,1.4187802,1.4274694,nan,nan,nan
118,1.4188468,1.4275359,nan,nan,nan
119,1.4185982,1.4272877,nan,nan,nan
120,1.4185662,1.427256,nan,nan,nan
121,1.4185634,1.4272534,nan,nan,nan
122,1.4185336,1.4272234,nan,nan,nan
123,1.4185814,1.4272714,nan,nan,nan
124,1.4182725,1.426963,nan,nan,nan
125,1.4182551,1.4269456,nan,nan,nan
126,1.4187707,1.42746,nan,nan,nan
127,1.4182544,1.4269447,nan,nan,nan
128,1.4184645,1.4271544,nan,nan,nan
129,1.4190723,1.4277608,nan,nan,nan
130,1.4190459,1.4277346,nan,nan,nan
131,1.4189144,1.4276032,nan,nan,nan
132,1.4181584,1.4268494,nan,nan,nan
133,1.4184928,1.4271827,nan,nan,nan
134,1.4185301,1.42722,nan,nan,nan
135,1.418352,1.4270422,nan,nan,nan
136,1.4183694,1.4270594,nan,nan,nan
137,1.4183466,1.4270369,nan,nan,nan
138,1.4183744,1.4270643,nan,nan,nan
139,1.4189241,1.4276129,nan,nan,nan
140,1.0166419,1.0200335,nan,nan,nan
141,1.0165491,1.0199409,nan,nan,nan
142,1.0162029,1.0195948,nan,nan,nan
143,1.015905,1.0192968,nan,nan,nan
144,1.0162044,1.0195961,nan,nan,nan
145,1.0161481,1.01954,nan,nan,nan
146,1.0166358,1.0200273,nan,nan,nan
147,1.0160596,1.0194515,nan,nan,nan
148,1.015453,1.0188448,nan,nan,nan
149,1.0153828,1.018775,nan,nan,nan
150,1.0156877,1.0190796,nan,nan,nan
151,1.0145844,1.0179768,nan,nan,nan
152,1.0149541,1.0183467,nan,nan,nan
153,1.0151461,1.0185381,nan,nan,nan
154,1.0148579,1.0182506,nan,nan,nan
155,1.0153408,1.0187328,nan,nan,nan
156,1.0153102,1.0187024,nan,nan,nan
157,1.0150964,1.0184884,nan,nan,nan
158,1.0148517,1.0182441,nan,nan,nan
159,1.0145941,1.0179868,nan,nan,nan
160,1.0154289,1.0188205,nan,nan,nan
161,1.015687,1.019079,nan,nan,nan
162,1.0165658,1.0199575,nan,nan,nan
163,1.0168421,1.0202335,nan,nan,nan
