index,owtt_0_bounce,owtt_1_bounce,owtt_2_bounce,owtt_3_bounce,owtt_4_bounce
0,1.4905099,1.4951168,nan,nan,nan
1,1.4905037,1.4951105,nan,nan,nan
2,1.4903418,1.4949536,nan,nan,nan
3,1.4910814,1.4956712,nan,nan,nan
4,1.491319,1.495915,nan,nan,nan
5,1.491287,1.4958906,nan,nan,nan
6,1.4912288,1.4958183,nan,nan,nan
7,1.4909215,1.4955279,nan,nan,nan
8,1.4907138,1.4953243,nan,nan,nan
9,1.4907886,1.4953951,nan,nan,nan
10,1.4908397,1.4954462,nan,nan,nan
11,1.4909146,1.4955207,nan,nan,nan
12,1.4910936,1.4956834,nan,nan,nan
13,1.4911723,1.4957602,nan,nan,nan
14,1.490907,1.4955132,nan,nan,nan
15,1.4909189,1.4955252,nan,nan,nan
16,1.4913439,1.4959399,nan,nan,nan
17,1.4908227,1.4954365,nan,nan,nan
18,1.4915898,1.4961846,nan,nan,nan
19,1.4917684,1.4963589,nan,nan,nan
20,1.4916016,1.4961965,nan,nan,nan
21,1.4916563,1.4962504,nan,nan,nan
22,1.4913591,1.4959552,nan,nan,nan
23,1.4914027,1.4959987,nan,nan,nan
24,1.4918565,1.496447,nan,nan,nan
25,1.4914007,1.4959966,nan,nan,nan
26,1.4901226,1.494751,nan,nan,nan
27,1.4902666,1.4948823,nan,nan,nan
28,1.4903584,1.494979,nan,nan,nan
29,1.4904526,1.4950593,nan,nan,nan
30,1.4903592,1.4949722,nan,nan,nan
31,1.4905995,1.4952198,nan,nan,nan
32,1.4905386,1.4951493,nan,nan,nan
33,1.4913113,1.4959087,nan,nan,nan
34,1.4919152,1.4965068,nan,nan,nan
35,1.4919782,1.4965867,nan,nan,nan
36,1.4913495,1.4959469,nan,nan,nan
37,1.4912472,1.4958434,nan,nan,nan
38,1.4915247,1.4961197,nan,nan,nan
39,1.491873,1.4964635,nan,nan,nan
40,1.4916708,1.4962661,nan,nan,nan
41,1.4912046,1.4957935,nan,nan,nan
42,1.4909478,1.4955541,nan,nan,nan
43,1.4899075,1.4984245,nan,nan,nan
44,1.4898791,1.498396,nan,nan,nan
45,1.4899144,1.4984313,nan,nan,nan
46,1.489952,1.4984684,nan,nan,nan
47,1.4904618,1.4989775,nan,nan,nan
48,1.4904785,1.4989942,nan,nan,nan
49,1.4904064,1.4989225,nan,nan,nan
50,1.4908736,1.4993885,nan,nan,nan
51,1.4903177,1.4988337,nan,nan,nan
52,1.4904195,1.4989356,nan,nan,nan
53,1.4906356,1.4991513,nan,nan,nan
54,1.4896047,1.498122,nan,nan,nan
55,1.489477,1.4979947,nan,nan,nan
56,1.4897546,1.4982713,nan,nan,nan
57,1.4897237,1.498241,nan,nan,nan
58,1.4897323,1.4982493,nan,nan,nan
59,1.4901711,1.4986875,nan,nan,nan
60,1.4897945,1.4983118,nan,nan,nan
61,1.4902512,1.4987675,nan,nan,nan
62,1.4897449,1.4982616,nan,nan,nan
63,1.489783,1.4982996,nan,nan,nan
64,1.4902052,1.4987218,nan,nan,nan
65,1.4902304,1.4987465,nan,nan,nan
66,1.490211,1.4987274,nan,nan,nan
67,1.48997,1.4984865,nan,nan,nan
68,1.4902394,1.4987557,nan,nan,nan
69,1.4901292,1.4986459,nan,nan,nan
70,1.4902242,1.4987407,nan,nan,nan
71,1.4903475,1.4988637,nan,nan,nan
72,1.4902581,1.4987742,nan,nan,nan
73,1.4901931,1.4987094,nan,nan,nan
74,1.4893172,1.4978352,nan,nan,nan
75,2.1918013,2.2000313,4.2273645,nan,nan
76,1.4202629,1.4249876,nan,nan,nan
77,1.4201905,1.4249244,nan,nan,nan
78,1.4203029,1.4250314,nan,nan,nan
79,1.4204276,1.4251472,nan,nan,nan
80,1.4202139,1.4249498,nan,nan,nan
81,1.4206231,1.4253583,nan,nan,nan
82,1.4204855,1.4252032,nan,nan,nan
83,1.4204018,1.425128,nan,nan,nan
84,1.4197426,1.424482,nan,nan,nan
85,1.4209421,1.4256738,nan,nan,nan
86,1.4206301,1.4253613,nan,nan,nan
87,1.420057,1.4248097,nan,nan,nan
88,1.4199554,1.4246832,nan,nan,nan
89,1.4204776,1.4251958,nan,nan,nan
90,1.4203346,1.4250649,nan,nan,nan
91,1.4199923,1.4247402,nan,nan,nan
92,1.4205241,1.4252459,nan,nan,nan
93,1.4197724,1.424493,nan,nan,nan
94,1.4198738,1.4246159,nan,nan,nan
95,1.4198985,1.4246109,nan,nan,nan
96,1.419864,1.4245691,nan,nan,nan
97,1.4196556,1.4243829,nan,nan,nan
98,1.4196241,1.4243599,nan,nan,nan
99,1.4201199,1.4248612,nan,nan,nan
100,1.4200823,1.4248265,nan,nan,nan
101,1.4202061,1.4249341,nan,nan,nan
102,1.4201801,1.4249232,nan,nan,nan
103,1.4199103,1.4246392,nan,nan,nan
104,1.4202394,1.4249735,nan,nan,nan
105,1.4197577,1.4244775,nan,nan,nan
106,1.4195435,1.4242831,nan,nan,nan
107,1.4180644,1.4267266,nan,nan,nan
108,1.4185423,1.4272029,nan,nan,nan
109,1.4186418,1.4273026,nan,nan,nan
110,1.4188465,1.4275068,nan,nan,nan
111,1.4189181,1.4275786,nan,nan,nan
112,1.4186217,1.4272827,nan,nan,nan
113,1.4185984,1.4272591,nan,nan,nan
114,1.4185953,1.4272565,nan,nan,nan
115,1.4182979,1.4269595,nan,nan,nan
116,1.4186691,1.4273295,nan,nan,nan
117,1.4188051,1.4274659,nan,nan,nan
118,1.4188715,1.4275323,nan,nan,nan
