index,owtt_0_bounce,owtt_1_bounce,owtt_2_bounce,owtt_3_bounce,owtt_4_bounce
0,1.4858654,1.4924909,nan,nan,nan
1,1.485859,1.4924848,nan,nan,nan
2,1.4857035,1.4923295,nan,nan,nan
3,1.486419,1.4930445,nan,nan,nan
4,1.486656,1.4932812,nan,nan,nan
5,1.4866242,1.4932495,nan,nan,nan
6,1.4865661,1.4931917,nan,nan,nan
7,1.4862757,1.4929013,nan,nan,nan
8,1.4860686,1.4926941,nan,nan,nan
9,1.4861432,1.4927686,nan,nan,nan
10,1.4861941,1.4928198,nan,nan,nan
11,1.4862688,1.4928944,nan,nan,nan
12,1.4864314,1.4930567,nan,nan,nan
13,1.4865094,1.493135,nan,nan,nan
14,1.4862612,1.4928868,nan,nan,nan
15,1.4862732,1.4928986,nan,nan,nan
16,1.486681,1.4933063,nan,nan,nan
17,1.486177,1.4928026,nan,nan,nan
18,1.4869263,1.4935515,nan,nan,nan
19,1.4871004,1.4937255,nan,nan,nan
20,1.4869382,1.4935633,nan,nan,nan
21,1.4869926,1.4936178,nan,nan,nan
22,1.4866962,1.4933217,nan,nan,nan
23,1.4867396,1.4933649,nan,nan,nan
24,1.4871885,1.4938135,nan,nan,nan
25,1.4867376,1.4933629,nan,nan,nan
26,1.4854976,1.4921235,nan,nan,nan
27,1.4856278,1.4922539,nan,nan,nan
28,1.4857202,1.4923458,nan,nan,nan
29,1.4858079,1.4924337,nan,nan,nan
30,1.4857206,1.4923465,nan,nan,nan
31,1.4859544,1.49258,nan,nan,nan
32,1.4858936,1.4925194,nan,nan,nan
33,1.4866483,1.4932737,nan,nan,nan
34,1.487247,1.493872,nan,nan,nan
35,1.4873099,1.4939349,nan,nan,nan
36,1.4866865,1.4933119,nan,nan,nan
37,1.4865842,1.4932096,nan,nan,nan
38,1.4868613,1.4934865,nan,nan,nan
39,1.4872048,1.49383,nan,nan,nan
40,1.4870031,1.4936283,nan,nan,nan
41,1.4865419,1.4931673,nan,nan,nan
42,1.486302,1.4929278,nan,nan,nan
43,1.4880917,1.4954404,nan,nan,nan
44,1.4880635,1.4954122,nan,nan,nan
45,1.4880987,1.4954474,nan,nan,nan
46,1.4881359,1.4954846,nan,nan,nan
47,1.4886444,1.4959923,nan,nan,nan
48,1.4886612,1.4960092,nan,nan,nan
49,1.4885892,1.4959375,nan,nan,nan
50,1.4890547,1.4964025,nan,nan,nan
51,1.4885008,1.495849,nan,nan,nan
52,1.4886022,1.4959502,nan,nan,nan
53,1.4888177,1.4961656,nan,nan,nan
54,1.48779,1.4951389,nan,nan,nan
55,1.4876627,1.4950117,nan,nan,nan
56,1.4879391,1.4952878,nan,nan,nan
57,1.4879086,1.4952574,nan,nan,nan
58,1.4879171,1.4952658,nan,nan,nan
59,1.4883541,1.4957026,nan,nan,nan
60,1.4879793,1.4953277,nan,nan,nan
61,1.4884343,1.4957826,nan,nan,nan
62,1.4879293,1.495278,nan,nan,nan
63,1.4879675,1.495316,nan,nan,nan
64,1.4883889,1.4957373,nan,nan,nan
65,1.4884136,1.4957619,nan,nan,nan
66,1.4883944,1.4957428,nan,nan,nan
67,1.4881539,1.4955024,nan,nan,nan
68,1.4884226,1.4957712,nan,nan,nan
69,1.4883127,1.4956611,nan,nan,nan
70,1.4884075,1.4957557,nan,nan,nan
71,1.4885303,1.4958783,nan,nan,nan
72,1.4884413,1.4957894,nan,nan,nan
73,1.4883763,1.4957246,nan,nan,nan
74,1.4875033,1.4948522,nan,nan,nan
75,2.188294,2.2024987,nan,nan,nan
76,1.4158732,1.4223814,nan,nan,nan
77,1.4158006,1.4223089,nan,nan,nan
78,1.4159077,1.422416,nan,nan,nan
79,1.4160225,1.4225305,nan,nan,nan
80,1.4158262,1.4223343,nan,nan,nan
81,1.4162402,1.4227483,nan,nan,nan
82,1.416091,1.4225991,nan,nan,nan
83,1.4160038,1.4225122,nan,nan,nan
84,1.4153333,1.421842,nan,nan,nan
85,1.4165752,1.4230834,nan,nan,nan
86,1.4162347,1.4227427,nan,nan,nan
87,1.4156781,1.4221865,nan,nan,nan
88,1.4155505,1.4220589,nan,nan,nan
89,1.4160849,1.422593,nan,nan,nan
90,1.4159411,1.4224491,nan,nan,nan
91,1.4156044,1.4221127,nan,nan,nan
92,1.4161242,1.4226322,nan,nan,nan
93,1.4153616,1.4218701,nan,nan,nan
94,1.4154724,1.4219809,nan,nan,nan
95,1.4154847,1.4219931,nan,nan,nan
96,1.415437,1.4219456,nan,nan,nan
97,1.4152524,1.421761,nan,nan,nan
98,1.4152101,1.4217188,nan,nan,nan
99,1.4157302,1.4222385,nan,nan,nan
100,1.4156961,1.4222046,nan,nan,nan
101,1.4158112,1.4223194,nan,nan,nan
102,1.4157925,1.4223007,nan,nan,nan
103,1.4154963,1.4220048,nan,nan,nan
104,1.4158498,1.422358,nan,nan,nan
105,1.4153361,1.4218446,nan,nan,nan
106,1.4151335,1.4216422,nan,nan,nan
107,1.4165888,1.4239036,nan,nan,nan
108,1.4170616,1.4243789,nan,nan,nan
109,1.4171603,1.4244783,nan,nan,nan
110,1.4173628,1.4246818,nan,nan,nan
111,1.4174341,1.4247535,nan,nan,nan
112,1.4171402,1.4244583,nan,nan,nan
113,1.4171169,1.4244347,nan,nan,nan
114,1.4171144,1.4244324,nan,nan,nan
115,1.41682,1.4241359,nan,nan,nan
116,1.4171869,1.4245051,nan,nan,nan
117,1.417322,1.424641,nan,nan,nan
118,1.4173882,1.4247075,nan,nan,nan
119,1.4171417,1.4244596,nan,nan,nan
120,1.4171101,1.424428,nan,nan,nan
121,1.4171075,1.4244252,nan,nan,nan
122,1.417078,1.4243952,nan,nan,nan
123,1.4171253,1.4244432,nan,nan,nan
124,1.4168193,1.4241354,nan,nan,nan
125,1.4168019,1.4241178,nan,nan,nan
126,1.4173126,1.4246314,nan,nan,nan
127,1.4168013,1.4241173,nan,nan,nan
128,1.4170094,1.4243263,nan,nan,nan
129,1.4176112,1.4249313,nan,nan,nan
130,1.417585,1.4249054,nan,nan,nan
131,1.4174547,1.4247742,nan,nan,nan
132,1.4167066,1.4240222,nan,nan,nan
133,1.4170376,1.4243546,nan,nan,nan
134,1.4170743,1.4243919,nan,nan,nan
135,1.4168981,1.4242146,nan,nan,nan
136,1.4169153,1.424232,nan,nan,nan
137,1.4168926,1.4242092,nan,nan,nan
138,1.4169202,1.4242367,nan,nan,nan
139,1.4174644,1.424784,nan,nan,nan
140,1.0142484,1.0181624,nan,nan,nan
141,1.0141559,1.01807,nan,nan,nan
142,1.0138104,1.0177243,nan,nan,nan
143,1.0135132,1.0174272,nan,nan,nan
144,1.0138117,1.0177257,nan,nan,nan
145,1.0137558,1.0176696,nan,nan,nan
146,1.014242,1.0181565,nan,nan,nan
147,1.0136673,1.0175813,nan,nan,nan
148,1.0130621,1.0169767,nan,nan,nan
149,1.0129924,1.0169069,nan,nan,nan
150,1.0132962,1.0172105,nan,nan,nan
151,1.0121956,1.0161107,nan,nan,nan
152,1.0125645,1.0164794,nan,nan,nan
153,1.0127559,1.0166706,nan,nan,nan
154,1.0124686,1.0163836,nan,nan,nan
155,1.01295,1.0168645,nan,nan,nan
156,1.0129197,1.0168341,nan,nan,nan
157,1.012706,1.0166208,nan,nan,nan
158,1.0124623,1.0163771,nan,nan,nan
159,1.0122055,1.0161204,nan,nan,nan
160,1.0130379,1.0169524,nan,nan,nan
161,1.0132955,1.0172099,nan,nan,nan
162,1.0141722,1.0180868,nan,nan,nan
163,1.0144479,1.0183622,nan,nan,nan
164,1.0149918,1.0189059,nan,nan,nan
165,1.0133233,1.0172374,nan,nan,nan
166,1.0131049,1.0170193,nan,nan,nan
167,1.0132625,1.0171767,nan,nan,nan
168,1.0129763,1.0168908,nan,nan,nan
169,1.0137461,1.01766,nan,nan,nan
170,1.0139879,1.0179023,nan,nan,nan
171,1.014921,1.0188346,nan,nan,nan
172,1.0153054,1.0192192,nan,nan,nan
173,1.016301,1.0202143,nan,nan,nan
174,1.4863677,1.4929932,nan,nan,nan
175,1.4863249,1.4929502,nan,nan,nan
176,1.4870423,1.4936676,nan,nan,nan
177,1.4870099,1.4936352,nan,nan,nan
178,1.4867555,1.4933808,nan,nan,nan
179,1.4868419,1.4934673,nan,nan,nan
180,1.4866188,1.4932442,nan,nan,nan
181,1.4854714,1.4920973,nan,nan,nan
182,1.4861239,1.4927495,nan,nan,nan
183,1.486486,1.4931115,nan,nan,nan
184,1.4866112,1.4932365,nan,nan,nan
185,1.4862647,1.4928904,nan,nan,nan
186,1.4863344,1.4929601,nan,nan,nan
187,1.486459,1.4930845,nan,nan,nan
188,1.4866112,1.4932365,nan,nan,nan
189,1.487736,1.4950848,nan,nan,nan
190,1.487712,1.495061,nan,nan,nan
191,1.4874667,1.4948156,nan,nan,nan
192,1.487524,1.4948729,nan,nan,nan
193,1.488513,1.4958613,nan,nan,nan
194,1.4885088,1.4958571,nan,nan,nan
195,1.4878024,1.4951508,nan,nan,nan
196,1.4878355,1.4951843,nan,nan,nan
197,1.4880116,1.4953603,nan,nan,nan
198,1.4883342,1.4956827,nan,nan,nan
199,1.4882498,1.4955983,nan,nan,nan
200,1.4881284,1.495477,nan,nan,nan
201,1.4882314,1.4955798,nan,nan,nan
202,1.4883839,1.4957324,nan,nan,nan
203,1.4882292,1.4955777,nan,nan,nan
204,1.4882271,1.4955758,nan,nan,nan
205,1.4882714,1.4956198,nan,nan,nan
206,1.4882153,1.4955637,nan,nan,nan
207,1.4881753,1.4955238,nan,nan,nan
208,1.4879724,1.4953208,nan,nan,nan
209,1.4881111,1.4954594,nan,nan,nan
210,1.4882314,1.4955798,nan,nan,nan
211,1.4882873,1.4956355,nan,nan,nan
212,1.4882543,1.4956027,nan,nan,nan
213,1.4881549,1.4955034,nan,nan,nan
214,1.488013,1.4953617,nan,nan,nan
215,1.4878894,1.4952383,nan,nan,nan
216,1.4878432,1.4951919,nan,nan,nan
217,1.487658,1.4950069,nan,nan,nan
218,1.4878874,1.495236,nan,nan,nan
219,1.4879224,1.4952714,nan,nan,nan
220,1.487787,1.495136,nan,nan,nan
221,1.4876773,1.4950261,nan,nan,nan
222,1.4884267,1.495775,nan,nan,nan
223,1.4881479,1.4954963,nan,nan,nan
224,1.4881365,1.4954852,nan,nan,nan
225,1.487948,1.4952966,nan,nan,nan
226,1.4878902,1.4952389,nan,nan,nan
227,1.4876779,1.4950268,nan,nan,nan
228,1.4875587,1.4949077,nan,nan,nan
229,1.4876164,1.4949653,nan,nan,nan
230,1.4875932,1.494942,nan,nan,nan
231,1.4874209,1.4947699,nan,nan,nan
232,1.4879678,1.4953167,nan,nan,nan
233,1.4880167,1.4953655,nan,nan,nan
234,1.4874307,1.4947797,nan,nan,nan
235,1.4882575,1.4956058,nan,nan,nan
236,1.487636,1.4949849,nan,nan,nan
237,1.4880158,1.4953643,nan,nan,nan
238,1.4880047,1.4953533,nan,nan,nan
239,1.488009,1.4953576,nan,nan,nan
240,1.4875633,1.494912,nan,nan,nan
241,1.4876732,1.495022,nan,nan,nan
242,1.4883778,1.4957261,nan,nan,nan
243,1.4877355,1.4950845,nan,nan,nan
244,1.4161533,1.4226613,nan,nan,nan
245,1.4158925,1.4224008,nan,nan,nan
246,1.4155152,1.4220238,nan,nan,nan
247,1.4154695,1.421978,nan,nan,nan
248,1.4163337,1.4228417,nan,nan,nan
249,1.4155607,1.422069,nan,nan,nan
250,1.416293,1.4228009,nan,nan,nan
251,1.4156665,1.4221748,nan,nan,nan
252,1.4159881,1.4224963,nan,nan,nan
253,1.415457,1.4219655,nan,nan,nan
254,1.4155407,1.4220493,nan,nan,nan
255,1.4155525,1.4220608,nan,nan,nan
256,1.4153762,1.4218848,nan,nan,nan
257,1.4152476,1.421756,nan,nan,nan
258,1.41571,1.4222183,nan,nan,nan
259,1.4153388,1.4218475,nan,nan,nan
260,1.4157399,1.4222481,nan,nan,nan
261,1.417244,1.4245625,nan,nan,nan
262,1.417668,1.4249889,nan,nan,nan
263,1.4175495,1.4248693,nan,nan,nan
264,1.4174025,1.4247216,nan,nan,nan
265,1.4172482,1.4245666,nan,nan,nan
266,1.4172345,1.424553,nan,nan,nan
267,1.4171267,1.4244444,nan,nan,nan
268,1.4171596,1.4244775,nan,nan,nan
269,1.4176483,1.424969,nan,nan,nan
270,1.4177333,1.4250543,nan,nan,nan
271,1.417874,1.4251958,nan,nan,nan
272,1.417036,1.4243532,nan,nan,nan
273,1.4170094,1.4243263,nan,nan,nan
274,1.416942,1.4242588,nan,nan,nan
275,1.4174575,1.4247772,nan,nan,nan
276,1.4175351,1.424855,nan,nan,nan
277,1.4175892,1.4249095,nan,nan,nan
278,1.4175329,1.424853,nan,nan,nan
279,1.4175123,1.4248322,nan,nan,nan
280,1.4175955,1.4249156,nan,nan,nan
281,1.4174472,1.4247665,nan,nan,nan
282,1.41741,1.4247295,nan,nan,nan
283,1.4176813,1.4250017,nan,nan,nan
284,1.4174601,1.4247795,nan,nan,nan
285,1.417238,1.4245563,nan,nan,nan
286,1.4170203,1.424338,nan,nan,nan
287,1.4172076,1.4245257,nan,nan,nan
288,1.4172975,1.4246162,nan,nan,nan
289,1.416975,1.424292,nan,nan,nan
290,1.4170848,1.4244022,nan,nan,nan
291,1.416932,1.4242486,nan,nan,nan
292,1.4169743,1.4242914,nan,nan,nan
293,1.4164637,1.423778,nan,nan,nan
294,1.4172428,1.424561,nan,nan,nan
295,1.4172584,1.4245769,nan,nan,nan
296,1.417384,1.4247031,nan,nan,nan
297,1.4173197,1.4246383,nan,nan,nan
298,1.4173428,1.4246615,nan,nan,nan
299,1.4174712,1.424791,nan,nan,nan
300,1.4177012,1.4250221,nan,nan,nan
301,1.4172899,1.4246088,nan,nan,nan
302,1.4173421,1.424661,nan,nan,nan
303,1.4178171,1.4251385,nan,nan,nan
304,1.4175136,1.4248338,nan,nan,nan
305,1.418082,1.4254049,nan,nan,nan
306,1.41745,1.4247695,nan,nan,nan
307,1.4173744,1.4246935,nan,nan,nan
308,1.4172174,1.4245356,nan,nan,nan
309,1.4174265,1.424746,nan,nan,nan
310,1.4173604,1.4246795,nan,nan,nan
311,1.4169518,1.4242687,nan,nan,nan
312,1.4175426,1.4248625,nan,nan,nan
313,1.0136459,1.0175601,nan,nan,nan
314,1.0140369,1.0179513,nan,nan,nan
315,1.0134491,1.0173632,nan,nan,nan
