index,owtt_0_bounce,owtt_1_bounce,owtt_2_bounce,owtt_3_bounce,owtt_4_bounce
0,1.4858323,1.4925969,nan,nan,nan
1,1.4858261,1.4925907,nan,nan,nan
2,1.4856708,1.4924352,nan,nan,nan
3,1.4863851,1.4931504,nan,nan,nan
4,1.4866203,1.4933877,nan,nan,nan
5,1.4865884,1.4933559,nan,nan,nan
6,1.4865322,1.4932973,nan,nan,nan
7,1.486242,1.4930073,nan,nan,nan
8,1.4860348,1.4928004,nan,nan,nan
9,1.4861091,1.4928749,nan,nan,nan
10,1.4861603,1.4929259,nan,nan,nan
11,1.4862349,1.4930004,nan,nan,nan
12,1.4863974,1.4931629,nan,nan,nan
13,1.4864756,1.4932408,nan,nan,nan
14,1.4862275,1.492993,nan,nan,nan
15,1.4862392,1.4930049,nan,nan,nan
16,1.4866452,1.4934125,nan,nan,nan
17,1.4861432,1.4929088,nan,nan,nan
18,1.4868904,1.4936576,nan,nan,nan
19,1.4870647,1.4938316,nan,nan,nan
20,1.4869025,1.4936694,nan,nan,nan
21,1.4869568,1.4937239,nan,nan,nan
22,1.4866605,1.4934275,nan,nan,nan
23,1.486704,1.4934711,nan,nan,nan
24,1.4871526,1.4939193,nan,nan,nan
25,1.4867016,1.493469,nan,nan,nan
26,1.4854648,1.4922298,nan,nan,nan
27,1.4855952,1.4923604,nan,nan,nan
28,1.485687,1.4924521,nan,nan,nan
29,1.4857751,1.4925396,nan,nan,nan
30,1.485688,1.4924526,nan,nan,nan
31,1.4859208,1.4926865,nan,nan,nan
32,1.4858606,1.4926254,nan,nan,nan
33,1.4866127,1.4933801,nan,nan,nan
34,1.4872113,1.4939778,nan,nan,nan
35,1.4872733,1.4940413,nan,nan,nan
36,1.4866508,1.493418,nan,nan,nan
37,1.4865501,1.4933155,nan,nan,nan
38,1.4868256,1.4935927,nan,nan,nan
39,1.487169,1.4939358,nan,nan,nan
40,1.4869672,1.4937342,nan,nan,nan
41,1.4865081,1.4932731,nan,nan,nan
42,1.4862682,1.4930338,nan,nan,nan
43,1.4881284,1.4954727,nan,nan,nan
44,1.4881002,1.4954404,nan,nan,nan
45,1.4881352,1.4954764,nan,nan,nan
46,1.4881724,1.4955133,nan,nan,nan
47,1.4886808,1.496025,nan,nan,nan
48,1.4886973,1.4960436,nan,nan,nan
49,1.4886259,1.4959698,nan,nan,nan
50,1.4890912,1.4964389,nan,nan,nan
51,1.4885375,1.4958806,nan,nan,nan
52,1.4886386,1.4959828,nan,nan,nan
53,1.4888538,1.4961984,nan,nan,nan
54,1.4878271,1.495167,nan,nan,nan
55,1.4877002,1.49504,nan,nan,nan
56,1.487976,1.4953201,nan,nan,nan
57,1.4879456,1.4952855,nan,nan,nan
58,1.487954,1.4952937,nan,nan,nan
