index,owtt_0_bounce,owtt_1_bounce,owtt_2_bounce,owtt_3_bounce,owtt_4_bounce
0,1.4920379,1.4960985,nan,nan,nan
1,1.4920315,1.4960924,nan,nan,nan
2,1.4918756,1.4959368,nan,nan,nan
3,1.4925934,1.4966545,nan,nan,nan
4,1.4928313,1.4968921,nan,nan,nan
5,1.4927994,1.4968605,nan,nan,nan
6,1.4927411,1.496802,nan,nan,nan
7,1.4924495,1.4965109,nan,nan,nan
8,1.4922416,1.4963028,nan,nan,nan
9,1.4923167,1.4963777,nan,nan,nan
10,1.4923679,1.496429,nan,nan,nan
11,1.4924426,1.4965036,nan,nan,nan
12,1.4926057,1.4966667,nan,nan,nan
13,1.4926841,1.4967451,nan,nan,nan
14,1.4924349,1.4964961,nan,nan,nan
15,1.492447,1.4965081,nan,nan,nan
16,1.4928565,1.4969174,nan,nan,nan
17,1.4923507,1.4964114,nan,nan,nan
18,1.4931023,1.4971635,nan,nan,nan
19,1.4932772,1.4973379,nan,nan,nan
20,1.4931145,1.4971752,nan,nan,nan
21,1.4931691,1.4972298,nan,nan,nan
22,1.4928719,1.4969327,nan,nan,nan
23,1.4929152,1.4969759,nan,nan,nan
24,1.4933653,1.4974264,nan,nan,nan
25,1.492913,1.4969741,nan,nan,nan
26,1.4916686,1.49573,nan,nan,nan
27,1.4917997,1.4958606,nan,nan,nan
28,1.4918921,1.4959528,nan,nan,nan
29,1.4919804,1.4960413,nan,nan,nan
30,1.4918926,1.4959537,nan,nan,nan
31,1.4921273,1.4961883,nan,nan,nan
32,1.4920661,1.4961271,nan,nan,nan
33,1.4928237,1.4968843,nan,nan,nan
34,1.4934242,1.497485,nan,nan,nan
35,1.4934876,1.4975485,nan,nan,nan
36,1.492862,1.4969226,nan,nan,nan
37,1.4927592,1.4968201,nan,nan,nan
38,1.4930372,1.4970981,nan,nan,nan
39,1.4933819,1.4974425,nan,nan,nan
40,1.4931796,1.4972405,nan,nan,nan
41,1.492717,1.4967775,nan,nan,nan
42,1.4924763,1.4965371,nan,nan,nan
43,1.4908587,1.4992931,nan,nan,nan
44,1.4908302,1.4992647,nan,nan,nan
45,1.4908653,1.4993,nan,nan,nan
46,1.4909029,1.4993373,nan,nan,nan
47,1.4914135,1.4998469,nan,nan,nan
48,1.49143,1.4998635,nan,nan,nan
49,1.4913582,1.4997919,nan,nan,nan
50,1.4918259,1.5002583,nan,nan,nan
51,1.4912692,1.499703,nan,nan,nan
52,1.491371,1.4998045,nan,nan,nan
53,1.4915873,1.5000206,nan,nan,nan
54,1.4905555,1.4989905,nan,nan,nan
55,1.4904276,1.4988631,nan,nan,nan
56,1.4907054,1.4991401,nan,nan,nan
57,1.490675,1.4991096,nan,nan,nan
58,1.4906828,1.4991177,nan,nan,nan
59,1.4911222,1.4995562,nan,nan,nan
60,1.4907457,1.4991802,nan,nan,nan
61,1.4912026,1.4996363,nan,nan,nan
62,1.4906958,1.4991302,nan,nan,nan
63,1.4907335,1.4991684,nan,nan,nan
64,1.4911569,1.499591,nan,nan,nan
65,1.4911815,1.4996157,nan,nan,nan
66,1.4911627,1.4995964,nan,nan,nan
67,1.4909209,1.4993553,nan,nan,nan
68,1.4911909,1.4996247,nan,nan,nan
69,1.4910805,1.4995145,nan,nan,nan
70,1.4911757,1.4996096,nan,nan,nan
71,1.4912989,1.4997327,nan,nan,nan
72,1.4912095,1.4996433,nan,nan,nan
73,1.4911444,1.4995781,nan,nan,nan
74,1.4902675,1.4987029,nan,nan,nan
75,2.1933882,2.2013698,4.23422,nan,nan
76,1.4217153,1.4257905,nan,nan,nan
77,1.4216425,1.4257177,nan,nan,nan
78,1.4217501,1.425825,nan,nan,nan
79,1.4218651,1.42594,nan,nan,nan
80,1.4216682,1.4257432,nan,nan,nan
81,1.4220835,1.4261588,nan,nan,nan
82,1.4219338,1.4260088,nan,nan,nan
83,1.4218465,1.4259216,nan,nan,nan
84,1.4211736,1.425249,nan,nan,nan
85,1.4224201,1.4264953,nan,nan,nan
86,1.4220783,1.4261532,nan,nan,nan
87,1.4215199,1.4255948,nan,nan,nan
88,1.4213915,1.4254665,nan,nan,nan
89,1.4219278,1.4260026,nan,nan,nan
90,1.4217833,1.4258583,nan,nan,nan
91,1.4214458,1.4255207,nan,nan,nan
92,1.421967,1.4260422,nan,nan,nan
93,1.4212018,1.4252772,nan,nan,nan
94,1.4213129,1.4253885,nan,nan,nan
95,1.4213257,1.4254005,nan,nan,nan
96,1.4212778,1.4253529,nan,nan,nan
97,1.4210923,1.4251677,nan,nan,nan
98,1.4210501,1.4251254,nan,nan,nan
99,1.4215717,1.4256471,nan,nan,nan
100,1.4215379,1.4256129,nan,nan,nan
101,1.4216533,1.4257283,nan,nan,nan
102,1.4216344,1.4257091,nan,nan,nan
103,1.4213377,1.4254127,nan,nan,nan
104,1.421692,1.4257671,nan,nan,nan
105,1.4211763,1.4252515,nan,nan,nan
106,1.4209728,1.4250484,nan,nan,nan
107,1.4189575,1.4275292,nan,nan,nan
108,1.4194354,1.4280059,nan,nan,nan
109,1.4195354,1.4281057,nan,nan,nan
110,1.4197402,1.4283097,nan,nan,nan
111,1.419812,1.4283817,nan,nan,nan
112,1.4195151,1.4280857,nan,nan,nan
113,1.4194914,1.4280618,nan,nan,nan
114,1.4194888,1.4280591,nan,nan,nan
115,1.4191911,1.4277624,nan,nan,nan
116,1.4195623,1.4281325,nan,nan,nan
117,1.4196988,1.4282691,nan,nan,nan
118,1.4197655,1.4283354,nan,nan,nan
119,1.4195164,1.428087,nan,nan,nan
120,1.4194845,1.428055,nan,nan,nan
121,1.419482,1.4280524,nan,nan,nan
122,1.4194518,1.4280224,nan,nan,nan
123,1.4195,1.4280704,nan,nan,nan
124,1.4191906,1.4277616,nan,nan,nan
