index,owtt_0_bounce,owtt_1_bounce,owtt_2_bounce,owtt_3_bounce,owtt_4_bounce
0,1.4921584,1.4960986,nan,nan,nan
1,1.492149,1.4960915,nan,nan,nan
2,1.491996,1.4959373,nan,nan,nan
3,1.492717,1.4966539,nan,nan,nan
4,1.4929574,1.4969012,nan,nan,nan
5,1.49292,1.4968694,nan,nan,nan
6,1.4928683,1.4968004,nan,nan,nan
7,1.4925712,1.4965074,nan,nan,nan
8,1.4923594,1.4963001,nan,nan,nan
9,1.4924414,1.4963748,nan,nan,nan
10,1.4924905,1.4964257,nan,nan,nan
11,1.4925609,1.4965006,nan,nan,nan
12,1.4927281,1.4966663,nan,nan,nan
13,1.4928064,1.4967438,nan,nan,nan
14,1.4925569,1.496493,nan,nan,nan
15,1.4925667,1.4965047,nan,nan,nan
16,1.4929837,1.4969258,nan,nan,nan
17,1.4924717,1.4964089,nan,nan,nan
18,1.4932369,1.4971712,nan,nan,nan
19,1.4934093,1.4973505,nan,nan,nan
20,1.4932507,1.4971831,nan,nan,nan
21,1.4933008,1.4972427,nan,nan,nan
22,1.492996,1.4969411,nan,nan,nan
23,1.493051,1.4969847,nan,nan,nan
24,1.4935023,1.4974376,nan,nan,nan
25,1.4930475,1.4969826,nan,nan,nan
26,1.4917529,1.4957296,nan,nan,nan
27,1.4919131,1.495862,nan,nan,nan
28,1.4920106,1.4959538,nan,nan,nan
29,1.4921008,1.4960408,nan,nan,nan
30,1.4920082,1.4959545,nan,nan,nan
31,1.4922485,1.496188,nan,nan,nan
32,1.4921821,1.4961271,nan,nan,nan
33,1.4929463,1.4968936,nan,nan,nan
34,1.49356,1.4974958,nan,nan,nan
35,1.4936279,1.4975678,nan,nan,nan
36,1.4929878,1.4969314,nan,nan,nan
37,1.4928864,1.4968293,nan,nan,nan
38,1.4931669,1.4971063,nan,nan,nan
39,1.4935142,1.4974542,nan,nan,nan
40,1.4933143,1.4972528,nan,nan,nan
41,1.4928406,1.496776,nan,nan,nan
42,1.4926028,1.4965372,nan,nan,nan
43,1.4908512,1.4992859,nan,nan,nan
44,1.490824,1.4992578,nan,nan,nan
45,1.4908582,1.499293,nan,nan,nan
46,1.4908956,1.4993304,nan,nan,nan
47,1.4914066,1.4998399,nan,nan,nan
48,1.4914234,1.4998566,nan,nan,nan
49,1.49135,1.4997846,nan,nan,nan
50,1.4918177,1.5002513,nan,nan,nan
51,1.4912628,1.4996959,nan,nan,nan
52,1.4913641,1.4997978,nan,nan,nan
53,1.491582,1.5000138,nan,nan,nan
54,1.4905481,1.4989836,nan,nan,nan
55,1.4904206,1.4988561,nan,nan,nan
56,1.4906992,1.4991329,nan,nan,nan
57,1.4906687,1.4991024,nan,nan,nan
58,1.4906771,1.4991109,nan,nan,nan
59,1.4911158,1.499549,nan,nan,nan
60,1.4907383,1.4991734,nan,nan,nan
61,1.4911963,1.4996295,nan,nan,nan
62,1.4906882,1.4991232,nan,nan,nan
63,1.4907264,1.4991615,nan,nan,nan
64,1.4911504,1.4995836,nan,nan,nan
65,1.4911755,1.4996088,nan,nan,nan
66,1.4911561,1.4995894,nan,nan,nan
67,1.4909148,1.4993483,nan,nan,nan
68,1.4911832,1.4996178,nan,nan,nan
69,1.4910741,1.4995077,nan,nan,nan
70,1.491168,1.4996023,nan,nan,nan
71,1.4912927,1.4997255,nan,nan,nan
72,1.4912031,1.4996363,nan,nan,nan
73,1.491138,1.4995713,nan,nan,nan
74,1.4902604,1.4986962,nan,nan,nan
75,2.1933718,2.201364,4.230557,nan,nan
76,1.4218067,1.4257975,nan,nan,nan
77,1.4217355,1.4257251,nan,nan,nan
