sourceDepth,recDepth,recRange,simGvel,txNode,rxNode,owtt
90,30,2148.43969995104,1438.42950533651,East,North,1.49479
90,30,2148.43055631598,1438.43037622293,East,North,1.49481
90,30,2148.20590335551,1438.43003822504,East,North,1.49481
20,30,NaN,NaN,Camp,North,1.14127
90,30,2149.2405979447,1438.43497886422,East,North,1.49481
90,30,2149.5837226537,1438.43616538168,East,North,1.4948
90,30,2149.53781389754,1438.4361505067,East,North,1.49481
90,30,2149.45439466093,1438.43580009356,East,North,1.49483
90,30,2149.0341506269,1438.43473267547,East,North,1.49483
90,30,2148.7340456403,1438.43422720411,East,North,1.49482
90,30,2148.84177758104,1438.43396858737,East,North,1.49484
90,30,2148.91551874834,1438.43374019469,East,North,1.49482
90,30,2149.02404859611,1438.43392335177,East,North,1.49484
90,30,2149.25913153462,1438.43336496138,East,North,1.49481
90,30,2149.37177553165,1438.43403320011,East,North,1.49483
90,30,2149.0131820032,1438.43428488408,East,North,1.49481
90,30,2149.0296115676,1438.43449000413,East,North,1.49482
90,30,2149.62018586507,1438.43825211225,East,North,1.49482
90,30,2148.89135723327,1438.43211892165,East,North,1.49482
90,30,2149.97465248642,1438.43626574595,East,North,1.49485
20,30,NaN,NaN,Camp,North,1.14131
90,30,2150.22703571572,1438.43728291205,East,North,1.49484
90,30,2149.99164537918,1438.43691954603,East,North,1.49486
20,30,NaN,NaN,Camp,North,1.14129
90,30,2150.07106305809,1438.43743955188,East,North,1.49487
20,30,NaN,NaN,Camp,North,1.14128
90,30,2149.64219060314,1438.43608309431,East,North,1.49489
90,30,2149.70495369639,1438.43660694219,East,North,1.49487
20,30,NaN,NaN,Camp,North,1.14129
90,30,2150.35374465833,1438.43818726372,East,North,1.49488
90,30,2149.70177102513,1438.4358067497,East,North,1.49489
90,30,2147.90754558151,1438.42826835868,East,North,1.4949
20,30,NaN,NaN,Camp,North,1.14124
90,30,2148.09722073209,1438.42902710581,East,North,1.49491
90,30,2148.23020930842,1438.43024969658,East,North,1.49494
90,30,2148.35731911718,1438.42978577933,East,North,1.49489
