index,owtt_0_bounce,owtt_1_bounce,owtt_2_bounce,owtt_3_bounce,owtt_4_bounce
0,1.490528,1.4955313,nan,nan,nan
1,1.4902982,1.4953011,nan,nan,nan
2,1.490851,1.4958547,nan,nan,nan
3,1.1405905,1.1409509,nan,nan,nan
4,1.4910765,1.4960804,nan,nan,nan
5,1.4911029,1.496107,nan,nan,nan
6,1.4911506,1.4961553,nan,nan,nan
7,1.4908676,1.4958715,nan,nan,nan
8,1.4906545,1.495658,nan,nan,nan
9,1.490299,1.495302,nan,nan,nan
10,1.4905361,1.4955395,nan,nan,nan
11,1.4907092,1.495713,nan,nan,nan
12,1.4909474,1.495951,nan,nan,nan
13,1.4910005,1.4960042,nan,nan,nan
14,1.4907824,1.4957862,nan,nan,nan
15,1.4908255,1.4958292,nan,nan,nan
16,1.4906573,1.4956609,nan,nan,nan
17,1.4907273,1.4957306,nan,nan,nan
18,1.491127,1.4961311,nan,nan,nan
19,1.4912275,1.4962323,nan,nan,nan
20,1.1386336,1.1390029,nan,nan,nan
21,1.4911284,1.4961326,nan,nan,nan
22,1.4911276,1.4961315,nan,nan,nan
23,1.1392326,1.1395983,nan,nan,nan
24,1.4910641,1.4960681,nan,nan,nan
25,1.1401794,1.1405346,nan,nan,nan
26,1.4910892,1.4960932,nan,nan,nan
27,1.4913949,1.4964008,nan,nan,nan
28,1.1397965,1.1401589,nan,nan,nan
29,1.491417,1.4964231,nan,nan,nan
30,1.4902216,1.4952244,nan,nan,nan
31,1.490346,1.4953492,nan,nan,nan
32,1.1388308,1.1391988,nan,nan,nan
33,1.490382,1.4953852,nan,nan,nan
34,1.4904145,1.4954178,nan,nan,nan
35,1.4902538,1.495257,nan,nan,nan
36,1.1391456,1.1395112,nan,nan,nan
37,1.4903979,1.495401,nan,nan,nan
38,1.4902797,1.4952828,nan,nan,nan
39,1.4910564,1.4960605,nan,nan,nan
40,1.4912543,1.4962592,nan,nan,nan
41,1.4913616,1.4963669,nan,nan,nan
42,1.4911009,1.4961048,nan,nan,nan
43,1.1403565,1.1407169,nan,nan,nan
44,1.4910778,1.496082,nan,nan,nan
45,1.4916005,1.4966066,nan,nan,nan
46,1.491669,1.4966751,nan,nan,nan
47,1.4915161,1.4965222,nan,nan,nan
48,1.4913625,1.4963678,nan,nan,nan
49,1.4909528,1.4959563,nan,nan,nan
50,1.4907639,1.4957676,nan,nan,nan
51,1.4899046,1.4986786,nan,nan,nan
52,1.4899843,1.4987582,nan,nan,nan
53,1.4900657,1.4988399,nan,nan,nan
54,1.4902132,1.4989865,nan,nan,nan
55,1.4901725,1.4989462,nan,nan,nan
56,1.4902987,1.4990724,nan,nan,nan
57,1.4905072,1.4992803,nan,nan,nan
58,1.4904062,1.4991795,nan,nan,nan
59,1.4905736,1.4993467,nan,nan,nan
60,1.4904741,1.4992473,nan,nan,nan
61,1.4899092,1.4986832,nan,nan,nan
62,1.4896178,1.4983921,nan,nan,nan
63,1.4896288,1.4984034,nan,nan,nan
64,1.4895326,1.4983071,nan,nan,nan
65,1.4897277,1.4985024,nan,nan,nan
66,1.4897736,1.4985479,nan,nan,nan
67,1.134049,1.1374191,nan,nan,nan
68,1.4895964,1.4983708,nan,nan,nan
69,1.1341863,1.1375564,nan,nan,nan
70,1.4898622,1.4986364,nan,nan,nan
71,1.1335434,1.1369133,nan,nan,nan
72,1.489646,1.4984205,nan,nan,nan
73,1.1333734,1.1367428,nan,nan,nan
74,1.489771,1.498545,nan,nan,nan
75,1.1326245,1.1359944,nan,nan,nan
76,1.4899814,1.4987556,nan,nan,nan
77,1.1332616,1.1366313,nan,nan,nan
78,1.4899943,1.4987686,nan,nan,nan
79,1.1341867,1.1375571,nan,nan,nan
80,1.4900652,1.498839,nan,nan,nan
81,1.4899075,1.4986817,nan,nan,nan
82,1.4899611,1.4987355,nan,nan,nan
83,1.4897426,1.4985168,nan,nan,nan
84,1.4900247,1.4987981,nan,nan,nan
85,1.4899507,1.4987248,nan,nan,nan
86,1.4896966,1.4984711,nan,nan,nan
87,1.4896435,1.4984177,nan,nan,nan
88,1.4892255,1.4980006,nan,nan,nan
89,1.48931,1.4980851,nan,nan,nan
90,1.2380233,1.2383839,nan,nan,nan
91,1.2383828,1.2387433,nan,nan,nan
92,1.2384903,1.2388505,nan,nan,nan
93,1.2382755,1.2386361,nan,nan,nan
94,1.2386062,1.2389659,nan,nan,nan
95,1.2384744,1.2388343,nan,nan,nan
96,1.2381104,1.2384713,nan,nan,nan
97,1.2376585,1.2380195,nan,nan,nan
98,1.2381738,1.2385346,nan,nan,nan
99,1.2396256,1.239984,nan,nan,nan
100,1.2394663,1.2398254,nan,nan,nan
101,1.238735,1.2390947,nan,nan,nan
102,1.2390273,1.2393864,nan,nan,nan
103,1.2382008,1.2385613,nan,nan,nan
104,1.2382407,1.2386012,nan,nan,nan
105,1.2383425,1.2387028,nan,nan,nan
106,1.2378894,1.2382503,nan,nan,nan
107,1.2378334,1.2381945,nan,nan,nan
108,1.2379236,1.2382842,nan,nan,nan
109,1.2371893,1.2375513,nan,nan,nan
110,1.2372742,1.2376366,nan,nan,nan
111,1.238063,1.2384236,nan,nan,nan
112,1.2377087,1.2380697,nan,nan,nan
113,1.2380662,1.2384272,nan,nan,nan
114,1.2379402,1.2383013,nan,nan,nan
115,2.1915376,2.2002745,4.233888,nan,nan
116,1.2313654,1.2347703,nan,nan,nan
117,1.2314034,1.2348088,nan,nan,nan
118,1.2300828,1.2334876,nan,nan,nan
119,1.2299007,1.2333053,nan,nan,nan
120,1.229455,1.2328587,nan,nan,nan
121,1.053805,1.0543519,nan,nan,nan
122,1.0546283,1.0551512,nan,nan,nan
123,1.0543557,1.0548801,nan,nan,nan
124,1.0537122,1.054259,nan,nan,nan
125,1.0532035,1.0537521,nan,nan,nan
