index,owtt_0_bounce,owtt_1_bounce,owtt_2_bounce,owtt_3_bounce,owtt_4_bounce
0,1.4907042,1.4954182,nan,nan,nan
1,1.4904743,1.4952078,nan,nan,nan
2,1.491027,1.4957218,nan,nan,nan
3,1.1405255,1.1410598,nan,nan,nan
4,1.4912524,1.4959532,nan,nan,nan
5,1.4912789,1.4959599,nan,nan,nan
6,1.4913272,1.4959882,nan,nan,nan
7,1.4910439,1.4957403,nan,nan,nan
8,1.4908308,1.4955392,nan,nan,nan
9,1.490475,1.4952135,nan,nan,nan
10,1.4907124,1.4954201,nan,nan,nan
11,1.4908854,1.4955939,nan,nan,nan
12,1.4911232,1.4958179,nan,nan,nan
13,1.4911768,1.4958682,nan,nan,nan
14,1.4909586,1.4956735,nan,nan,nan
15,1.4910015,1.4957129,nan,nan,nan
16,1.4908335,1.4955418,nan,nan,nan
17,1.4909035,1.4956146,nan,nan,nan
18,1.491303,1.495969,nan,nan,nan
19,1.4914043,1.496068,nan,nan,nan
20,1.1385715,1.1391177,nan,nan,nan
21,1.4913046,1.4959742,nan,nan,nan
22,1.4913037,1.4959719,nan,nan,nan
23,1.1391737,1.1397105,nan,nan,nan
24,1.4912403,1.4959368,nan,nan,nan
25,1.1401169,1.1406505,nan,nan,nan
26,1.491265,1.4959602,nan,nan,nan
27,1.4915717,1.496238,nan,nan,nan
28,1.1397352,1.1402704,nan,nan,nan
29,1.4915938,1.4962623,nan,nan,nan
30,1.4903975,1.495136,nan,nan,nan
31,1.490522,1.495258,nan,nan,nan
32,1.13877,1.1393129,nan,nan,nan
33,1.4905578,1.4952917,nan,nan,nan
34,1.4905903,1.4953027,nan,nan,nan
35,1.49043,1.4951622,nan,nan,nan
36,1.1390852,1.1396248,nan,nan,nan
37,1.4905736,1.4953074,nan,nan,nan
38,1.4904555,1.4951894,nan,nan,nan
39,1.4912325,1.4959255,nan,nan,nan
40,1.4914314,1.4960948,nan,nan,nan
41,1.4915384,1.4962047,nan,nan,nan
42,1.4912767,1.4959596,nan,nan,nan
43,1.1402961,1.1408262,nan,nan,nan
44,1.4912539,1.4959469,nan,nan,nan
45,1.491777,1.4964334,nan,nan,nan
46,1.4918457,1.4965018,nan,nan,nan
47,1.4916928,1.496361,nan,nan,nan
48,1.4915392,1.4962004,nan,nan,nan
49,1.4911287,1.4958217,nan,nan,nan
50,1.4909401,1.4956512,nan,nan,nan
51,1.4900076,1.4986749,nan,nan,nan
52,1.4900873,1.4987545,nan,nan,nan
53,1.4901692,1.498836,nan,nan,nan
54,1.4903163,1.4989828,nan,nan,nan
55,1.4902729,1.4989426,nan,nan,nan
56,1.4904021,1.4990686,nan,nan,nan
57,1.4906107,1.4992765,nan,nan,nan
58,1.4905095,1.4991758,nan,nan,nan
59,1.4906833,1.4993432,nan,nan,nan
60,1.4905775,1.4992435,nan,nan,nan
61,1.4900125,1.49868,nan,nan,nan
62,1.4897119,1.4983885,nan,nan,nan
63,1.4897228,1.4983997,nan,nan,nan
64,1.4896265,1.4983034,nan,nan,nan
65,1.4898221,1.4984988,nan,nan,nan
66,1.4898677,1.4985441,nan,nan,nan
67,1.1341436,1.1374717,nan,nan,nan
68,1.4896903,1.4983672,nan,nan,nan
69,1.1342806,1.1376085,nan,nan,nan
70,1.4899652,1.4986328,nan,nan,nan
71,1.1336424,1.1369622,nan,nan,nan
72,1.4897401,1.4984169,nan,nan,nan
73,1.1334723,1.1368016,nan,nan,nan
74,1.4898651,1.4985416,nan,nan,nan
75,1.1327267,1.1360568,nan,nan,nan
76,1.4900846,1.4987519,nan,nan,nan
77,1.1333609,1.1366869,nan,nan,nan
78,1.4900978,1.4987649,nan,nan,nan
79,1.1342812,1.1376092,nan,nan,nan
80,1.4901652,1.4988353,nan,nan,nan
81,1.4900075,1.4986778,nan,nan,nan
82,1.4900645,1.4987317,nan,nan,nan
83,1.4898368,1.4985131,nan,nan,nan
84,1.4901245,1.4987947,nan,nan,nan
85,1.490054,1.4987214,nan,nan,nan
86,1.4897908,1.4984676,nan,nan,nan
87,1.4897374,1.4984143,nan,nan,nan
88,1.4893196,1.497997,nan,nan,nan
89,1.4893985,1.4980813,nan,nan,nan
90,1.2379658,1.2384982,1.2403026,nan,nan
91,1.2383218,1.2388593,1.2407025,nan,nan
92,1.2384278,1.2389674,1.240821,nan,nan
93,1.2382157,1.2387515,1.2405839,nan,nan
94,1.2385422,1.2390839,1.2409484,nan,nan
95,1.238412,1.2389501,1.2408035,nan,nan
96,1.2380522,1.238586,1.2404,nan,nan
97,1.2376053,1.2381343,1.2398937,nan,nan
98,1.2381151,1.2386491,1.2404703,nan,nan
99,1.2395525,1.2401037,1.2420417,nan,nan
100,1.2393948,1.2399453,1.2418748,nan,nan
101,1.2386696,1.2392125,1.2410895,nan,nan
102,1.2389578,1.239504,1.2414063,nan,nan
103,1.238142,1.2386768,1.2405007,nan,nan
104,1.2381812,1.2387162,1.2405452,nan,nan
105,1.2382816,1.2388185,1.240658,nan,nan
106,1.2378336,1.2383666,1.2401527,nan,nan
107,1.2377785,1.23831,1.2400901,nan,nan
108,1.2378675,1.2384009,1.2401911,nan,nan
109,1.2371413,1.2376665,1.2393641,nan,nan
110,1.2372254,1.2377495,1.2394602,nan,nan
111,1.2380053,1.2385386,1.240347,nan,nan
112,1.237655,1.2381848,1.23995,nan,nan
113,1.2380087,1.2385422,1.2403507,nan,nan
114,1.237884,1.2384176,1.2402099,nan,nan
115,2.1916137,2.2002501,4.2303777,nan,nan
116,1.2314405,1.2348006,nan,nan,nan
117,1.2314786,1.2348384,nan,nan,nan
118,1.2301699,1.2335268,nan,nan,nan
119,1.229997,1.233354,nan,nan,nan
120,1.2295507,1.2328987,nan,nan,nan
121,1.0536386,1.054398,nan,nan,nan
122,1.0544574,1.0552007,nan,nan,nan
123,1.0541853,1.0549351,nan,nan,nan
124,1.0535458,1.0543076,nan,nan,nan
125,1.0530406,1.053813,nan,nan,nan
126,1.0526966,1.0534784,nan,nan,nan
127,1.4200835,1.4248408,nan,nan,nan
128,1.0530767,1.0538477,nan,nan,nan
129,1.4201905,1.424945,nan,nan,nan
130,1.0533937,1.0541594,nan,nan,nan
131,1.4201344,1.4248893,nan,nan,nan
132,1.4201527,1.4249068,nan,nan,nan
133,1.0543827,1.0551288,nan,nan,nan
134,1.4203382,1.4250993,nan,nan,nan
135,1.0550593,1.0557951,nan,nan,nan
136,1.420315,1.4250722,nan,nan,nan
137,1.05549,1.0562215,nan,nan,nan
138,1.4202965,1.4250526,nan,nan,nan
139,1.0546854,1.0554258,nan,nan,nan
140,1.4201264,1.4248824,nan,nan,nan
141,1.0536692,1.0544281,nan,nan,nan
142,1.4199998,1.424758,nan,nan,nan
143,1.0541672,1.0549167,nan,nan,nan
144,1.0546504,1.0553921,nan,nan,nan
145,1.0538394,1.0545943,nan,nan,nan
146,1.054046,1.0547973,nan,nan,nan
147,1.4204644,1.4252245,nan,nan,nan
148,1.0540677,1.0548189,nan,nan,nan
149,1.4204485,1.4252081,nan,nan,nan
150,1.0534557,1.0542201,nan,nan,nan
151,1.4203157,1.4250736,nan,nan,nan
152,1.0538675,1.0546209,nan,nan,nan
153,1.4202974,1.4250547,nan,nan,nan
154,1.0529643,1.0537382,nan,nan,nan
155,1.420184,1.4249365,nan,nan,nan
156,1.0535618,1.0543233,nan,nan,nan
157,1.4202404,1.4249924,nan,nan,nan
158,1.4202513,1.4250052,nan,nan,nan
159,1.0527523,1.0535328,nan,nan,nan
160,1.4200999,1.424856,nan,nan,nan
161,1.0526338,1.0534164,nan,nan,nan
162,1.4202274,1.4249815,nan,nan,nan
163,1.0531591,1.053928,nan,nan,nan
164,1.420293,1.42505,nan,nan,nan
165,1.4200689,1.4248264,nan,nan,nan
166,1.0538305,1.0545851,nan,nan,nan
167,1.4197334,1.4244982,nan,nan,nan
168,1.4196714,1.4244407,nan,nan,nan
169,1.4198548,1.424609,nan,nan,nan
170,1.419707,1.4244726,nan,nan,nan
171,1.4198865,1.4246422,nan,nan,nan
172,1.0537878,1.054544,nan,nan,nan
173,1.4199437,1.4247024,nan,nan,nan
174,1.0529624,1.0537356,nan,nan,nan
175,1.4197961,1.4245675,nan,nan,nan
176,1.0524253,1.053212,nan,nan,nan
177,1.4199795,1.4247364,nan,nan,nan
178,1.052938,1.0537128,nan,nan,nan
179,1.4197855,1.4245572,nan,nan,nan
180,1.053409,1.054174,nan,nan,nan
181,1.4198234,1.4245893,nan,nan,nan
182,1.4196572,1.4244268,nan,nan,nan
183,1.4185795,1.4273715,nan,nan,nan
184,1.4186512,1.4274416,nan,nan,nan
185,1.4187268,1.4275132,nan,nan,nan
186,1.4187999,1.4275887,nan,nan,nan
187,1.4185561,1.4273494,nan,nan,nan
188,1.4185611,1.4273509,nan,nan,nan
189,1.4185289,1.4273177,nan,nan,nan
190,1.4185075,1.4272975,nan,nan,nan
191,1.418389,1.4271791,nan,nan,nan
192,1.4187909,1.4275867,nan,nan,nan
193,1.418741,1.4275275,nan,nan,nan
194,1.4186875,1.4274808,nan,nan,nan
195,1.4187251,1.4275112,nan,nan,nan
196,1.4186548,1.4274507,nan,nan,nan
197,1.4187251,1.4275112,nan,nan,nan
198,1.4187359,1.4275253,nan,nan,nan
199,1.4184766,1.4272711,nan,nan,nan
200,1.4186306,1.4274151,nan,nan,nan
201,1.418654,1.427446,nan,nan,nan
202,1.4185791,1.4273695,nan,nan,nan
203,1.4186075,1.4273963,nan,nan,nan
204,1.4187713,1.4275577,nan,nan,nan
205,1.4187516,1.4275492,nan,nan,nan
206,1.4185593,1.4273536,nan,nan,nan
207,1.4184339,1.4272238,nan,nan,nan
208,1.4184875,1.4272783,nan,nan,nan
209,1.4184531,1.4272463,nan,nan,nan
210,1.4181846,1.4269738,nan,nan,nan
211,1.418296,1.4270865,nan,nan,nan
212,1.4183407,1.4271308,nan,nan,nan
213,1.4183599,1.4271482,nan,nan,nan
214,1.418641,1.4274284,nan,nan,nan
215,1.4184338,1.4272255,nan,nan,nan
216,1.016862,1.0202472,nan,nan,nan
217,1.0161806,1.0195684,nan,nan,nan
218,1.0161761,1.0195638,nan,nan,nan
219,1.0162727,1.0196651,nan,nan,nan
220,1.016149,1.0195334,nan,nan,nan
221,1.0162271,1.0196135,nan,nan,nan
222,1.0162556,1.0196414,nan,nan,nan
223,1.0165235,1.0199085,nan,nan,nan
224,1.0147487,1.01813,nan,nan,nan
225,1.0155957,1.0189799,nan,nan,nan
226,1.0150027,1.0183874,nan,nan,nan
227,1.0148602,1.0182385,nan,nan,nan
228,1.0148947,1.0182738,nan,nan,nan
229,1.0161083,1.0194956,nan,nan,nan
230,1.0151553,1.0185363,nan,nan,nan
231,1.0153903,1.0187716,nan,nan,nan
232,1.0149206,1.0183018,nan,nan,nan
233,1.014967,1.0183439,nan,nan,nan
234,1.0144854,1.017864,nan,nan,nan
235,1.0152704,1.0186533,nan,nan,nan
236,1.0156991,1.0190828,nan,nan,nan
237,1.0161551,1.0195451,nan,nan,nan
238,1.0172288,1.0206177,nan,nan,nan
239,1.0171195,1.0205082,nan,nan,nan
240,1.016189,1.0195789,nan,nan,nan
241,1.0161083,1.0194956,nan,nan,nan
242,1.0154277,1.0188086,nan,nan,nan
243,1.0155916,1.0189759,nan,nan,nan
244,1.0152236,1.0186077,nan,nan,nan
245,1.0162128,1.0196006,nan,nan,nan
246,1.0166024,1.0199902,nan,nan,nan
247,1.0175402,1.0209278,nan,nan,nan
248,1.0175568,1.0209447,nan,nan,nan
249,1.0185459,1.0219312,nan,nan,nan
250,1.4910764,1.4957707,nan,nan,nan
251,1.4915317,1.4961958,nan,nan,nan
252,1.4914955,1.4961598,nan,nan,nan
253,1.4915806,1.4962492,nan,nan,nan
254,1.4916866,1.4963549,nan,nan,nan
255,1.4912145,1.4959077,nan,nan,nan
256,1.4907941,1.4955087,nan,nan,nan
257,1.1372737,1.1378351,nan,nan,nan
258,1.137146,1.1377095,nan,nan,nan
259,1.1402006,1.1407291,nan,nan,nan
260,1.1391675,1.1397065,nan,nan,nan
261,1.490707,1.4954159,nan,nan,nan
262,1.4905773,1.4953158,nan,nan,nan
263,1.1371433,1.1377057,nan,nan,nan
264,1.4908569,1.4955709,nan,nan,nan
265,1.4908524,1.4955621,nan,nan,nan
266,1.1395295,1.1400634,nan,nan,nan
267,1.4910146,1.4957112,nan,nan,nan
268,1.4908694,1.4955797,nan,nan,nan
269,1.4909931,1.4957047,nan,nan,nan
270,1.4908135,1.4955232,nan,nan,nan
271,1.1410569,1.1415865,nan,nan,nan
272,1.4897618,1.4984385,nan,nan,nan
273,1.4893521,1.4980296,nan,nan,nan
274,1.4893035,1.4979812,nan,nan,nan
275,1.4896638,1.4983408,nan,nan,nan
276,1.4899652,1.4986328,nan,nan,nan
277,1.4897299,1.4984064,nan,nan,nan
278,1.4896736,1.4983504,nan,nan,nan
279,1.4898942,1.4985706,nan,nan,nan
280,1.4900501,1.4987171,nan,nan,nan
281,1.4900866,1.4987537,nan,nan,nan
282,1.4898707,1.498547,nan,nan,nan
283,1.4896349,1.4983118,nan,nan,nan
284,1.4900317,1.4987018,nan,nan,nan
285,1.4898435,1.49852,nan,nan,nan
286,1.4899104,1.4985871,nan,nan,nan
287,1.4900998,1.4987669,nan,nan,nan
288,1.4898053,1.498482,nan,nan,nan
289,1.4897195,1.4983962,nan,nan,nan
290,1.489541,1.4982227,nan,nan,nan
291,1.4897776,1.4984542,nan,nan,nan
292,1.4900464,1.4987179,nan,nan,nan
