index,must_bnc,n_bnc,owtt,must_bnc0,n_bnc0,owtt0
0,False,0,1.4907042,False,0,1.490528
1,False,0,1.4904743,False,0,1.4902982
2,False,0,1.491027,False,0,1.490851
3,False,0,1.1405255,False,0,1.1405905
4,False,0,1.4912524,False,0,1.4910765
5,False,0,1.4912789,False,0,1.4911029
6,False,0,1.4913272,False,0,1.4911506
7,False,0,1.4910439,False,0,1.4908676
8,False,0,1.4908308,False,0,1.4906545
9,False,0,1.490475,False,0,1.490299
10,False,0,1.4907124,False,0,1.4905361
11,False,0,1.4908854,False,0,1.4907092
12,False,0,1.4911232,False,0,1.4909474
13,False,0,1.4911768,False,0,1.4910005
14,False,0,1.4909586,False,0,1.4907824
15,False,0,1.4910015,False,0,1.4908255
16,False,0,1.4908335,False,0,1.4906573
17,False,0,1.4909035,False,0,1.4907273
18,False,0,1.491303,False,0,1.491127
19,False,0,1.4914043,False,0,1.4912275
20,False,0,1.1385715,False,0,1.1386336
21,False,0,1.4913046,False,0,1.4911284
22,False,0,1.4913037,False,0,1.4911276
23,False,0,1.1391737,False,0,1.1392326
24,False,0,1.4912403,False,0,1.4910641
25,False,0,1.1401169,False,0,1.1401794
26,False,0,1.491265,False,0,1.4910892
27,False,0,1.4915717,False,0,1.4913949
28,False,0,1.1397352,False,0,1.1397965
29,False,0,1.4915938,False,0,1.491417
30,False,0,1.4903975,False,0,1.4902216
31,False,0,1.490522,False,0,1.490346
32,False,0,1.13877,False,0,1.1388308
33,False,0,1.4905578,False,0,1.490382
34,False,0,1.4905903,False,0,1.4904145
35,False,0,1.49043,False,0,1.4902538
36,False,0,1.1390852,False,0,1.1391456
37,False,0,1.4905736,False,0,1.4903979
38,False,0,1.4904555,False,0,1.4902797
39,False,0,1.4912325,False,0,1.4910564
40,False,0,1.4914314,False,0,1.4912543
41,False,0,1.4915384,False,0,1.4913616
42,False,0,1.4912767,False,0,1.4911009
43,False,0,1.1402961,False,0,1.1403565
44,False,0,1.4912539,False,0,1.4910778
45,False,0,1.491777,False,0,1.4916005
46,False,0,1.4918457,False,0,1.491669
47,False,0,1.4916928,False,0,1.4915161
48,False,0,1.4915392,False,0,1.4913625
49,False,0,1.4911287,False,0,1.4909528
50,False,0,1.4909401,False,0,1.4907639
51,False,0,1.4900076,False,0,1.4899046
52,False,0,1.4900873,False,0,1.4899843
53,False,0,1.4901692,False,0,1.4900657
54,False,0,1.4903163,False,0,1.4902132
55,False,0,1.4902729,False,0,1.4901725
56,False,0,1.4904021,False,0,1.4902987
57,False,0,1.4906107,False,0,1.4905072
58,False,0,1.4905095,False,0,1.4904062
59,False,0,1.4906833,False,0,1.4905736
60,False,0,1.4905775,False,0,1.4904741
61,False,0,1.4900125,False,0,1.4899092
62,False,0,1.4897119,False,0,1.4896178
63,False,0,1.4897228,False,0,1.4896288
64,False,0,1.4896265,False,0,1.4895326
65,False,0,1.4898221,False,0,1.4897277
66,False,0,1.4898677,False,0,1.4897736
67,False,0,1.1341436,False,0,1.134049
68,False,0,1.4896903,False,0,1.4895964
69,False,0,1.1342806,False,0,1.1341863
70,False,0,1.4899652,False,0,1.4898622
71,False,0,1.1336424,False,0,1.1335434
72,False,0,1.4897401,False,0,1.489646
73,False,0,1.1334723,False,0,1.1333734
74,False,0,1.4898651,False,0,1.489771
75,False,0,1.1327267,False,0,1.1326245
76,False,0,1.4900846,False,0,1.4899814
77,False,0,1.1333609,False,0,1.1332616
78,False,0,1.4900978,False,0,1.4899943
79,False,0,1.1342812,False,0,1.1341867
80,False,0,1.4901652,False,0,1.4900652
81,False,0,1.4900075,False,0,1.4899075
82,False,0,1.4900645,False,0,1.4899611
83,False,0,1.4898368,False,0,1.4897426
84,False,0,1.4901245,False,0,1.4900247
85,False,0,1.490054,False,0,1.4899507
86,False,0,1.4897908,False,0,1.4896966
87,False,0,1.4897374,False,0,1.4896435
88,False,0,1.4893196,False,0,1.4892255
89,False,0,1.4893985,False,0,1.48931
90,False,0,1.2379658,False,0,1.2380233
91,False,0,1.2383218,False,0,1.2383828
92,False,0,1.2384278,False,0,1.2384903
93,False,0,1.2382157,False,0,1.2382755
94,False,0,1.2385422,False,0,1.2386062
95,False,0,1.238412,False,0,1.2384744
96,False,0,1.2380522,False,0,1.2381104
97,False,0,1.2376053,False,0,1.2376585
98,False,0,1.2381151,False,0,1.2381738
99,False,0,1.2395525,False,0,1.2396256
100,False,0,1.2393948,False,0,1.2394663
101,False,0,1.2386696,False,0,1.238735
102,False,0,1.2389578,False,0,1.2390273
103,False,0,1.238142,False,0,1.2382008
104,False,0,1.2381812,False,0,1.2382407
105,False,0,1.2382816,False,0,1.2383425
106,False,0,1.2378336,False,0,1.2378894
107,False,0,1.2377785,False,0,1.2378334
108,False,0,1.2378675,False,0,1.2379236
109,False,0,1.2371413,False,0,1.2371893
110,False,0,1.2372254,False,0,1.2372742
111,False,0,1.2380053,False,0,1.238063
112,False,0,1.237655,False,0,1.2377087
113,False,0,1.2380087,False,0,1.2380662
114,False,0,1.237884,False,0,1.2379402
115,False,0,2.1916137,False,0,2.1915376
116,False,0,1.2314405,False,0,1.2313654
117,False,0,1.2314786,False,0,1.2314034
