index,owtt_0_bounce,owtt_1_bounce,owtt_2_bounce,owtt_3_bounce,owtt_4_bounce
0,nan,1.4934014,nan,nan,nan
1,nan,1.493172,nan,nan,nan
2,nan,1.4937243,nan,nan,nan
3,1.1300439,1.1373806,1.1414099,nan,nan
4,nan,1.4939497,nan,nan,nan
5,nan,1.4939759,nan,nan,nan
6,nan,1.4940243,nan,nan,nan
7,nan,1.4937408,nan,nan,nan
8,nan,1.4935281,nan,nan,nan
9,nan,1.4931729,nan,nan,nan
10,nan,1.4934096,nan,nan,nan
11,nan,1.4935827,nan,nan,nan
12,nan,1.4938205,nan,nan,nan
13,nan,1.4938737,nan,nan,nan
14,nan,1.4936557,nan,nan,nan
15,nan,1.493699,nan,nan,nan
16,nan,1.4935309,nan,nan,nan
17,nan,1.4936007,nan,nan,nan
18,nan,1.4940001,nan,nan,nan
19,nan,1.494101,nan,nan,nan
20,1.1281035,1.1354368,1.1394148,nan,nan
21,nan,1.4940015,nan,nan,nan
22,nan,1.4940009,nan,nan,nan
23,1.1286975,1.1360319,1.1400197,nan,nan
24,nan,1.4939371,nan,nan,nan
25,1.1296359,1.1369722,1.1409836,nan,nan
26,nan,1.4939622,nan,nan,nan
27,nan,1.4942684,nan,nan,nan
28,1.1292562,1.1365921,1.1405914,nan,nan
29,nan,1.4942904,nan,nan,nan
30,nan,1.4930955,nan,nan,nan
31,nan,1.4932197,nan,nan,nan
32,1.1282991,1.1356329,1.1396133,nan,nan
33,nan,1.4932557,nan,nan,nan
34,nan,1.4932883,nan,nan,nan
35,nan,1.4931277,nan,nan,nan
36,1.128611,1.1359454,1.1399314,nan,nan
37,nan,1.4932715,nan,nan,nan
38,nan,1.4931536,nan,nan,nan
39,nan,1.4939294,nan,nan,nan
40,nan,1.494128,nan,nan,nan
41,nan,1.494235,nan,nan,nan
42,nan,1.4939737,nan,nan,nan
43,1.1298116,1.1371479,1.1411664,nan,nan
44,nan,1.493951,nan,nan,nan
45,nan,1.4944735,nan,nan,nan
46,nan,1.494542,nan,nan,nan
47,nan,1.4943893,nan,nan,nan
48,nan,1.494236,nan,nan,nan
49,nan,1.4938258,nan,nan,nan
