index,must_bnc,n_bnc,owtt,must_bnc0,n_bnc0,owtt0
0,False,0,1.4865274,True,1,1.4934014
1,False,0,1.4862984,True,1,1.493172
2,False,0,1.4868493,True,1,1.4937243
3,False,0,1.1403192,False,0,1.1300439
4,False,0,1.487074,True,1,1.4939497
5,False,0,1.4871001,True,1,1.4939759
6,False,0,1.4871486,True,1,1.4940243
7,False,0,1.4868656,True,1,1.4937408
8,False,0,1.486654,True,1,1.4935281
9,False,0,1.486299,True,1,1.4931729
10,False,0,1.4865357,True,1,1.4934096
11,False,0,1.4867083,True,1,1.4935827
12,False,0,1.4869453,True,1,1.4938205
13,False,0,1.4869986,True,1,1.4938737
14,False,0,1.4867806,True,1,1.4936557
15,False,0,1.4868234,True,1,1.493699
16,False,0,1.4866567,True,1,1.4935309
17,False,0,1.4867265,True,1,1.4936007
18,False,0,1.4871244,True,1,1.4940001
19,False,0,1.4872253,True,1,1.494101
20,False,0,1.1383615,False,0,1.1281035
21,False,0,1.4871259,True,1,1.4940015
22,False,0,1.4871249,True,1,1.4940009
23,False,0,1.1389612,False,0,1.1286975
24,False,0,1.4870617,True,1,1.4939371
25,False,0,1.1399082,False,0,1.1296359
26,False,0,1.4870864,True,1,1.4939622
27,False,0,1.4873922,True,1,1.4942684
28,False,0,1.1395252,False,0,1.1292562
29,False,0,1.4874141,True,1,1.4942904
30,False,0,1.4862216,True,1,1.4930955
31,False,0,1.4863459,True,1,1.4932197
32,False,0,1.138559,False,0,1.1282991
33,False,0,1.4863819,True,1,1.4932557
34,False,0,1.4864143,True,1,1.4932883
35,False,0,1.4862542,True,1,1.4931277
36,False,0,1.138874,False,0,1.128611
37,False,0,1.4863977,True,1,1.4932715
38,False,0,1.4862797,True,1,1.4931536
39,False,0,1.4870542,True,1,1.4939294
40,False,0,1.487252,True,1,1.494128
41,False,0,1.4873589,True,1,1.494235
42,False,0,1.4870983,True,1,1.4939737
43,False,0,1.1400852,False,0,1.1298116
44,False,0,1.4870754,True,1,1.493951
45,False,0,1.4875957,True,1,1.4944735
46,False,0,1.4876641,True,1,1.494542
47,False,0,1.487512,True,1,1.4943893
48,False,0,1.4873596,True,1,1.494236
49,False,0,1.4869506,True,1,1.4938258
50,False,0,1.4867619,True,1,1.4936372
51,False,0,1.4907837,False,0,1.4897563
52,False,0,1.4908633,False,0,1.489836
53,False,0,1.4909451,False,0,1.4899174
54,False,0,1.4910923,False,0,1.4900641
55,False,0,1.4910516,False,0,1.4900239
56,False,0,1.4911782,False,0,1.4901499
57,False,0,1.4913871,False,0,1.4903578
58,False,0,1.4912857,False,0,1.4902569
59,False,0,1.4914536,False,0,1.4904243
60,False,0,1.4913538,False,0,1.4903247
61,False,0,1.4907885,False,0,1.4897611
62,False,0,1.4904964,False,0,1.4894704
63,False,0,1.4905077,False,0,1.4894812
64,False,0,1.4904109,False,0,1.489385
65,False,0,1.4906068,False,0,1.4895802
66,False,0,1.4906526,False,0,1.4896257
67,False,0,1.1323578,False,0,1.132218
68,False,0,1.4904749,False,0,1.4894487
69,False,0,1.1324948,False,0,1.1323549
70,False,0,1.4907413,False,0,1.4897143
71,False,0,1.131853,False,0,1.1317126
72,False,0,1.490525,False,0,1.4894986
73,False,0,1.131683,False,0,1.1315424
74,False,0,1.4906498,False,0,1.4896228
75,False,0,1.130936,False,0,1.1307949
76,False,0,1.4908605,False,0,1.4898331
77,False,0,1.1315715,False,0,1.1314311
78,False,0,1.4908737,False,0,1.4898462
79,False,0,1.1324958,False,0,1.1323558
80,False,0,1.4909446,False,0,1.4899167
81,False,0,1.4907864,False,0,1.4897591
82,False,0,1.4908402,False,0,1.4898131
83,False,0,1.4906213,False,0,1.4895947
84,False,0,1.4909039,False,0,1.489876
85,False,0,1.4908302,False,0,1.4898027
86,False,0,1.4905756,False,0,1.4895488
87,False,0,1.4905219,False,0,1.4894958
88,False,0,1.4901038,False,0,1.4890785
89,False,0,1.4901885,False,0,1.4891628
90,False,0,1.2377243,False,0,1.2266822
91,False,0,1.2380849,False,0,1.2270392
92,False,0,1.2381918,False,0,1.2271457
93,False,0,1.2379773,False,0,1.2269326
94,False,0,1.2383078,False,0,1.2272606
95,False,0,1.2381756,False,0,1.2271298
96,False,0,1.2378117,False,0,1.2267687
97,False,0,1.2373598,False,0,1.2263206
98,False,0,1.2378753,False,0,1.2268316
99,False,0,1.2393296,False,0,1.2282715
100,False,0,1.2391701,False,0,1.2281138
101,False,0,1.2384372,False,0,1.2273884
102,False,0,1.2387301,False,0,1.2276782
103,False,0,1.2379025,False,0,1.2268586
104,False,0,1.2379426,False,0,1.2268981
105,False,0,1.2380445,False,0,1.226999
106,False,0,1.2375902,False,0,1.2265495
107,False,0,1.2375342,False,0,1.2264943
108,False,0,1.2376243,False,0,1.2265835
109,False,0,1.2368895,False,0,1.2258554
110,False,0,1.2369747,False,0,1.2259396
111,False,0,1.2377641,False,0,1.2267218
112,False,0,1.2374101,False,0,1.2263705
113,False,0,1.2377676,False,0,1.2267251
114,False,0,1.2376411,False,0,1.2266
115,False,0,2.1931503,False,0,2.1931584
116,False,0,1.2295665,False,0,1.2294393
117,False,0,1.2296087,False,0,1.2294773
118,False,0,1.2282927,False,0,1.2281586
119,False,0,1.2281108,False,0,1.2279767
120,False,0,1.2276132,False,0,1.2275306
121,False,0,1.0536064,False,0,1.0459715
122,False,0,1.0544229,False,0,1.046775
123,False,0,1.0541526,False,0,1.0465053
124,False,0,1.0535142,False,0,1.0458796
125,False,0,1.0530101,False,0,1.0453761
126,False,0,1.0526686,False,0,1.0450352
127,False,0,1.4162035,True,1,1.4229468
128,False,0,1.0530461,False,0,1.0454121
129,False,0,1.4163091,True,1,1.4230525
130,False,0,1.0533632,False,0,1.0457288
131,False,0,1.4162537,True,1,1.4229972
132,False,0,1.4162712,True,1,1.4230146
133,False,0,1.0543487,False,0,1.0467012
134,False,0,1.4164612,True,1,1.4232047
135,False,0,1.0550245,False,0,1.0473753
136,False,0,1.4164344,True,1,1.4231777
137,False,0,1.0554566,False,0,1.0478063
138,False,0,1.4164151,True,1,1.4231585
139,False,0,1.0546517,False,0,1.0470031
140,False,0,1.416245,True,1,1.4229884
141,False,0,1.0536368,False,0,1.0460018
142,False,0,1.4161204,True,1,1.4228637
143,False,0,1.0541345,False,0,1.0464873
144,False,0,1.054617,False,0,1.0469687
145,False,0,1.0538058,False,0,1.0461707
146,False,0,1.054013,False,0,1.0463662
147,False,0,1.416588,True,1,1.4233328
148,False,0,1.0540346,False,0,1.0463879
149,False,0,1.4165715,True,1,1.4233162
150,False,0,1.053425,False,0,1.0457903
151,False,0,1.4164357,True,1,1.4231791
152,False,0,1.0538336,False,0,1.0461982
153,False,0,1.416417,True,1,1.4231607
154,False,0,1.0529345,False,0,1.0453007
155,False,0,1.4163009,True,1,1.4230444
156,False,0,1.0535302,False,0,1.0458955
157,False,0,1.4163569,True,1,1.4231002
158,False,0,1.4163692,True,1,1.4231129
159,False,0,1.052724,False,0,1.0450906
160,False,0,1.4162186,True,1,1.4229618
