index,owtt_0_bounce,owtt_1_bounce,owtt_2_bounce,owtt_3_bounce,owtt_4_bounce
0,1.4907314,1.4953377,nan,nan,nan
1,1.490501,1.4951078,nan,nan,nan
2,1.491063,1.4956607,nan,nan,nan
3,1.1360189,1.1408898,1.1452028,nan,nan
4,1.4912968,1.4959021,nan,nan,nan
5,1.4913231,1.4959253,nan,nan,nan
6,1.4913715,1.4959753,nan,nan,nan
7,1.4910874,1.4956849,nan,nan,nan
8,1.4908578,1.4954643,nan,nan,nan
9,1.4905018,1.4951085,nan,nan,nan
10,1.4907396,1.495346,nan,nan,nan
11,1.4909124,1.4955188,nan,nan,nan
12,1.4911673,1.4957567,nan,nan,nan
13,1.4912207,1.4958162,nan,nan,nan
14,1.4909943,1.4955921,nan,nan,nan
15,1.4910374,1.4956425,nan,nan,nan
16,1.4908605,1.4954671,nan,nan,nan
17,1.4909306,1.4955369,nan,nan,nan
18,1.4913473,1.4959433,nan,nan,nan
19,1.4914488,1.4960499,nan,nan,nan
20,1.1340562,1.1389323,1.1432333,nan,nan
21,1.4913487,1.4959449,nan,nan,nan
22,1.4913481,1.4959439,nan,nan,nan
23,1.1346728,1.1395303,1.1438229,nan,nan
24,1.4912845,1.4958819,nan,nan,nan
25,1.1356138,1.1404777,1.1447617,nan,nan
26,1.4913094,1.4959115,nan,nan,nan
27,1.4916162,1.496211,nan,nan,nan
28,1.1352323,1.1400936,1.1443808,nan,nan
29,1.4916382,1.4962331,nan,nan,nan
30,1.4904243,1.495031,nan,nan,nan
31,1.490549,1.4951595,nan,nan,nan
32,1.1342522,1.1391295,1.1434274,nan,nan
33,1.4905849,1.4952033,nan,nan,nan
34,1.4906172,1.4952282,nan,nan,nan
35,1.4904567,1.4950634,nan,nan,nan
36,1.1345863,1.1394432,1.1437368,nan,nan
37,1.4906007,1.4952136,nan,nan,nan
38,1.4904823,1.495089,nan,nan,nan
39,1.4912766,1.495872,nan,nan,nan
40,1.4914757,1.4960786,nan,nan,nan
41,1.4915828,1.4961776,nan,nan,nan
42,1.4913211,1.4959248,nan,nan,nan
43,1.1357896,1.1406547,1.1449382,nan,nan
44,1.4912984,1.4958955,nan,nan,nan
45,1.4918259,1.4964162,nan,nan,nan
46,1.4918945,1.4964958,nan,nan,nan
47,1.4917413,1.4963366,nan,nan,nan
48,1.4915836,1.4961785,nan,nan,nan
49,1.4911727,1.4957682,nan,nan,nan
50,1.4909756,1.4955734,nan,nan,nan
51,1.4900475,1.4985639,nan,nan,nan
52,1.4901272,1.4986435,nan,nan,nan
53,1.4902087,1.4987252,nan,nan,nan
54,1.4903558,1.498872,nan,nan,nan
55,1.4903156,1.4988317,nan,nan,nan
56,1.4904419,1.4989578,nan,nan,nan
57,1.4906503,1.4991658,nan,nan,nan
58,1.4905492,1.4990648,nan,nan,nan
59,1.4907167,1.4992323,nan,nan,nan
60,1.4906172,1.4991328,nan,nan,nan
61,1.4900522,1.4985689,nan,nan,nan
62,1.4897606,1.4982778,nan,nan,nan
63,1.4897716,1.4982888,nan,nan,nan
64,1.4896755,1.4981927,nan,nan,nan
65,1.4898707,1.4983877,nan,nan,nan
66,1.4899164,1.4984335,nan,nan,nan
67,1.1340405,1.1373984,nan,nan,nan
68,1.4897391,1.4982563,nan,nan,nan
69,1.1341665,1.1375318,nan,nan,nan
70,1.4900053,1.4985217,nan,nan,nan
71,1.1335219,1.136895,nan,nan,nan
72,1.489789,1.498306,nan,nan,nan
73,1.1333624,1.1367241,nan,nan,nan
74,1.4899137,1.4984306,nan,nan,nan
75,1.1326132,1.1359758,nan,nan,nan
76,1.4901243,1.4986408,nan,nan,nan
77,1.1332371,1.1366122,nan,nan,nan
78,1.4901375,1.4986539,nan,nan,nan
79,1.1341671,1.1375364,nan,nan,nan
80,1.4902081,1.4987246,nan,nan,nan
81,1.4900502,1.498567,nan,nan,nan
82,1.4901043,1.4986209,nan,nan,nan
83,1.4898854,1.498402,nan,nan,nan
84,1.4901676,1.4986837,nan,nan,nan
85,1.4900941,1.4986105,nan,nan,nan
86,1.4898396,1.4983566,nan,nan,nan
87,1.4897865,1.4983033,nan,nan,nan
88,1.4893683,1.4978863,nan,nan,nan
89,1.489453,1.4979705,nan,nan,nan
90,1.2327056,1.2383823,1.240086,nan,nan
91,1.2330642,1.238749,1.2404572,nan,nan
92,1.233166,1.2388588,1.2405683,nan,nan
93,1.23295,1.2386398,1.2403461,nan,nan
94,1.2332847,1.2389768,1.2406884,nan,nan
95,1.2331502,1.2388422,1.2405518,nan,nan
96,1.232793,1.238471,1.2401756,nan,nan
97,1.2323545,1.2380089,1.2397128,nan,nan
98,1.2328494,1.2385359,1.2402408,nan,nan
99,1.2342954,1.2400119,1.2417564,nan,nan
100,1.2341356,1.2398515,1.241589,nan,nan
101,1.2334136,1.2391088,1.2408227,nan,nan
102,1.2336987,1.2394056,1.241128,nan,nan
103,1.2328804,1.2385637,1.240269,nan,nan
104,1.2329198,1.2386042,1.2403102,nan,nan
105,1.2330166,1.2387077,1.2404151,nan,nan
106,1.2325715,1.2382449,1.2399486,nan,nan
107,1.2325164,1.2381879,1.2398915,nan,nan
108,1.2326052,1.23828,1.2399836,nan,nan
109,1.231894,1.2375288,1.2392372,nan,nan
110,1.231978,1.2376156,1.239323,nan,nan
111,1.2327461,1.2384231,1.2401268,nan,nan
112,1.2323929,1.2380604,1.239764,nan,nan
113,1.2327495,1.2384262,1.2401303,nan,nan
114,1.232625,1.2382967,1.2400007,nan,nan
115,2.1917794,2.2000096,4.227351,nan,nan
116,1.2314155,1.2347475,nan,nan,nan
117,1.2314537,1.2347862,nan,nan,nan
118,1.2301463,1.2334654,nan,nan,nan
119,1.2299643,1.2332864,nan,nan,nan
120,1.2295218,1.2328355,nan,nan,nan
121,1.0496773,1.0542679,nan,nan,nan
122,1.0504947,1.0550866,nan,nan,nan
123,1.0502329,1.0548148,nan,nan,nan
