index,owtt_0_bounce,owtt_1_bounce,owtt_2_bounce,owtt_3_bounce,owtt_4_bounce
0,1.4860519,1.4928178,nan,nan,nan
1,1.4858233,1.492588,nan,nan,nan
2,1.4863745,1.49314,nan,nan,nan
3,1.1289299,1.1401983,1.142409,1.1470605,nan
4,1.4865983,1.4933655,nan,nan,nan
5,1.4866244,1.4933918,nan,nan,nan
6,1.4866728,1.49344,nan,nan,nan
7,1.4863911,1.4931564,nan,nan,nan
8,1.4861784,1.4929441,nan,nan,nan
9,1.485824,1.4925888,nan,nan,nan
10,1.4860603,1.4928259,nan,nan,nan
11,1.4862329,1.4929986,nan,nan,nan
12,1.4864708,1.493236,nan,nan,nan
13,1.486524,1.4932891,nan,nan,nan
14,1.4863063,1.4930718,nan,nan,nan
15,1.4863492,1.4931146,nan,nan,nan
16,1.4861811,1.4929466,nan,nan,nan
17,1.4862511,1.4930165,nan,nan,nan
18,1.4866486,1.4934158,nan,nan,nan
19,1.4867495,1.4935168,nan,nan,nan
20,1.1269916,1.1382469,1.1404579,1.14515,nan
21,1.4866499,1.4934174,nan,nan,nan
22,1.4866493,1.4934165,nan,nan,nan
23,1.1275852,1.1388446,1.1410536,1.1457349,nan
24,1.4865857,1.4933534,nan,nan,nan
25,1.1285224,1.1397849,1.1419947,1.1466589,nan
26,1.4866107,1.493378,nan,nan,nan
27,1.4869168,1.4936838,nan,nan,nan
28,1.1281431,1.1394058,1.1416135,1.1462852,nan
29,1.4869388,1.493706,nan,nan,nan
30,1.4857465,1.4925113,nan,nan,nan
31,1.4858713,1.4926362,nan,nan,nan
32,1.127187,1.1384412,1.1406536,1.1453426,nan
33,1.4859061,1.4926718,nan,nan,nan
34,1.4859387,1.4927043,nan,nan,nan
35,1.4857789,1.4925438,nan,nan,nan
36,1.1274985,1.1387572,1.1409668,1.1456498,nan
37,1.4859219,1.4926877,nan,nan,nan
38,1.4858048,1.4925696,nan,nan,nan
39,1.486578,1.4933454,nan,nan,nan
40,1.4867765,1.4935437,nan,nan,nan
41,1.4868836,1.4936508,nan,nan,nan
42,1.4866226,1.4933895,nan,nan,nan
43,1.1286978,1.1399629,1.1421739,1.1468319,nan
44,1.4865994,1.4933668,nan,nan,nan
45,1.487122,1.4938889,nan,nan,nan
46,1.4871906,1.4939574,nan,nan,nan
47,1.4870379,1.4938048,nan,nan,nan
48,1.4868844,1.4936514,nan,nan,nan
49,1.4864763,1.4932414,nan,nan,nan
50,1.4862875,1.4930531,nan,nan,nan
51,1.4882687,1.4956094,nan,nan,nan
52,1.4883478,1.4956886,nan,nan,nan
53,1.4884292,1.4957732,nan,nan,nan
54,1.4885756,1.4959193,nan,nan,nan
55,1.4885355,1.4958794,nan,nan,nan
56,1.4886609,1.496005,nan,nan,nan
57,1.4888684,1.4962131,nan,nan,nan
58,1.4887677,1.4961106,nan,nan,nan
59,1.4889346,1.4962792,nan,nan,nan
60,1.4888355,1.4961826,nan,nan,nan
61,1.4882734,1.495614,nan,nan,nan
62,1.487982,1.495323,nan,nan,nan
63,1.4879932,1.4953338,nan,nan,nan
64,1.4878974,1.4952369,nan,nan,nan
65,1.4880917,1.4954355,nan,nan,nan
66,1.4881372,1.4954785,nan,nan,nan
67,1.1314837,1.135298,1.1452217,nan,nan
68,1.487961,1.4953036,nan,nan,nan
69,1.1316208,1.1354345,1.1453584,nan,nan
70,1.4882253,1.4955668,nan,nan,nan
71,1.1309781,1.1347939,1.144719,nan,nan
72,1.4880105,1.4953543,nan,nan,nan
73,1.1308081,1.1346245,1.1445489,nan,nan
74,1.4881346,1.4954755,nan,nan,nan
75,1.1300604,1.1338791,1.1438038,nan,nan
76,1.4883453,1.495689,nan,nan,nan
77,1.1306967,1.1345133,1.1444389,nan,nan
78,1.4883584,1.4956985,nan,nan,nan
79,1.1316215,1.1354355,1.1453593,nan,nan
80,1.4884286,1.495769,nan,nan,nan
81,1.4882714,1.495612,nan,nan,nan
82,1.4883254,1.4956685,nan,nan,nan
83,1.4881065,1.4954505,nan,nan,nan
84,1.4883881,1.4957341,nan,nan,nan
85,1.4883149,1.4956573,nan,nan,nan
86,1.4880608,1.4954067,nan,nan,nan
87,1.4880077,1.4953482,nan,nan,nan
88,1.4875922,1.4949322,nan,nan,nan
89,1.4876763,1.4950187,nan,nan,nan
90,nan,1.2379168,1.239787,1.2423445,nan
91,nan,1.2382766,1.2401462,1.242703,nan
92,nan,1.2383847,1.240254,1.2428138,nan
93,nan,1.2381692,1.2400388,1.2425921,nan
94,nan,1.2385004,1.2403709,1.2429338,nan
95,nan,1.2383685,1.240238,1.2427973,nan
96,nan,1.2380038,1.2398734,1.2424225,nan
97,nan,1.2375518,1.2394247,1.2419729,nan
98,nan,1.2380674,1.2399364,1.2424874,nan
99,nan,1.239521,1.241389,1.2439997,nan
100,nan,1.2393619,1.2412311,1.2438322,nan
101,nan,1.2386293,1.2404995,1.2430681,nan
102,nan,1.2389218,1.24079,1.2433708,nan
103,nan,1.2380946,1.2399638,1.2425153,nan
104,nan,1.2381345,1.2400043,1.2425563,nan
105,nan,1.2382362,1.2401054,1.2426611,nan
106,nan,1.237783,1.2396532,1.2422014,nan
107,nan,1.2377273,1.2395976,1.2421446,nan
108,nan,1.2378172,1.2396886,1.2422363,nan
109,nan,1.2370826,1.2389582,1.241509,nan
110,nan,1.237168,1.2390424,1.2415937,nan
111,nan,1.2379564,1.2398264,1.2423853,nan
112,nan,1.2376019,1.2394731,1.2420179,nan
113,nan,1.2379599,1.2398301,1.2423888,nan
114,nan,1.2378339,1.2397056,1.2422532,nan
115,2.1882706,2.2024648,4.2251062,nan,nan
116,1.228691,1.2324928,1.2396668,nan,nan
117,1.2287291,1.2325308,1.2397047,nan,nan
118,1.2274109,1.2311432,1.2384278,nan,nan
119,1.227229,1.2309636,1.2382386,nan,nan
120,1.2267834,1.2304758,1.237836,nan,nan
121,1.0431036,1.0537741,1.0560143,nan,nan
122,1.04392,1.0546057,1.0568413,nan,nan
123,1.0436492,1.0543303,1.0565689,nan,nan
124,1.0430117,1.0536801,1.0559192,nan,nan
125,1.0425091,1.0531665,1.0554084,nan,nan
126,1.0421686,1.0528188,1.0550632,nan,nan
127,1.4156511,1.4223044,nan,nan,nan
128,1.0425453,1.0532031,1.0554454,nan,nan
129,1.415757,1.42241,nan,nan,nan
130,1.0428609,1.0535259,1.0557648,nan,nan
131,1.4157015,1.4223547,nan,nan,nan
132,1.4157188,1.4223719,nan,nan,nan
133,1.0438462,1.0545303,1.056766,nan,nan
134,1.4159082,1.4225621,nan,nan,nan
135,1.0445182,1.0552189,1.0574518,nan,nan
136,1.4158814,1.4225353,nan,nan,nan
137,1.0449485,1.0556579,1.0578914,nan,nan
138,1.4158621,1.4225159,nan,nan,nan
139,1.0441476,1.0548387,1.0570742,nan,nan
140,1.4156926,1.4223458,nan,nan,nan
141,1.0431339,1.053805,1.0560437,nan,nan
142,1.4155681,1.4222215,nan,nan,nan
143,1.043631,1.0543118,1.0565488,nan,nan
144,1.0441134,1.0548029,1.0570381,nan,nan
145,1.0433044,1.053977,1.0562161,nan,nan
146,1.0435102,1.0541881,1.0564252,nan,nan
147,1.4160361,1.4226898,nan,nan,nan
148,1.0435318,1.05421,1.0564476,nan,nan
149,1.4160197,1.4226733,nan,nan,nan
150,1.0429225,1.0535889,1.0558281,nan,nan
151,1.4158828,1.4225365,nan,nan,nan
152,1.0433322,1.0540053,1.0562443,nan,nan
153,1.415864,1.4225178,nan,nan,nan
154,1.0424339,1.0530895,1.0553334,nan,nan
155,1.4157484,1.4224017,nan,nan,nan
156,1.0430276,1.0536964,1.0559351,nan,nan
157,1.4158045,1.4224577,nan,nan,nan
158,1.4158165,1.4224702,nan,nan,nan
159,1.042224,1.0528753,1.055119,nan,nan
160,1.4156662,1.4223195,nan,nan,nan
161,1.0421107,1.0527544,1.055001,nan,nan
162,1.4157937,1.4224466,nan,nan,nan
163,1.0426264,1.053286,1.0555269,nan,nan
164,1.4158593,1.422513,nan,nan,nan
165,1.4156364,1.4222896,nan,nan,nan
166,1.0432955,1.0539678,1.0562055,nan,nan
