index,must_bnc,n_bnc,owtt,must_bnc0,n_bnc0,owtt0
0,False,0,1.4860519,False,0,1.4860858
1,False,0,1.4858233,False,0,1.485856
2,False,0,1.4863745,False,0,1.4864085
3,False,0,1.1289299,True,1,1.1366184
4,False,0,1.4865983,False,0,1.4866338
5,False,0,1.4866244,False,0,1.4866601
6,False,0,1.4866728,False,0,1.4867085
7,False,0,1.4863911,False,0,1.4864252
8,False,0,1.4861784,False,0,1.4862123
9,False,0,1.485824,False,0,1.485857
10,False,0,1.4860603,False,0,1.4860939
11,False,0,1.4862329,False,0,1.4862671
12,False,0,1.4864708,False,0,1.4865047
13,False,0,1.486524,False,0,1.4865578
14,False,0,1.4863063,False,0,1.48634
15,False,0,1.4863492,False,0,1.4863831
16,False,0,1.4861811,False,0,1.4862149
17,False,0,1.4862511,False,0,1.4862847
18,False,0,1.4866486,False,0,1.4866843
19,False,0,1.4867495,False,0,1.4867853
20,False,0,1.1269916,True,1,1.1346781
21,False,0,1.4866499,False,0,1.4866858
22,False,0,1.4866493,False,0,1.486685
23,False,0,1.1275852,True,1,1.1352735
24,False,0,1.4865857,False,0,1.4866216
25,False,0,1.1285224,True,1,1.1362107
26,False,0,1.4866107,False,0,1.4866465
27,False,0,1.4869168,False,0,1.4869527
28,False,0,1.1281431,True,1,1.1358316
29,False,0,1.4869388,False,0,1.4869747
30,False,0,1.4857465,False,0,1.4857796
31,False,0,1.4858713,False,0,1.485904
32,False,0,1.127187,True,1,1.1348739
33,False,0,1.4859061,False,0,1.48594
34,False,0,1.4859387,False,0,1.4859724
35,False,0,1.4857789,False,0,1.485812
36,False,0,1.1274985,True,1,1.135187
37,False,0,1.4859219,False,0,1.4859558
38,False,0,1.4858048,False,0,1.4858377
39,False,0,1.486578,False,0,1.4866136
40,False,0,1.4867765,False,0,1.4868122
41,False,0,1.4868836,False,0,1.4869194
42,False,0,1.4866226,False,0,1.4866582
43,False,0,1.1286978,True,1,1.1363862
44,False,0,1.4865994,False,0,1.4866351
45,False,0,1.487122,False,0,1.487158
46,False,0,1.4871906,False,0,1.4872264
47,False,0,1.4870379,False,0,1.4870737
48,False,0,1.4868844,False,0,1.4869201
49,False,0,1.4864763,False,0,1.4865102
50,False,0,1.4862875,False,0,1.4863213
51,False,0,1.4882687,False,0,1.4882314
52,False,0,1.4883478,False,0,1.4883107
53,False,0,1.4884292,False,0,1.4883922
54,False,0,1.4885756,False,0,1.4885386
55,False,0,1.4885355,False,0,1.4884987
56,False,0,1.4886609,False,0,1.4886245
57,False,0,1.4888684,False,0,1.4888322
58,False,0,1.4887677,False,0,1.4887315
59,False,0,1.4889346,False,0,1.4888986
60,False,0,1.4888355,False,0,1.4887991
61,False,0,1.4882734,False,0,1.4882361
62,False,0,1.487982,False,0,1.4879454
63,False,0,1.4879932,False,0,1.4879565
64,False,0,1.4878974,False,0,1.4878606
65,False,0,1.4880917,False,0,1.4880553
66,False,0,1.4881372,False,0,1.4881008
67,False,0,1.1314837,False,0,1.131336
68,False,0,1.487961,False,0,1.487924
69,False,0,1.1316208,False,0,1.1314726
70,False,0,1.4882253,False,0,1.4881891
71,False,0,1.1309781,False,0,1.1308309
72,False,0,1.4880105,False,0,1.4879738
73,False,0,1.1308081,False,0,1.130661
74,False,0,1.4881346,False,0,1.4880979
75,False,0,1.1300604,False,0,1.129914
76,False,0,1.4883453,False,0,1.4883081
77,False,0,1.1306967,False,0,1.1305497
78,False,0,1.4883584,False,0,1.488321
79,False,0,1.1316215,False,0,1.1314734
80,False,0,1.4884286,False,0,1.4883915
81,False,0,1.4882714,False,0,1.4882342
82,False,0,1.4883254,False,0,1.488288
83,False,0,1.4881065,False,0,1.4880698
84,False,0,1.4883881,False,0,1.488351
85,False,0,1.4883149,False,0,1.4882774
86,False,0,1.4880608,False,0,1.4880241
87,False,0,1.4880077,False,0,1.4879708
88,False,0,1.4875922,False,0,1.4875543
89,False,0,1.4876763,False,0,1.4876386
90,True,1,1.2379168,True,1,1.2334572
91,True,1,1.2382766,True,1,1.2338136
