index,owtt_0_bounce,owtt_1_bounce,owtt_2_bounce,owtt_3_bounce,owtt_4_bounce
0,1.4922589,1.4963202,nan,nan,nan
1,1.4920287,1.4960898,nan,nan,nan
2,1.492583,1.496644,nan,nan,nan
3,1.1387895,1.1399732,nan,nan,nan
4,1.4928088,1.4968699,nan,nan,nan
5,1.4928353,1.4968964,nan,nan,nan
6,1.492884,1.496945,nan,nan,nan
7,1.4925995,1.4966607,nan,nan,nan
8,1.492386,1.496447,nan,nan,nan
9,1.4920295,1.4960907,nan,nan,nan
10,1.4922671,1.4963282,nan,nan,nan
11,1.4924409,1.4965019,nan,nan,nan
12,1.4926794,1.4967405,nan,nan,nan
13,1.4927328,1.4967935,nan,nan,nan
14,1.4925143,1.496575,nan,nan,nan
15,1.4925574,1.4966184,nan,nan,nan
16,1.4923888,1.4964496,nan,nan,nan
17,1.4924586,1.4965198,nan,nan,nan
18,1.4928595,1.4969205,nan,nan,nan
19,1.4929612,1.4970219,nan,nan,nan
20,1.1368339,1.138033,nan,nan,nan
21,1.4928613,1.4969223,nan,nan,nan
22,1.4928604,1.4969212,nan,nan,nan
23,1.1374326,1.1386262,nan,nan,nan
24,1.4927968,1.4968576,nan,nan,nan
25,1.1383783,1.1395646,nan,nan,nan
26,1.4928217,1.4968824,nan,nan,nan
27,1.4931289,1.49719,nan,nan,nan
28,1.1379955,1.1391851,nan,nan,nan
29,1.493151,1.4972119,nan,nan,nan
30,1.4919518,1.4960129,nan,nan,nan
31,1.4920766,1.4961377,nan,nan,nan
32,1.1370313,1.1382284,nan,nan,nan
33,1.4921126,1.4961736,nan,nan,nan
34,1.4921451,1.4962065,nan,nan,nan
35,1.4919845,1.4960452,nan,nan,nan
36,1.1373456,1.1385398,nan,nan,nan
37,1.4921285,1.4961897,nan,nan,nan
38,1.49201,1.4960709,nan,nan,nan
39,1.4927889,1.4968499,nan,nan,nan
40,1.4929879,1.4970491,nan,nan,nan
41,1.4930958,1.4971565,nan,nan,nan
42,1.4928333,1.4968942,nan,nan,nan
43,1.1385549,1.1397405,nan,nan,nan
44,1.4928104,1.4968714,nan,nan,nan
45,1.4933347,1.497396,nan,nan,nan
46,1.4934036,1.4974641,nan,nan,nan
47,1.4932503,1.497311,nan,nan,nan
48,1.4930964,1.4971571,nan,nan,nan
49,1.4926848,1.496746,nan,nan,nan
50,1.4924954,1.4965565,nan,nan,nan
51,1.4909987,1.4994328,nan,nan,nan
52,1.4910784,1.4995127,nan,nan,nan
53,1.4911603,1.4995942,nan,nan,nan
54,1.4913075,1.4997411,nan,nan,nan
55,1.491267,1.4997008,nan,nan,nan
56,1.4913934,1.4998269,nan,nan,nan
57,1.4916023,1.5000352,nan,nan,nan
58,1.4915007,1.4999343,nan,nan,nan
59,1.4916692,1.5001018,nan,nan,nan
60,1.4915688,1.5000019,nan,nan,nan
61,1.4910034,1.4994377,nan,nan,nan
62,1.4907116,1.4991463,nan,nan,nan
63,1.4907227,1.4991574,nan,nan,nan
64,1.4906265,1.4990612,nan,nan,nan
65,1.4908218,1.4992565,nan,nan,nan
66,1.4908674,1.4993019,nan,nan,nan
67,1.1351433,1.1379542,nan,nan,nan
68,1.4906902,1.4991246,nan,nan,nan
69,1.1352807,1.1380913,nan,nan,nan
70,1.4909564,1.4993907,nan,nan,nan
71,1.1346363,1.1374472,nan,nan,nan
72,1.4907402,1.4991748,nan,nan,nan
73,1.1344656,1.1372769,nan,nan,nan
74,1.4908648,1.4992993,nan,nan,nan
75,1.133716,1.1365273,nan,nan,nan
76,1.4910755,1.4995099,nan,nan,nan
77,1.1343541,1.1371652,nan,nan,nan
78,1.4910886,1.4995229,nan,nan,nan
79,1.1352813,1.1380922,nan,nan,nan
80,1.4911593,1.4995934,nan,nan,nan
81,1.4910017,1.4994357,nan,nan,nan
82,1.4910557,1.4994895,nan,nan,nan
83,1.4908364,1.4992709,nan,nan,nan
84,1.4911187,1.499553,nan,nan,nan
85,1.491045,1.4994792,nan,nan,nan
86,1.4907905,1.4992254,nan,nan,nan
87,1.4907373,1.4991717,nan,nan,nan
88,1.4903189,1.4987544,nan,nan,nan
89,1.4904034,1.4988387,nan,nan,nan
90,1.2359853,1.2372074,nan,nan,nan
91,1.2363449,1.237567,nan,nan,nan
92,1.2364523,1.2376739,nan,nan,nan
93,1.2362376,1.2374594,nan,nan,nan
94,1.2365677,1.2377787,nan,nan,nan
95,1.2364361,1.237658,nan,nan,nan
96,1.2360725,1.2372944,nan,nan,nan
97,1.235621,1.2368432,nan,nan,nan
98,1.2361358,1.2373581,nan,nan,nan
99,1.2375897,1.2387958,nan,nan,nan
100,1.2374308,1.2386372,nan,nan,nan
101,1.2366968,1.2379073,nan,nan,nan
102,1.2369921,1.2381989,nan,nan,nan
103,1.2361629,1.237385,nan,nan,nan
104,1.236203,1.2374249,nan,nan,nan
105,1.2363044,1.2375263,nan,nan,nan
106,1.2358518,1.2370739,nan,nan,nan
107,1.235796,1.237018,nan,nan,nan
108,1.2358857,1.237108,nan,nan,nan
109,1.2351522,1.2363749,nan,nan,nan
110,1.2352371,1.2364596,nan,nan,nan
111,1.2360252,1.2372473,nan,nan,nan
112,1.2356712,1.2368934,nan,nan,nan
113,1.2360287,1.2372507,nan,nan,nan
114,1.2359027,1.2371247,nan,nan,nan
115,2.193366,2.2013474,4.234209,nan,nan
116,1.2326432,1.2354177,nan,nan,nan
117,1.2326815,1.235456,nan,nan,nan
118,1.2313589,1.2341341,nan,nan,nan
119,1.2311765,1.2339513,nan,nan,nan
120,1.2307291,1.2335043,nan,nan,nan
121,1.0521809,1.053056,nan,nan,nan
122,1.0530021,1.0538763,nan,nan,nan
123,1.0527302,1.0536046,nan,nan,nan
124,1.0520881,1.0529634,nan,nan,nan
125,1.051581,1.0524569,nan,nan,nan
126,1.0512371,1.0521138,nan,nan,nan
127,1.4215149,1.4255899,nan,nan,nan
128,1.0516173,1.0524929,nan,nan,nan
129,1.4216211,1.4256963,nan,nan,nan
130,1.0519361,1.0528117,nan,nan,nan
131,1.4215655,1.4256407,nan,nan,nan
132,1.4215829,1.425658,nan,nan,nan
133,1.0529275,1.0538015,nan,nan,nan
134,1.4217737,1.4258485,nan,nan,nan
135,1.053607,1.0544803,nan,nan,nan
136,1.4217467,1.4258218,nan,nan,nan
137,1.0540413,1.0549141,nan,nan,nan
138,1.4217277,1.4258022,nan,nan,nan
139,1.053232,1.0541056,nan,nan,nan
140,1.4215567,1.4256318,nan,nan,nan
