index,must_bnc,owtt
0,False,1.4880466
1,False,1.4878172
2,False,1.4883696
3,False,1.1301018
4,False,1.4885952
5,False,1.4886215
6,False,1.48867
7,False,1.4883864
8,False,1.4881732
9,False,1.4878179
10,False,1.4880551
11,False,1.488228
12,False,1.4884659
13,False,1.4885191
14,False,1.4883013
15,False,1.4883441
16,False,1.4881761
17,False,1.4882458
18,False,1.4886458
19,False,1.4887466
20,False,1.1281703
21,False,1.4886471
22,False,1.4886464
23,False,1.1287555
24,False,1.4885827
25,False,1.1296939
26,False,1.4886076
27,False,1.4889122
28,False,1.1293142
29,False,1.4889343
30,False,1.4877404
31,False,1.4878647
32,False,1.128366
33,False,1.4879006
34,False,1.4879335
35,False,1.487773
36,False,1.1286689
37,False,1.4879168
38,False,1.4877986
39,False,1.4885751
40,False,1.4887737
41,False,1.4888809
42,False,1.4886193
43,False,1.1298695
44,False,1.4885966
45,False,1.4891176
46,False,1.489186
47,False,1.4890332
48,False,1.4888798
49,False,1.4884714
50,False,1.4882827
51,False,1.4894518
52,False,1.4895308
53,False,1.4896116
54,False,1.4897563
55,False,1.4897172
56,False,1.4898415
57,False,1.4900476
58,False,1.4899477
59,False,1.4901134
60,False,1.4900148
61,False,1.4894565
62,False,1.489168
63,False,1.4891789
64,False,1.4890835
65,False,1.4892769
66,False,1.4893223
67,False,1.132217
68,False,1.4891467
69,False,1.1323541
70,False,1.4894102
71,False,1.1317106
72,False,1.4891961
73,False,1.1315408
74,False,1.4893196
75,False,1.1307932
76,False,1.4895278
77,False,1.1314293
78,False,1.4895409
79,False,1.1323547
80,False,1.4896109
81,False,1.4894545
82,False,1.4895079
83,False,1.4892915
84,False,1.4895701
85,False,1.4894977
86,False,1.489246
87,False,1.4891933
88,False,1.4887799
89,False,1.4888636
90,False,1.2266687
91,False,1.2270256
92,False,1.2271322
93,False,1.226919
94,False,1.2272469
95,False,1.2271162
96,False,1.2267553
97,False,1.226307
98,False,1.2268181
99,False,1.228258
100,False,1.2281003
101,False,1.2273749
102,False,1.2276646
103,False,1.226845
104,False,1.2268846
105,False,1.2269855
106,False,1.226536
107,False,1.2264807
108,False,1.2265699
109,False,1.2258418
110,False,1.225926
111,False,1.2267082
112,False,1.2263569
113,False,1.2267116
114,False,1.2265865
115,False,2.193158
116,False,1.2294385
117,False,1.2294767
118,False,1.2281578
119,False,1.227976
120,False,1.2275299
121,False,1.0443292
122,False,1.0451438
123,False,1.0448742
124,False,1.0442373
125,False,1.0437503
126,False,1.0434092
127,False,1.4175661
128,False,1.0437862
129,False,1.4176718
130,False,1.0440865
131,False,1.4176165
132,False,1.4176338
133,False,1.0450698
134,False,1.4178239
135,False,1.0457441
136,False,1.417797
137,False,1.046175
138,False,1.4177775
139,False,1.045372
140,False,1.4176074
141,False,1.0443596
142,False,1.417483
143,False,1.0448561
144,False,1.0453374
145,False,1.0445282
146,False,1.0447351
147,False,1.417952
148,False,1.0447565
149,False,1.4179353
150,False,1.0441478
151,False,1.4177984
152,False,1.044556
153,False,1.4177798
154,False,1.0436748
155,False,1.4176636
156,False,1.0442531
157,False,1.4177196
158,False,1.4177319
159,False,1.0434645
160,False,1.4175812
161,False,1.0433464
162,False,1.4177085
163,False,1.0438678
164,False,1.4177748
165,False,1.4175516
166,False,1.0445193
167,False,1.4172264
168,False,1.4171655
169,False,1.4173371
170,False,1.4172008
171,False,1.4173703
172,False,1.0444771
173,False,1.4174278
174,False,1.0436728
175,False,1.4172901
176,False,1.0431383
177,False,1.4174615
178,False,1.0436486
179,False,1.4172797
180,False,1.0441016
181,False,1.4173177
182,False,1.4171517
183,False,1.4183637
184,False,1.4184335
185,False,1.4185054
186,False,1.4185808
187,False,1.4183416
188,False,1.418343
189,False,1.4183099
190,False,1.4182898
191,False,1.4181716
192,False,1.4185786
193,False,1.4185201
194,False,1.4184731
195,False,1.4185034
196,False,1.4184427
197,False,1.4185034
198,False,1.4185171
199,False,1.4182638
200,False,1.4184074
201,False,1.4184387
202,False,1.4183618
203,False,1.4183887
204,False,1.4185498
205,False,1.4185416
206,False,1.4183459
207,False,1.4182158
208,False,1.4182707
209,False,1.4182388
210,False,1.4179664
211,False,1.4180791
212,False,1.4181234
213,False,1.4181405
214,False,1.4184207
215,False,1.418218
216,False,1.0151352
217,False,1.0144583
218,False,1.0144514
219,False,1.0145551
220,False,1.0144252
221,False,1.0145025
222,False,1.0145315
223,False,1.0147985
224,False,1.0130246
225,False,1.0138714
226,False,1.0132816
227,False,1.0131358
228,False,1.0131698
229,False,1.0143837
230,False,1.0134304
231,False,1.013664
232,False,1.0131958
233,False,1.0132422
234,False,1.0127623
235,False,1.0135452
236,False,1.0139725
237,False,1.0144328
238,False,1.0155038
239,False,1.0153954
240,False,1.0144666
241,False,1.0143837
242,False,1.0137013
243,False,1.0138671
244,False,1.0135022
245,False,1.014488
246,False,1.0148779
247,False,1.0158149
248,False,1.0158323
249,False,1.0168195
250,False,1.4884189
251,False,1.4888738
252,False,1.4888378
253,False,1.4889213
254,False,1.489027
255,False,1.4885572
256,False,1.4881368
257,False,1.1268873
258,False,1.1267608
259,False,1.1297741
260,False,1.1287506
261,False,1.4880495
262,False,1.4879202
263,False,1.126758
264,False,1.4881996
265,False,1.4881947
266,False,1.1291081
267,False,1.4883573
268,False,1.4882121
269,False,1.4883358
270,False,1.4881561
271,False,1.1306288
272,False,1.4892174
273,False,1.4888122
274,False,1.4887642
275,False,1.4891205
276,False,1.4894102
277,False,1.4891857
278,False,1.4891301
279,False,1.4893483
280,False,1.4894935
281,False,1.4895298
282,False,1.4893249
283,False,1.489092
284,False,1.4894786
285,False,1.4892982
286,False,1.4893646
287,False,1.489543
288,False,1.4892604
289,False,1.4891754
290,False,1.4890035
291,False,1.489233
292,False,1.4894943
293,False,1.4894052
294,False,1.4892901
295,False,1.4890411
296,False,1.4890027
297,False,1.4890617
298,False,1.4890549
299,False,1.4891812
300,False,1.4892455
301,False,1.4893167
302,False,1.4893196
303,False,1.4892339
304,False,1.4894361
305,False,1.4895333
306,False,1.4893744
307,False,1.4890708
308,False,1.4891714
309,False,1.4889246
310,False,1.4889183
311,False,1.4888195
312,False,1.4887826
313,False,1.4888595
314,False,1.4887724
315,False,1.4889582
316,False,1.488747
317,False,1.4892187
318,False,1.4890863
319,False,1.4889759
320,False,1.4890795
321,False,1.4890501
322,False,1.4889157
323,False,1.488989
324,False,1.4893183
325,False,1.4892042
326,False,1.4890809
327,False,1.225926
328,False,1.2262676
329,False,1.2243638
330,False,1.2243582
331,False,1.2249813
332,False,1.2253644
333,False,1.2252095
334,False,1.2248658
335,False,1.2255063
336,False,1.225989
337,False,1.2256999
338,False,1.2258111
339,False,1.2255927
340,False,1.2254924
341,False,1.2251695
342,False,1.2255907
343,False,1.2266992
344,False,1.2272767
345,False,1.2256362
346,False,1.2259641
347,False,1.2270373
348,False,1.2276543
349,False,1.2291385
350,False,1.2281958
351,False,1.2281958
352,False,1.0448673
353,False,1.044202
354,False,1.0463444
355,False,1.0448887
356,False,1.0456833
357,False,1.0454904
358,False,1.0451397
359,False,1.4178898
360,False,1.0466888
361,False,1.4176393
362,False,1.4176214
363,False,1.0457684
364,False,1.4178965
365,False,1.4176414
366,False,1.0464661
367,False,1.4180313
368,False,1.0465851
369,False,1.4177002
370,False,1.0464896
371,False,1.4177583
372,False,1.0463153
373,False,1.4175037
374,False,1.0453036
375,False,1.4175875
376,False,1.0452462
377,False,1.4175459
378,False,1.4173834
379,False,1.0450767
380,False,1.417517
381,False,1.0465118
382,False,1.4177092
383,False,1.4176103
384,False,1.0453423
385,False,1.4176005
386,False,1.417519
387,False,1.0449688
388,False,1.0466493
389,False,1.0464814
390,False,1.0457047
391,False,1.0451818
392,False,1.0439508
393,False,1.0436755
394,False,1.043226
395,False,1.4185781
396,False,1.4184922
397,False,1.4187374
398,False,1.41859
399,False,1.4184343
400,False,1.4181687
401,False,1.4185152
402,False,1.41888
403,False,1.0464579
404,False,1.4187522
405,False,1.4188082
406,False,1.4184853
407,False,1.4183612
408,False,1.4184129
409,False,1.4185635
410,False,1.4186264
411,False,1.418583
412,False,1.0507712
413,False,1.4184669
414,False,1.4186836
415,False,1.4188634
416,False,1.0493338
417,False,1.4188294
418,False,1.0491016
419,False,1.4184877
420,False,1.4183651
421,False,1.0483285
422,False,1.0482415
423,False,1.4186865
424,False,1.0491085
425,False,1.4184294
426,False,1.0481521
427,False,1.4181745
428,False,1.0483595
429,False,1.4183222
430,False,1.4181525
431,False,1.4182442
432,False,1.4184532
433,False,1.4183314
434,False,1.4181128
435,False,1.4180273
436,False,1.4182379
437,False,1.4183265
438,False,1.4183667
439,False,1.4184483
440,False,1.4183563
441,False,1.4186214
442,False,1.4185864
443,False,1.4185786
444,False,1.4186137
445,False,1.4186395
446,False,1.4187486
447,False,1.419057
448,False,1.4185358
449,False,1.4185375
450,False,1.4186538
451,False,1.4185054
452,False,1.4185228
453,False,1.4183936
454,False,1.4187416
455,False,1.4187355
456,False,1.0144659
457,False,1.0145351
458,False,1.0140705
459,False,1.0147432
460,False,1.0146304
461,False,1.0138547
462,False,1.0140074
463,False,1.0135403
464,False,1.0137815
465,False,1.0135643
466,False,1.0137407
467,False,1.4877998
468,False,1.487775
469,False,1.4874493
470,False,1.4878005
471,False,1.126146
472,False,1.4877687
473,False,1.1256405
474,False,1.4878448
475,False,1.4881026
476,False,1.4882023
477,False,1.4881656
478,False,1.4884251
479,False,1.1264774
480,False,1.4883026
481,False,1.1267276
482,False,1.1265858
483,False,1.1265007
484,False,1.4879085
485,False,1.4879825
486,False,1.4882253
487,False,1.4882923
488,False,1.4881449
489,False,1.1277325
490,False,1.4882827
491,False,1.1281419
492,False,1.4883823
493,False,1.1279829
494,False,1.4884286
495,False,1.4880743
496,False,1.488091
497,False,1.488024
498,False,1.4882451
499,False,1.4883504
500,False,1.1265769
501,False,1.4891598
502,False,1.1285431
503,False,1.4889307
504,False,1.488989
505,False,1.1293626
506,False,1.4889246
507,False,1.1293107
508,False,1.4887271
509,False,1.1302526
510,False,1.4886146
511,False,1.4888085
512,False,1.1310822
513,False,1.4889526
514,False,1.1311466
515,False,1.4891981
516,False,1.1314522
517,False,1.4892597
518,False,1.489434
519,False,1.1317273
520,False,1.4893702
521,False,1.1319143
522,False,1.4893227
523,False,1.1320664
524,False,1.4890214
525,False,1.1327412
526,False,1.4889021
527,False,1.4887642
528,False,1.1310257
529,False,1.4888285
530,False,1.1318632
531,False,1.488941
532,False,1.4888753
533,False,1.489146
534,False,1.4891392
535,False,1.4891268
536,False,1.1332806
537,False,1.4889814
538,False,1.4888511
539,False,1.1342353
540,False,1.4888753
541,False,1.488854
542,False,1.4888614
543,False,1.1337974
544,False,1.4888203
545,False,1.1337525
546,False,1.4891337
547,False,1.1337019
548,False,1.4890898
549,False,1.4892894
550,False,1.1327121
551,False,1.4893744
552,False,1.1327808
553,False,1.4893463
554,False,1.4890809
555,False,1.1335691
556,False,1.4891707
557,False,1.133558
558,False,1.4897118
559,False,1.1340567
