index,must_bnc,owtt
0,False,1.4904617
1,False,1.4902322
2,False,1.4907846
3,False,1.1357659
4,False,1.4910101
5,False,1.4910363
6,False,1.4910848
7,False,1.4908012
8,False,1.4905884
9,False,1.4902331
10,False,1.4904702
11,False,1.4906429
12,False,1.4908808
13,False,1.4909337
14,False,1.4907162
15,False,1.490759
16,False,1.4905912
17,False,1.4906608
18,False,1.4910603
19,False,1.4911613
20,False,1.1338222
21,False,1.4910616
22,False,1.4910611
23,False,1.1344173
24,False,1.4909976
25,False,1.1353571
26,False,1.4910225
27,False,1.4913286
28,False,1.1349771
29,False,1.4913508
30,False,1.4901556
31,False,1.49028
32,False,1.1340183
33,False,1.490316
34,False,1.4903486
35,False,1.4901882
36,False,1.1343306
37,False,1.4903319
38,False,1.4902139
39,False,1.4909899
40,False,1.4911883
41,False,1.4912952
42,False,1.491034
43,False,1.1355332
44,False,1.4910115
45,False,1.491534
46,False,1.4916021
47,False,1.4914495
48,False,1.491296
49,False,1.4908863
50,False,1.4906976
51,False,1.4900173
52,False,1.4900968
53,False,1.4901786
54,False,1.4903251
55,False,1.4902852
56,False,1.4904113
57,False,1.49062
58,False,1.4905187
59,False,1.4906864
60,False,1.4905868
61,False,1.490022
62,False,1.4897301
63,False,1.489741
64,False,1.4896449
65,False,1.4898401
66,False,1.4898859
67,False,1.1339872
68,False,1.4897087
69,False,1.1341242
70,False,1.489975
71,False,1.1334807
72,False,1.4897584
73,False,1.1333104
74,False,1.4898832
75,False,1.132563
76,False,1.4900938
77,False,1.1331989
78,False,1.4901069
79,False,1.134125
80,False,1.4901776
81,False,1.4900197
82,False,1.4900739
83,False,1.4898549
84,False,1.4901366
85,False,1.4900633
86,False,1.4898088
87,False,1.4897556
88,False,1.4893376
89,False,1.4894221
90,False,1.2326897
91,False,1.2330472
92,False,1.2331539
93,False,1.2329406
94,False,1.233269
95,False,1.233138
96,False,1.2327765
97,False,1.2323277
98,False,1.2328395
99,False,1.2342814
100,False,1.2341235
101,False,1.2333971
102,False,1.233687
103,False,1.2328664
104,False,1.232906
105,False,1.2330071
106,False,1.232557
107,False,1.2325016
108,False,1.2325909
109,False,1.2318616
110,False,1.2319461
111,False,1.2327294
112,False,1.2323775
113,False,1.2327328
114,False,1.2326074
115,False,2.1917362
116,False,1.2312908
117,False,1.2313288
118,False,1.2300081
119,False,1.229826
120,False,1.2293794
121,False,1.0496359
122,False,1.0504539
