sourceDepth,recDepth,recRange,simGvel,txNode,rxNode,owtt
90,30,2148.75882525709,1438.42950533651,East,North,1.49479
90,30,2148.42667410644,1438.43037622293,East,North,1.49481
90,30,2149.22551892833,1438.43003822504,East,North,1.49481
20,30,1634.32386043527,NaN,Camp,North,1.14127
90,30,2149.55207352239,1438.43497886422,East,North,1.49481
90,30,2149.58956226447,1438.43616538168,East,North,1.4948
90,30,2149.65964987685,1438.4361505067,East,North,1.49481
90,30,2149.2500393404,1438.43580009356,East,North,1.49483
90,30,2148.94219258036,1438.43473267547,East,North,1.49483
90,30,2148.42839038646,1438.43422720411,East,North,1.49482
90,30,2148.77106024842,1438.43396858737,East,North,1.49484
90,30,2149.021355068,1438.43374019469,East,North,1.49482
90,30,2149.36461352145,1438.43392335177,East,North,1.49484
90,30,2149.44198645959,1438.43336496138,East,North,1.49481
90,30,2149.12695078859,1438.43403320011,East,North,1.49483
90,30,2149.18908100766,1438.43428488408,East,North,1.49481
90,30,2148.94550861194,1438.43449000413,East,North,1.49482
90,30,2149.04687054452,1438.43825211225,East,North,1.49482
90,30,2149.62468669607,1438.43211892165,East,North,1.49482
90,30,2149.77116677449,1438.43626574595,East,North,1.49485
20,30,1631.51755113489,NaN,Camp,North,1.14131
90,30,2149.62687190387,1438.43728291205,East,North,1.49484
90,30,2149.62610526109,1438.43691954603,East,North,1.49486
20,30,1632.3773399573,NaN,Camp,North,1.14129
90,30,2149.53414414598,1438.43743955188,East,North,1.49487
20,30,1633.73415122421,NaN,Camp,North,1.14128
90,30,2149.56950561103,1438.43608309431,East,North,1.49489
90,30,2150.01275313031,1438.43660694219,East,North,1.49487
20,30,1633.18472656187,NaN,Camp,North,1.14129
90,30,2150.04517547304,1438.43818726372,East,North,1.49488
90,30,2148.31616343333,1438.4358067497,East,North,1.49489
90,30,2148.49639727684,1438.42826835868,East,North,1.4949
20,30,1631.80132539765,NaN,Camp,North,1.14124
90,30,2148.54796726498,1438.42902710581,East,North,1.49491
90,30,2148.5949115009,1438.43024969658,East,North,1.49494
90,30,2148.36282284679,1438.42978577933,East,North,1.49489
20,30,1632.25179880767,NaN,Camp,North,1.14126
90,30,2148.57122039394,1438.42993415039,East,North,1.49492
90,30,2148.39963516107,1438.43074991876,East,North,1.49498
90,30,2149.52267891527,1438.43089612643,East,North,1.49496
90,30,2149.81047603176,1438.43654426039,East,North,1.49498
90,30,2149.96474365623,1438.43753713982,East,North,1.49497
90,30,2149.58725289391,1438.43651399416,East,North,1.495
20,30,1633.98764945511,NaN,Camp,North,1.14128
90,30,2149.5542003377,1438.43710778702,East,North,1.495
90,30,2150.31048871589,1438.43722726936,East,North,1.49503
90,30,2150.40893257519,1438.43579393957,East,North,1.49502
90,30,2150.18841033474,1438.43750563125,East,North,1.49506
90,30,2149.96563190544,1438.43567108329,East,North,1.4951
90,30,2149.37332878177,1438.43310131196,East,North,1.49506
90,30,2149.09956259202,1438.43114545504,East,North,1.50129
90,90,2149.547108976,1438.43453554822,East,North,1.49509
90,90,2149.66155183762,1434.69792420547,East,North,1.49509
90,90,2149.78033431802,1434.69698607061,East,North,1.49509
90,90,2149.99209040776,1434.69607061889,East,North,1.4951
90,90,2149.93401615251,1434.70118761743,East,North,1.49512
90,90,2150.11601754663,1434.70188210715,East,North,1.49512
90,90,2150.41668797603,1434.70215052326,East,North,1.49512
90,90,2150.271317009,1434.70590863758,East,North,1.49513
90,90,2150.51268686009,1434.70223279014,East,North,1.49514
90,90,2150.36917753792,1434.70245850421,East,North,1.49512
90,90,2149.55415004975,1434.70252206802,East,North,1.48952
90,90,2149.13297369685,1434.69526034992,East,North,1.48956
90,90,2149.14885960643,1434.69503194341,East,North,1.4895
90,90,2149.01006856771,1434.6958069143,East,North,1.49509
90,90,2149.29177947043,1434.6954416047,East,North,1.49511
90,90,2149.35755349843,1434.6954877873,East,North,1.49515
20,90,1632.92858674575,NaN,Camp,North,1.13955
90,90,2149.10217407706,1434.6991262771,East,North,1.49516
20,90,1633.12746135439,NaN,Camp,North,1.13958
90,90,2149.48571265694,1434.69728486434,East,North,1.49514
20,90,1632.19780063659,NaN,Camp,North,1.13955
90,90,2149.17398991939,1434.70026636747,East,North,1.49511
20,90,1631.95160914394,NaN,Camp,North,1.13957
90,90,2149.35415814257,1434.69798571611,East,North,1.49514
20,90,1630.87142391493,NaN,Camp,North,1.13959
90,90,2149.6578962181,1434.69958655137,East,North,1.4951
20,90,1631.7913756353,NaN,Camp,North,1.13954
90,90,2149.67680633936,1434.70142587439,East,North,1.49511
20,90,1633.12846249974,NaN,Camp,North,1.13946
90,90,2149.77880582838,1434.7007391124,East,North,1.49511
90,90,2149.55149223028,1434.70210255316,East,North,1.49511
90,90,2149.62853590829,1434.70008653581,East,North,1.49513
90,90,2149.31334340143,1434.70230623394,East,North,1.49514
90,90,2149.71969641384,1434.70113214879,East,North,1.49515
90,90,2149.61439469577,1434.69959759686,East,North,1.49524
90,90,2149.24717386985,1434.70055448906,East,North,1.49529
90,90,2149.16987553349,1434.69935855257,East,North,1.49527
90,90,2148.56710193938,1434.69896917081,East,North,1.49524
90,90,2148.68859892154,1434.69447840584,East,North,1.49524
20,30,1774.05647739308,NaN,Camp,West,1.2423
20,30,1774.5719575196,NaN,Camp,West,1.24103
20,30,1774.72585058426,NaN,Camp,West,1.24229
20,30,1774.41785338941,NaN,Camp,West,1.2423
20,30,1774.89155826669,NaN,Camp,West,1.24231
20,30,1774.70305513492,NaN,Camp,West,1.24231
20,30,1774.18077112069,NaN,Camp,West,1.24223
20,30,1773.53270745108,NaN,Camp,West,1.24222
20,30,1774.27198588743,NaN,Camp,West,1.24222
20,30,1776.3536011441,NaN,Camp,West,1.24085
