index,owtt_0_bounce,owtt_1_bounce,owtt_2_bounce,owtt_3_bounce,owtt_4_bounce
0,1.4865274,1.4935312,nan,nan,nan
1,1.4862984,1.4933015,nan,nan,nan
2,1.4868493,1.4938445,nan,nan,nan
3,1.1403192,1.139777,1.1421452,nan,nan
4,1.487074,1.4940698,nan,nan,nan
5,1.4871001,1.494096,nan,nan,nan
6,1.4871486,1.4941444,nan,nan,nan
7,1.4868656,1.493861,nan,nan,nan
8,1.486654,1.493648,nan,nan,nan
9,1.486299,1.4933023,nan,nan,nan
10,1.4865357,1.4935297,nan,nan,nan
11,1.4867083,1.4937027,nan,nan,nan
12,1.4869453,1.4939406,nan,nan,nan
13,1.4869986,1.4939938,nan,nan,nan
14,1.4867806,1.4937758,nan,nan,nan
15,1.4868234,1.4938189,nan,nan,nan
16,1.4866567,1.4936508,nan,nan,nan
17,1.4867265,1.4937209,nan,nan,nan
18,1.4871244,1.4941204,nan,nan,nan
19,1.4872253,1.4942161,nan,nan,nan
20,1.1383615,1.1378149,1.1402147,nan,nan
21,1.4871259,1.4941218,nan,nan,nan
22,1.4871249,1.4941208,nan,nan,nan
23,1.1389612,1.1384155,1.140809,nan,nan
24,1.4870617,1.4940574,nan,nan,nan
25,1.1399082,1.1393647,1.1417426,nan,nan
26,1.4870864,1.4940823,nan,nan,nan
27,1.4873922,1.4943835,nan,nan,nan
28,1.1395252,1.1389807,1.1413673,nan,nan
29,1.4874141,1.4944056,nan,nan,nan
30,1.4862216,1.4932247,nan,nan,nan
31,1.4863459,1.4933493,nan,nan,nan
32,1.138559,1.1380126,1.140413,nan,nan
33,1.4863819,1.4933852,nan,nan,nan
34,1.4864143,1.4934176,nan,nan,nan
35,1.4862542,1.4932575,nan,nan,nan
36,1.138874,1.138328,1.1407236,nan,nan
37,1.4863977,1.4934012,nan,nan,nan
38,1.4862797,1.4932829,nan,nan,nan
39,1.4870542,1.4940498,nan,nan,nan
40,1.487252,1.4942429,nan,nan,nan
41,1.4873589,1.4943501,nan,nan,nan
42,1.4870983,1.4940943,nan,nan,nan
43,1.1400852,1.1395425,1.1419171,nan,nan
44,1.4870754,1.494071,nan,nan,nan
45,1.4875957,1.4945886,nan,nan,nan
46,1.4876641,1.4946574,nan,nan,nan
47,1.487512,1.4945043,nan,nan,nan
48,1.4873596,1.4943508,nan,nan,nan
49,1.4869506,1.4939458,nan,nan,nan
50,1.4867619,1.4937571,nan,nan,nan
51,1.4907837,1.4964513,nan,nan,nan
52,1.4908633,1.4965304,nan,nan,nan
53,1.4909451,1.4966123,nan,nan,nan
54,1.4910923,1.4967587,nan,nan,nan
55,1.4910516,1.4967186,nan,nan,nan
56,1.4911782,1.4968443,nan,nan,nan
57,1.4913871,1.4970502,nan,nan,nan
58,1.4912857,1.4969493,nan,nan,nan
59,1.4914536,1.4971166,nan,nan,nan
60,1.4913538,1.4970171,nan,nan,nan
61,1.4907885,1.4964559,nan,nan,nan
62,1.4904964,1.4961666,nan,nan,nan
63,1.4905077,1.4961761,nan,nan,nan
64,1.4904109,1.4960816,nan,nan,nan
65,1.4906068,1.496275,nan,nan,nan
66,1.4906526,1.4963206,nan,nan,nan
67,1.1323578,1.1360153,1.1402001,nan,nan
68,1.4904749,1.4961452,nan,nan,nan
69,1.1324948,1.136141,1.1403337,nan,nan
70,1.4907413,1.4964089,nan,nan,nan
71,1.131853,1.1355146,1.1397084,nan,nan
72,1.490525,1.4961934,nan,nan,nan
73,1.131683,1.1353498,1.1395423,nan,nan
74,1.4906498,1.496318,nan,nan,nan
75,1.130936,1.1345998,1.1388377,nan,nan
76,1.4908605,1.4965279,nan,nan,nan
77,1.1315715,1.1352322,1.1394336,nan,nan
78,1.4908737,1.4965409,nan,nan,nan
79,1.1324958,1.1361488,1.1403345,nan,nan
80,1.4909446,1.4966114,nan,nan,nan
81,1.4907864,1.4964541,nan,nan,nan
82,1.4908402,1.4965078,nan,nan,nan
83,1.4906213,1.4962896,nan,nan,nan
84,1.4909039,1.4965707,nan,nan,nan
85,1.4908302,1.4964975,nan,nan,nan
86,1.4905756,1.496244,nan,nan,nan
87,1.4905219,1.4961907,nan,nan,nan
88,1.4901038,1.4957757,nan,nan,nan
89,1.4901885,1.49586,nan,nan,nan
