index,owtt_0_bounce,owtt_1_bounce,owtt_2_bounce,owtt_3_bounce,owtt_4_bounce
0,1.4905471,1.495474,nan,nan,nan
1,1.4903172,1.4952438,nan,nan,nan
2,1.4908695,1.4957974,nan,nan,nan
3,1.1358451,1.1409314,nan,nan,nan
4,1.4911,1.4960232,nan,nan,nan
5,1.4911267,1.4960496,nan,nan,nan
6,1.4911748,1.4960979,nan,nan,nan
7,1.4908861,1.495814,nan,nan,nan
8,1.490673,1.4956006,nan,nan,nan
9,1.4903181,1.4952445,nan,nan,nan
10,1.4905552,1.4954822,nan,nan,nan
11,1.4907278,1.4956555,nan,nan,nan
12,1.4909708,1.4958936,nan,nan,nan
13,1.4910241,1.4959466,nan,nan,nan
14,1.4908007,1.4957286,nan,nan,nan
15,1.490844,1.4957718,nan,nan,nan
16,1.4906758,1.4956033,nan,nan,nan
17,1.4907458,1.4956733,nan,nan,nan
18,1.4911506,1.4960736,nan,nan,nan
19,1.4912518,1.4961749,nan,nan,nan
20,1.1339009,1.1389754,nan,nan,nan
21,1.4911523,1.4960752,nan,nan,nan
22,1.4911515,1.4960744,nan,nan,nan
23,1.134496,1.1395745,nan,nan,nan
24,1.4910876,1.4960105,nan,nan,nan
25,1.1354363,1.1405197,nan,nan,nan
26,1.4911127,1.4960358,nan,nan,nan
27,1.4914193,1.4963425,nan,nan,nan
28,1.1350555,1.1401377,nan,nan,nan
29,1.4914414,1.496365,nan,nan,nan
30,1.4902405,1.495167,nan,nan,nan
31,1.4903651,1.4952916,nan,nan,nan
32,1.134097,1.1391728,nan,nan,nan
33,1.4904008,1.4953277,nan,nan,nan
34,1.4904336,1.4953605,nan,nan,nan
35,1.4902729,1.4951994,nan,nan,nan
36,1.1344093,1.1394873,nan,nan,nan
37,1.4904169,1.4953434,nan,nan,nan
38,1.4902987,1.4952252,nan,nan,nan
39,1.4910798,1.4960032,nan,nan,nan
40,1.4912785,1.4962018,nan,nan,nan
41,1.491386,1.4963093,nan,nan,nan
42,1.4911245,1.4960475,nan,nan,nan
43,1.1356122,1.1406971,nan,nan,nan
44,1.4911016,1.4960244,nan,nan,nan
45,1.4916245,1.4965485,nan,nan,nan
46,1.4916933,1.4966171,nan,nan,nan
47,1.4915401,1.4964639,nan,nan,nan
48,1.491387,1.49631,nan,nan,nan
49,1.4909762,1.4958991,nan,nan,nan
50,1.4907825,1.4957099,nan,nan,nan
51,1.4900199,1.4985672,nan,nan,nan
52,1.4900995,1.4986465,nan,nan,nan
53,1.4901812,1.498728,nan,nan,nan
54,1.4903281,1.4988749,nan,nan,nan
55,1.4902878,1.498835,nan,nan,nan
56,1.4904143,1.4989607,nan,nan,nan
57,1.4906226,1.4991686,nan,nan,nan
58,1.4905216,1.4990681,nan,nan,nan
59,1.4906895,1.4992354,nan,nan,nan
60,1.4905895,1.4991354,nan,nan,nan
61,1.4900246,1.4985718,nan,nan,nan
62,1.4897332,1.4982806,nan,nan,nan
63,1.489744,1.4982919,nan,nan,nan
64,1.4896479,1.4981956,nan,nan,nan
65,1.4898431,1.4983907,nan,nan,nan
66,1.4898888,1.4984362,nan,nan,nan
67,1.1340066,1.1373688,nan,nan,nan
68,1.4897116,1.4982594,nan,nan,nan
69,1.1341438,1.1375059,nan,nan,nan
70,1.4899774,1.4985248,nan,nan,nan
71,1.1335005,1.1368628,nan,nan,nan
72,1.4897615,1.4983093,nan,nan,nan
73,1.1333302,1.1366924,nan,nan,nan
74,1.4898862,1.4984337,nan,nan,nan
75,1.1325815,1.1359441,nan,nan,nan
76,1.4900968,1.4986436,nan,nan,nan
77,1.1332188,1.1365808,nan,nan,nan
78,1.49011,1.498657,nan,nan,nan
79,1.1341445,1.1375067,nan,nan,nan
80,1.4901805,1.4987274,nan,nan,nan
81,1.4900228,1.4985698,nan,nan,nan
82,1.4900768,1.4986238,nan,nan,nan
83,1.4898578,1.4984052,nan,nan,nan
84,1.4901398,1.4986868,nan,nan,nan
85,1.4900662,1.498613,nan,nan,nan
86,1.4898117,1.4983596,nan,nan,nan
87,1.4897585,1.4983064,nan,nan,nan
88,1.4893404,1.4978892,nan,nan,nan
89,1.4894251,1.4979736,nan,nan,nan
90,1.2325871,1.238253,1.2404437,nan,nan
91,1.2329434,1.2386111,1.2408022,nan,nan
92,1.2330499,1.2387177,1.2409091,nan,nan
93,1.2328371,1.2385042,1.2406951,nan,nan
94,1.2331644,1.238833,1.2410243,nan,nan
95,1.2330339,1.2387017,1.2408932,nan,nan
96,1.2326733,1.2383398,1.2405305,nan,nan
97,1.2322259,1.2378904,1.2400806,nan,nan
98,1.2327363,1.238403,1.2405937,nan,nan
99,1.2341733,1.2398483,1.2420397,nan,nan
100,1.2340156,1.23969,1.2418814,nan,nan
101,1.2332916,1.2389615,1.2411528,nan,nan
102,1.2335808,1.2392521,1.241444,nan,nan
103,1.232763,1.2384299,1.2406209,nan,nan
104,1.2328026,1.2384697,1.2406607,nan,nan
105,1.2329035,1.2385708,1.2407619,nan,nan
106,1.2324544,1.2381197,1.2403103,nan,nan
107,1.2323992,1.2380646,1.2402549,nan,nan
108,1.2324884,1.2381538,1.2403444,nan,nan
109,1.2317615,1.237424,1.239613,nan,nan
110,1.2318457,1.2375091,1.2396979,nan,nan
111,1.2326264,1.2382926,1.2404834,nan,nan
112,1.2322756,1.2379403,1.2401303,nan,nan
113,1.2326298,1.2382958,1.2404869,nan,nan
114,1.232505,1.2381707,1.240361,nan,nan
115,2.191713,2.2000048,4.2310753,nan,nan
116,1.231359,1.2347256,nan,nan,nan
117,1.2313974,1.2347636,nan,nan,nan
118,1.2300764,1.233443,nan,nan,nan
