index,must_bnc,n_bnc,owtt,must_bnc0,n_bnc0,owtt0
0,False,0,1.4907314,False,0,1.4905471
1,False,0,1.490501,False,0,1.4903172
2,False,0,1.491063,False,0,1.4908695
3,False,0,1.1360189,False,0,1.1358451
4,False,0,1.4912968,False,0,1.4911
5,False,0,1.4913231,False,0,1.4911267
6,False,0,1.4913715,False,0,1.4911748
7,False,0,1.4910874,False,0,1.4908861
8,False,0,1.4908578,False,0,1.490673
9,False,0,1.4905018,False,0,1.4903181
10,False,0,1.4907396,False,0,1.4905552
11,False,0,1.4909124,False,0,1.4907278
12,False,0,1.4911673,False,0,1.4909708
13,False,0,1.4912207,False,0,1.4910241
14,False,0,1.4909943,False,0,1.4908007
15,False,0,1.4910374,False,0,1.490844
16,False,0,1.4908605,False,0,1.4906758
17,False,0,1.4909306,False,0,1.4907458
18,False,0,1.4913473,False,0,1.4911506
19,False,0,1.4914488,False,0,1.4912518
20,False,0,1.1340562,False,0,1.1339009
21,False,0,1.4913487,False,0,1.4911523
22,False,0,1.4913481,False,0,1.4911515
23,False,0,1.1346728,False,0,1.134496
24,False,0,1.4912845,False,0,1.4910876
25,False,0,1.1356138,False,0,1.1354363
26,False,0,1.4913094,False,0,1.4911127
27,False,0,1.4916162,False,0,1.4914193
28,False,0,1.1352323,False,0,1.1350555
29,False,0,1.4916382,False,0,1.4914414
30,False,0,1.4904243,False,0,1.4902405
31,False,0,1.490549,False,0,1.4903651
32,False,0,1.1342522,False,0,1.134097
33,False,0,1.4905849,False,0,1.4904008
34,False,0,1.4906172,False,0,1.4904336
35,False,0,1.4904567,False,0,1.4902729
36,False,0,1.1345863,False,0,1.1344093
37,False,0,1.4906007,False,0,1.4904169
38,False,0,1.4904823,False,0,1.4902987
39,False,0,1.4912766,False,0,1.4910798
40,False,0,1.4914757,False,0,1.4912785
41,False,0,1.4915828,False,0,1.491386
42,False,0,1.4913211,False,0,1.4911245
43,False,0,1.1357896,False,0,1.1356122
44,False,0,1.4912984,False,0,1.4911016
45,False,0,1.4918259,False,0,1.4916245
46,False,0,1.4918945,False,0,1.4916933
47,False,0,1.4917413,False,0,1.4915401
48,False,0,1.4915836,False,0,1.491387
49,False,0,1.4911727,False,0,1.4909762
50,False,0,1.4909756,False,0,1.4907825
51,False,0,1.4900475,False,0,1.4900199
52,False,0,1.4901272,False,0,1.4900995
53,False,0,1.4902087,False,0,1.4901812
54,False,0,1.4903558,False,0,1.4903281
55,False,0,1.4903156,False,0,1.4902878
56,False,0,1.4904419,False,0,1.4904143
57,False,0,1.4906503,False,0,1.4906226
58,False,0,1.4905492,False,0,1.4905216
59,False,0,1.4907167,False,0,1.4906895
60,False,0,1.4906172,False,0,1.4905895
61,False,0,1.4900522,False,0,1.4900246
62,False,0,1.4897606,False,0,1.4897332
63,False,0,1.4897716,False,0,1.489744
64,False,0,1.4896755,False,0,1.4896479
65,False,0,1.4898707,False,0,1.4898431
66,False,0,1.4899164,False,0,1.4898888
67,False,0,1.1340405,False,0,1.1340066
68,False,0,1.4897391,False,0,1.4897116
69,False,0,1.1341665,False,0,1.1341438
70,False,0,1.4900053,False,0,1.4899774
71,False,0,1.1335219,False,0,1.1335005
72,False,0,1.489789,False,0,1.4897615
73,False,0,1.1333624,False,0,1.1333302
74,False,0,1.4899137,False,0,1.4898862
75,False,0,1.1326132,False,0,1.1325815
76,False,0,1.4901243,False,0,1.4900968
77,False,0,1.1332371,False,0,1.1332188
78,False,0,1.4901375,False,0,1.49011
79,False,0,1.1341671,False,0,1.1341445
80,False,0,1.4902081,False,0,1.4901805
81,False,0,1.4900502,False,0,1.4900228
82,False,0,1.4901043,False,0,1.4900768
83,False,0,1.4898854,False,0,1.4898578
84,False,0,1.4901676,False,0,1.4901398
85,False,0,1.4900941,False,0,1.4900662
86,False,0,1.4898396,False,0,1.4898117
87,False,0,1.4897865,False,0,1.4897585
88,False,0,1.4893683,False,0,1.4893404
89,False,0,1.489453,False,0,1.4894251
90,False,0,1.2327056,False,0,1.2325871
91,False,0,1.2330642,False,0,1.2329434
92,False,0,1.233166,False,0,1.2330499
93,False,0,1.23295,False,0,1.2328371
94,False,0,1.2332847,False,0,1.2331644
95,False,0,1.2331502,False,0,1.2330339
96,False,0,1.232793,False,0,1.2326733
97,False,0,1.2323545,False,0,1.2322259
98,False,0,1.2328494,False,0,1.2327363
99,False,0,1.2342954,False,0,1.2341733
100,False,0,1.2341356,False,0,1.2340156
101,False,0,1.2334136,False,0,1.2332916
102,False,0,1.2336987,False,0,1.2335808
103,False,0,1.2328804,False,0,1.232763
104,False,0,1.2329198,False,0,1.2328026
105,False,0,1.2330166,False,0,1.2329035
106,False,0,1.2325715,False,0,1.2324544
107,False,0,1.2325164,False,0,1.2323992
108,False,0,1.2326052,False,0,1.2324884
109,False,0,1.231894,False,0,1.2317615
110,False,0,1.231978,False,0,1.2318457
111,False,0,1.2327461,False,0,1.2326264
112,False,0,1.2323929,False,0,1.2322756
113,False,0,1.2327495,False,0,1.2326298
114,False,0,1.232625,False,0,1.232505
115,False,0,2.1917794,False,0,2.191713
116,False,0,1.2314155,False,0,1.231359
117,False,0,1.2314537,False,0,1.2313974
118,False,0,1.2301463,False,0,1.2300764
119,False,0,1.2299643,False,0,1.2298944
120,False,0,1.2295218,False,0,1.2294475
121,False,0,1.0496773,False,0,1.0496877
122,False,0,1.0504947,False,0,1.0505034
123,False,0,1.0502329,False,0,1.0502338
124,False,0,1.0495988,False,0,1.0495957
125,False,0,1.0491042,False,0,1.0490899
126,False,0,1.0487773,False,0,1.0487486
127,False,0,1.4200684,False,0,1.4199064
128,False,0,1.0491399,False,0,1.0491259
129,False,0,1.4201689,False,0,1.4200114
130,False,0,1.0494565,False,0,1.0494443
131,False,0,1.4201117,False,0,1.4199557
