index,owtt_0_bounce,owtt_1_bounce,owtt_2_bounce,owtt_3_bounce,owtt_4_bounce
0,1.4860858,1.4927112,nan,nan,nan
1,1.485856,1.492482,nan,nan,nan
2,1.4864085,1.493034,nan,nan,nan
3,nan,1.1366184,1.1429546,nan,nan
4,1.4866338,1.4932592,nan,nan,nan
5,1.4866601,1.4932855,nan,nan,nan
6,1.4867085,1.4933339,nan,nan,nan
7,1.4864252,1.4930506,nan,nan,nan
8,1.4862123,1.4928379,nan,nan,nan
9,1.485857,1.4924828,nan,nan,nan
10,1.4860939,1.4927195,nan,nan,nan
11,1.4862671,1.4928926,nan,nan,nan
12,1.4865047,1.4931302,nan,nan,nan
13,1.4865578,1.4931833,nan,nan,nan
14,1.48634,1.4929656,nan,nan,nan
15,1.4863831,1.4930084,nan,nan,nan
16,1.4862149,1.4928405,nan,nan,nan
17,1.4862847,1.4929104,nan,nan,nan
18,1.4866843,1.4933096,nan,nan,nan
19,1.4867853,1.4934107,nan,nan,nan
20,nan,1.1346781,1.1410024,nan,nan
21,1.4866858,1.4933112,nan,nan,nan
22,1.486685,1.4933103,nan,nan,nan
23,nan,1.1352735,1.1415981,nan,nan
24,1.4866216,1.4932469,nan,nan,nan
25,nan,1.1362107,1.1425455,nan,nan
26,1.4866465,1.4932718,nan,nan,nan
27,1.4869527,1.4935778,nan,nan,nan
28,nan,1.1358316,1.1421648,nan,nan
29,1.4869747,1.4935999,nan,nan,nan
30,1.4857796,1.4924054,nan,nan,nan
31,1.485904,1.4925295,nan,nan,nan
32,nan,1.1348739,1.1411989,nan,nan
33,1.48594,1.4925655,nan,nan,nan
34,1.4859724,1.492598,nan,nan,nan
35,1.485812,1.4924377,nan,nan,nan
36,nan,1.135187,1.1415116,nan,nan
37,1.4859558,1.4925815,nan,nan,nan
38,1.4858377,1.4924634,nan,nan,nan
39,1.4866136,1.4932392,nan,nan,nan
40,1.4868122,1.4934375,nan,nan,nan
41,1.4869194,1.4935446,nan,nan,nan
42,1.4866582,1.4932835,nan,nan,nan
43,nan,1.1363862,1.1427214,nan,nan
44,1.4866351,1.4932605,nan,nan,nan
45,1.487158,1.493783,nan,nan,nan
46,1.4872264,1.4938514,nan,nan,nan
47,1.4870737,1.4936987,nan,nan,nan
48,1.4869201,1.4935454,nan,nan,nan
49,1.4865102,1.4931357,nan,nan,nan
50,1.4863213,1.492947,nan,nan,nan
51,1.4882314,1.4955798,nan,nan,nan
52,1.4883107,1.495659,nan,nan,nan
53,1.4883922,1.4957405,nan,nan,nan
54,1.4885386,1.4958867,nan,nan,nan
55,1.4884987,1.4958471,nan,nan,nan
56,1.4886245,1.4959726,nan,nan,nan
57,1.4888322,1.4961802,nan,nan,nan
58,1.4887315,1.4960797,nan,nan,nan
59,1.4888986,1.4962465,nan,nan,nan
60,1.4887991,1.496147,nan,nan,nan
61,1.4882361,1.4955844,nan,nan,nan
62,1.4879454,1.4952942,nan,nan,nan
63,1.4879565,1.4953051,nan,nan,nan
64,1.4878606,1.4952092,nan,nan,nan
65,1.4880553,1.4954039,nan,nan,nan
66,1.4881008,1.4954493,nan,nan,nan
67,1.131336,1.1351514,1.1452495,nan,nan
68,1.487924,1.4952729,nan,nan,nan
69,1.1314726,1.135288,1.1453863,nan,nan
70,1.4881891,1.4955376,nan,nan,nan
71,1.1308309,1.1346467,1.144744,nan,nan
72,1.4879738,1.4953225,nan,nan,nan
73,1.130661,1.1344768,1.1445739,nan,nan
74,1.4880979,1.4954467,nan,nan,nan
75,1.129914,1.1337309,1.1438266,nan,nan
76,1.4883081,1.4956564,nan,nan,nan
77,1.1305497,1.1343657,1.1444626,nan,nan
78,1.488321,1.4956695,nan,nan,nan
79,1.1314734,1.1352887,1.1453872,nan,nan
80,1.4883915,1.4957399,nan,nan,nan
81,1.4882342,1.4955826,nan,nan,nan
82,1.488288,1.4956362,nan,nan,nan
83,1.4880698,1.4954184,nan,nan,nan
84,1.488351,1.495699,nan,nan,nan
85,1.4882774,1.4956259,nan,nan,nan
86,1.4880241,1.4953728,nan,nan,nan
87,1.4879708,1.4953195,nan,nan,nan
88,1.4875543,1.4949033,nan,nan,nan
89,1.4876386,1.4949874,nan,nan,nan
90,nan,1.2334572,1.2396986,1.2430382,nan
91,nan,1.2338136,1.2400558,1.2433954,nan
92,nan,1.2339201,1.2401627,1.2435021,nan
93,nan,1.2337073,1.2399496,1.2432889,nan
94,nan,1.2340345,1.2402757,1.2436167,nan
95,nan,1.2339041,1.2401469,1.2434862,nan
96,nan,1.2335438,1.2397854,1.2431247,nan
97,nan,1.2327586,1.2393403,1.2426763,nan
98,nan,1.2336065,1.2398483,1.2431878,nan
99,nan,1.2350562,1.2412881,1.2446179,nan
100,nan,1.2348986,1.2411336,1.2444711,nan
101,nan,1.2341623,1.2404083,1.2437451,nan
102,nan,1.2344579,1.2406982,1.244035,nan
