index,owtt_0_bounce,owtt_1_bounce,owtt_2_bounce,owtt_3_bounce,owtt_4_bounce
0,1.492379,1.4963175,nan,nan,nan
1,1.4921461,1.4960896,nan,nan,nan
2,1.492705,1.4966434,nan,nan,nan
3,1.1387312,1.1399536,nan,nan,nan
4,1.4929351,1.496879,nan,nan,nan
5,1.4929596,1.4969054,nan,nan,nan
6,1.4930098,1.4969537,nan,nan,nan
7,1.4927213,1.4966601,nan,nan,nan
8,1.4925056,1.496444,nan,nan,nan
9,1.4921471,1.4960903,nan,nan,nan
10,1.4923867,1.4963261,nan,nan,nan
11,1.4925642,1.4964986,nan,nan,nan
12,1.4928046,1.4967389,nan,nan,nan
13,1.492858,1.4967921,nan,nan,nan
14,1.4926392,1.4965751,nan,nan,nan
15,1.4926792,1.4966179,nan,nan,nan
16,1.492508,1.4964468,nan,nan,nan
17,1.4925784,1.4965163,nan,nan,nan
18,1.4929854,1.4969293,nan,nan,nan
19,1.4930955,1.4970305,nan,nan,nan
20,1.1367838,1.138014,nan,nan,nan
21,1.4929887,1.496931,nan,nan,nan
22,1.4929857,1.4969301,nan,nan,nan
23,1.1373804,1.1386068,nan,nan,nan
24,1.4929192,1.4968667,nan,nan,nan
25,1.1383201,1.1395445,nan,nan,nan
26,1.4929491,1.4968917,nan,nan,nan
27,1.4932684,1.4971975,nan,nan,nan
28,1.1379397,1.1391654,nan,nan,nan
29,1.4932891,1.4972196,nan,nan,nan
30,1.492069,1.4960132,nan,nan,nan
31,1.4921962,1.4961374,nan,nan,nan
32,1.1369808,1.13821,nan,nan,nan
33,1.4922317,1.4961733,nan,nan,nan
34,1.4922662,1.4962043,nan,nan,nan
35,1.4921033,1.496045,nan,nan,nan
36,1.1372933,1.1385213,nan,nan,nan
37,1.4922463,1.4961891,nan,nan,nan
38,1.4921306,1.4960705,nan,nan,nan
39,1.4929148,1.496859,nan,nan,nan
40,1.4931256,1.4970571,nan,nan,nan
41,1.4932286,1.4971642,nan,nan,nan
42,1.4929607,1.4969034,nan,nan,nan
43,1.1384971,1.1397208,nan,nan,nan
44,1.4929345,1.4968804,nan,nan,nan
45,1.4934669,1.4974077,nan,nan,nan
46,1.4935423,1.497475,nan,nan,nan
47,1.4933822,1.4973234,nan,nan,nan
48,1.4932343,1.4971648,nan,nan,nan
49,1.4928087,1.4967444,nan,nan,nan
50,1.492622,1.4965565,nan,nan,nan
51,1.4909922,1.4994259,nan,nan,nan
52,1.4910722,1.4995054,nan,nan,nan
53,1.491154,1.4995873,nan,nan,nan
54,1.4913019,1.4997339,nan,nan,nan
55,1.4912606,1.4996938,nan,nan,nan
56,1.4913856,1.4998199,nan,nan,nan
57,1.4915953,1.5000283,nan,nan,nan
58,1.4914927,1.499927,nan,nan,nan
59,1.4916632,1.5000949,nan,nan,nan
60,1.4915619,1.499995,nan,nan,nan
61,1.4909958,1.4994305,nan,nan,nan
62,1.4907042,1.4991394,nan,nan,nan
63,1.4907166,1.4991502,nan,nan,nan
64,1.4906191,1.499054,nan,nan,nan
65,1.4908158,1.4992496,nan,nan,nan
