index,must_bnc,n_bnc,owtt,must_bnc0,n_bnc0,owtt0
0,False,0,1.492379,False,0,1.4922589
1,False,0,1.4921461,False,0,1.4920287
2,False,0,1.492705,False,0,1.492583
3,False,0,1.1387312,False,0,1.1387895
4,False,0,1.4929351,False,0,1.4928088
5,False,0,1.4929596,False,0,1.4928353
6,False,0,1.4930098,False,0,1.492884
7,False,0,1.4927213,False,0,1.4925995
8,False,0,1.4925056,False,0,1.492386
9,False,0,1.4921471,False,0,1.4920295
10,False,0,1.4923867,False,0,1.4922671
11,False,0,1.4925642,False,0,1.4924409
12,False,0,1.4928046,False,0,1.4926794
13,False,0,1.492858,False,0,1.4927328
14,False,0,1.4926392,False,0,1.4925143
15,False,0,1.4926792,False,0,1.4925574
16,False,0,1.492508,False,0,1.4923888
17,False,0,1.4925784,False,0,1.4924586
18,False,0,1.4929854,False,0,1.4928595
19,False,0,1.4930955,False,0,1.4929612
20,False,0,1.1367838,False,0,1.1368339
21,False,0,1.4929887,False,0,1.4928613
22,False,0,1.4929857,False,0,1.4928604
23,False,0,1.1373804,False,0,1.1374326
24,False,0,1.4929192,False,0,1.4927968
25,False,0,1.1383201,False,0,1.1383783
26,False,0,1.4929491,False,0,1.4928217
27,False,0,1.4932684,False,0,1.4931289
28,False,0,1.1379397,False,0,1.1379955
29,False,0,1.4932891,False,0,1.493151
30,False,0,1.492069,False,0,1.4919518
31,False,0,1.4921962,False,0,1.4920766
32,False,0,1.1369808,False,0,1.1370313
33,False,0,1.4922317,False,0,1.4921126
34,False,0,1.4922662,False,0,1.4921451
35,False,0,1.4921033,False,0,1.4919845
36,False,0,1.1372933,False,0,1.1373456
37,False,0,1.4922463,False,0,1.4921285
38,False,0,1.4921306,False,0,1.49201
39,False,0,1.4929148,False,0,1.4927889
40,False,0,1.4931256,False,0,1.4929879
41,False,0,1.4932286,False,0,1.4930958
42,False,0,1.4929607,False,0,1.4928333
43,False,0,1.1384971,False,0,1.1385549
44,False,0,1.4929345,False,0,1.4928104
45,False,0,1.4934669,False,0,1.4933347
46,False,0,1.4935423,False,0,1.4934036
47,False,0,1.4933822,False,0,1.4932503
48,False,0,1.4932343,False,0,1.4930964
49,False,0,1.4928087,False,0,1.4926848
50,False,0,1.492622,False,0,1.4924954
51,False,0,1.4909922,False,0,1.4909987
52,False,0,1.4910722,False,0,1.4910784
53,False,0,1.491154,False,0,1.4911603
54,False,0,1.4913019,False,0,1.4913075
55,False,0,1.4912606,False,0,1.491267
56,False,0,1.4913856,False,0,1.4913934
57,False,0,1.4915953,False,0,1.4916023
58,False,0,1.4914927,False,0,1.4915007
59,False,0,1.4916632,False,0,1.4916692
60,False,0,1.4915619,False,0,1.4915688
