index,must_bnc,owtt
0,False,1.4905119
1,False,1.4902823
2,False,1.4908353
3,False,1.1405927
4,False,1.4910613
5,False,1.4910874
6,False,1.4911441
7,False,1.4908522
8,False,1.4906389
9,False,1.490283
10,False,1.4905205
11,False,1.4906936
12,False,1.4909317
13,False,1.490985
14,False,1.4907669
15,False,1.4908099
16,False,1.4906416
17,False,1.4907115
18,False,1.4911195
19,False,1.4912208
20,False,1.138636
21,False,1.491121
22,False,1.4911202
23,False,1.1392349
24,False,1.4910487
25,False,1.1401813
26,False,1.4910738
27,False,1.4913883
28,False,1.1397985
29,False,1.4914104
30,False,1.4902055
31,False,1.4903302
32,False,1.1388333
33,False,1.490366
34,False,1.4903989
35,False,1.4902381
36,False,1.1391475
37,False,1.4903821
38,False,1.4902639
39,False,1.4910411
40,False,1.4912479
41,False,1.4913551
42,False,1.4910854
43,False,1.1403584
44,False,1.4910626
45,False,1.491594
46,False,1.4916623
47,False,1.4915093
48,False,1.4913558
49,False,1.4909375
50,False,1.4907484
51,False,1.4898908
52,False,1.4899704
53,False,1.4900517
54,False,1.4901987
55,False,1.4901584
56,False,1.4902846
57,False,1.4904933
58,False,1.4903922
59,False,1.4905598
60,False,1.4904599
61,False,1.4898955
62,False,1.4896041
63,False,1.4896151
64,False,1.4895188
65,False,1.4897139
66,False,1.4897598
67,False,1.1340616
68,False,1.4895824
69,False,1.1341984
70,False,1.4898483
71,False,1.133555
72,False,1.4896324
73,False,1.1333848
74,False,1.489757
75,False,1.1326364
76,False,1.4899673
77,False,1.1332731
78,False,1.4899808
79,False,1.1341991
80,False,1.4900513
81,False,1.4898934
82,False,1.4899474
83,False,1.4897288
84,False,1.4900105
85,False,1.4899367
86,False,1.4896828
87,False,1.4896296
88,False,1.4892118
89,False,1.4892964
90,False,1.2379904
91,False,1.2383505
92,False,1.2384576
93,False,1.2382431
94,False,1.2385734
95,False,1.2384417
96,False,1.238078
97,False,1.2376261
98,False,1.2381411
99,False,1.2395924
100,False,1.2394335
101,False,1.2387024
102,False,1.2389946
103,False,1.2381684
104,False,1.2382083
105,False,1.2383097
106,False,1.237857
107,False,1.2378011
108,False,1.2378912
109,False,1.237157
110,False,1.237242
111,False,1.2380306
112,False,1.2376763
113,False,1.2380339
114,False,1.2379078
115,False,2.190732
116,False,1.2314161
117,False,1.2314543
118,False,1.2301332
119,False,1.229951
120,False,1.2295042
121,False,1.05386
122,False,1.054682
123,False,1.0544099
124,False,1.0537676
125,False,1.0532594
126,False,1.0529153
