index,must_bnc,owtt
0,False,1.4844574
1,False,1.4842281
2,False,1.4847801
3,True,1.1384887
4,False,1.4850055
5,False,1.4850317
6,False,1.4850801
7,False,1.4847968
8,False,1.4845839
9,False,1.4842287
10,False,1.4844658
11,False,1.4846387
12,False,1.4848762
13,False,1.4849293
14,False,1.4847118
15,False,1.4847546
16,False,1.4845867
17,False,1.4846565
18,False,1.4850559
19,False,1.4851567
20,True,1.140244
21,False,1.4850572
22,False,1.4850565
23,True,1.1412164
24,False,1.484993
25,True,1.1380686
26,False,1.4850179
27,False,1.4853239
28,True,1.141957
29,False,1.4853461
30,False,1.4841514
31,False,1.4842757
32,True,1.1405748
33,False,1.4843116
34,False,1.4843444
35,False,1.4841839
36,True,1.1410819
37,False,1.4843277
38,False,1.4842095
39,False,1.4849854
40,False,1.4851837
41,False,1.4852909
42,False,1.4850296
43,True,1.1382496
44,False,1.4850068
45,False,1.4855292
46,False,1.4855976
47,False,1.485445
48,False,1.4852916
49,False,1.4848818
50,False,1.4846932
51,False,1.4885982
52,False,1.4886777
53,False,1.4887592
54,False,1.4889055
55,False,1.4888656
56,False,1.4889913
57,False,1.4891993
58,False,1.4890984
59,False,1.4892656
60,False,1.489166
61,False,1.4886031
62,False,1.4883121
63,False,1.4883231
64,False,1.4882271
65,False,1.488422
66,False,1.4884678
67,False,1.1313294
68,False,1.4882907
69,False,1.1314664
70,False,1.488556
71,False,1.1308246
72,False,1.4883405
73,False,1.1306548
74,False,1.4884648
75,False,1.1299078
76,False,1.4886749
77,False,1.1305434
78,False,1.488688
79,False,1.1314671
80,False,1.4887586
81,False,1.4886009
82,False,1.488655
83,False,1.4884365
84,False,1.4887177
85,False,1.4886446
86,False,1.4883908
87,False,1.4883376
88,False,1.487921
89,False,1.4880053
90,True,1.2373766
91,True,1.2378473
92,True,1.2379832
93,True,1.2377096
94,True,1.2368698
95,True,1.237963
96,True,1.2385517
97,True,1.2381084
98,True,1.2386101
99,True,1.2365866
100,True,1.236428
101,True,1.2369773
102,True,1.2362535
103,True,1.2386354
104,True,1.2376643
105,True,1.2377961
106,True,1.2383423
107,True,1.2382812
108,True,1.238375
109,True,1.2376224
110,True,1.237713
111,True,1.2385076
112,True,1.2381585
113,True,1.2374349
114,True,1.2383908
115,True,2.2063198
116,False,1.2284406
117,False,1.2284787
118,False,1.2271618
119,False,1.2269801
120,False,1.2265345
121,False,1.042716
122,False,1.0435299
123,False,1.0432606
124,False,1.0426242
125,False,1.0421213
126,False,1.0417806
127,False,1.4142259
128,False,1.0421572
129,False,1.4143317
130,False,1.0424736
131,False,1.4142765
132,False,1.4142939
133,False,1.043456
134,False,1.4144837
135,False,1.0441296
136,False,1.4144567
137,False,1.04456
138,False,1.4144373
139,False,1.0437578
140,False,1.4142674
141,False,1.0427464
