index,must_bnc,owtt
0,False,1.4922582
1,False,1.4920282
2,False,1.4925823
3,False,1.138706
4,False,1.4928085
5,False,1.4928346
6,False,1.4928833
7,False,1.4925989
8,False,1.4923854
9,False,1.4920287
10,False,1.4922668
11,False,1.4924401
12,False,1.4926786
13,False,1.4927319
14,False,1.4925134
15,False,1.4925566
16,False,1.4923881
17,False,1.492458
18,False,1.4928589
19,False,1.4929602
20,False,1.1367532
21,False,1.4928606
22,False,1.4928597
23,False,1.1373509
24,False,1.4927956
25,False,1.1382952
26,False,1.4928206
27,False,1.4931281
28,False,1.1379133
29,False,1.4931501
30,False,1.4919511
31,False,1.4920757
32,False,1.13695
33,False,1.4921118
34,False,1.492145
35,False,1.4919837
36,False,1.1372638
37,False,1.4921284
38,False,1.4920095
39,False,1.4927881
40,False,1.4929873
41,False,1.4930948
42,False,1.4928327
43,False,1.1384722
44,False,1.4928098
45,False,1.4933342
46,False,1.4934027
47,False,1.4932497
48,False,1.4930958
49,False,1.4926841
50,False,1.4924947
51,False,1.4909981
52,False,1.4910783
53,False,1.4911598
54,False,1.491307
55,False,1.4912665
56,False,1.491393
57,False,1.4916016
58,False,1.4915003
59,False,1.4916681
60,False,1.4915679
61,False,1.491003
62,False,1.490711
63,False,1.4907222
64,False,1.4906255
65,False,1.4908215
66,False,1.4908671
67,False,1.1351422
68,False,1.4906893
69,False,1.1352795
70,False,1.490956
71,False,1.1346354
72,False,1.4907393
73,False,1.1344649
74,False,1.4908643
75,False,1.1337152
76,False,1.4910753
77,False,1.134353
78,False,1.4910883
79,False,1.1352804
80,False,1.4911591
81,False,1.4910009
82,False,1.4910553
83,False,1.4908357
84,False,1.491118
85,False,1.4910448
86,False,1.4907901
87,False,1.4907366
88,False,1.490318
89,False,1.490403
90,False,1.2359797
91,False,1.2363399
92,False,1.2364475
93,False,1.2362325
94,False,1.2365633
95,False,1.2364315
96,False,1.2360672
97,False,1.2356149
98,False,1.2361305
99,False,1.2375836
100,False,1.2374245
101,False,1.2366922
102,False,1.2369846
103,False,1.2361578
104,False,1.2361976
105,False,1.2362994
106,False,1.2358458
107,False,1.2357903
108,False,1.23588
109,False,1.235145
110,False,1.2352303
111,False,1.2360196
112,False,1.2356652
113,False,1.2360232
114,False,1.2358967
115,False,2.193366
116,False,1.2326418
117,False,1.2326797
118,False,1.2313571
119,False,1.2311748
120,False,1.2307274
121,False,1.0522125
122,False,1.0530331
123,False,1.0527614
124,False,1.0521197
125,False,1.0516125
126,False,1.051269
127,False,1.4215149
128,False,1.051649
129,False,1.4216207
130,False,1.0519679
131,False,1.4215653
132,False,1.4215827
133,False,1.0529586
134,False,1.4217733
135,False,1.0536379
136,False,1.4217465
137,False,1.054072
138,False,1.4217271
139,False,1.0532631
140,False,1.4215564
141,False,1.052243
142,False,1.4214314
143,False,1.0527433
144,False,1.0532283
145,False,1.0524129
146,False,1.0526212
147,False,1.4219017
148,False,1.0526432
149,False,1.4218849
150,False,1.0520295
151,False,1.4217478
152,False,1.0524408
153,False,1.4217291
154,False,1.0515367
155,False,1.4216126
156,False,1.0521357
157,False,1.4216686
158,False,1.4216812
159,False,1.0513248
160,False,1.4215301
161,False,1.0512059
162,False,1.4216578
163,False,1.051731
164,False,1.421724
165,False,1.4215003
166,False,1.0524042
167,False,1.4211742
168,False,1.4211129
169,False,1.421285
170,False,1.4211483
171,False,1.4213184
172,False,1.0523615
173,False,1.4213759
174,False,1.0515344
175,False,1.421238
176,False,1.0509958
177,False,1.42141
178,False,1.0515102
179,False,1.4212276
180,False,1.0519834
181,False,1.4212657
182,False,1.4210992
183,False,1.419495
184,False,1.4195652
185,False,1.4196376
186,False,1.4197129
187,False,1.4194729
188,False,1.4194744
